record_id,﻿type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,issn,accession_number,keywords,tertiary_authors,secondary_authors,url,name_of_database,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
3,JOUR,Agri-environment schemes enhance pollinator richness and abundance but bumblebee reproduction depends on field size,"['Geppert, C', 'Hass, A', 'F√∂ldesi, R', 'Donk√≥, B', 'Akter, A', 'Tscharntke, T', 'Batary, P']",JOURNAL OF APPLIED ECOLOGY,"Pollinators have experienced a dramatic decrease world-wide due to agricultural intensification. In many countries, agri-environment schemes (AES) have been introduced to counteract this current trend. However, until now, the relative importance of each AES for biodiversity and ecosystem services is still little understood and might change depending on landscape context. Complex landscape-experiments are required to fill this knowledge gap, enabling the implementation of sustainable intensification of food production. In our study, we compared the effectiveness of the two most popular AES in Germany, organic farming and flower strips, in supporting pollinators and flower resources. We selected nine landscapes along a gradient of increasing field size, (configurational heterogeneity), each with a triplet of winter wheat fields: one organic, one conventional with flower strip and one conventional without flower strip as a control. We surveyed insect-pollinated plants and pollinators (bumblebees, solitary bees and hoverflies). Additionally, we placed bumblebee colonies in the field edges to monitor their growth (colony weight gain) and reproduction (queen production). Flower strips stood out with the highest abundance and richness of pollinators. In contrast, bumblebee colony growth and plant richness benefited equally from organic and flower strip schemes. At the landscape scale, smaller fields had a positive effect on plant richness and bumblebee reproduction in flower strips. By contrast, bumblebee colonies in organic agriculture benefited most from large fields, as large organic fields provided much more flower resources than the narrow flower strips. Synthesis and applications. Our results showed that both local and landscape management shaped pollinator communities and their reproduction. Overall, organic farming and flower strips appeared to be effective tools to mitigate flower shortage in conventional cereal fields, with organic farming supporting the highest flowering plant cover per field. Flower strips enhanced local pollinator richness most, but increased bumblebee reproduction only when the surrounding landscapes had small fields with long field borders. Therefore, our results reveal that European Union policies need to take into account that the effectiveness of agri-environment schemes depends on the structure of the surrounding landscape.",2020/09//,2020,10.1111/1365-2664.13682,57.0,9.0,0021-8901,WOS:000543973300001,1818,1828,,,,,,,1,,1,1
7,JOUR,Bee diversity and abundance in perennial irrigated crops and adjacent habitats in central Washington state,"['Grula, CC', 'Zack, RS', 'Walsh, DB']",FLORIDA ENTOMOLOGIST,"Pollinators are critical to ecosystem health and agricultural productivity. Endemic bee diversity and abundance among different crops has not been extensively studied, especially among perennial crops in Washington state. The goals of this study were to characterize bee genera diversity in south central Washington state, determine the abundance and diversity of bees among crop types, and determine if farming practices influence abundance and diversity by comparing bee diversity in managed agricultural sites to adjacent unmanaged, natural sites. This study investigated bee genera diversity and abundance in blueberry fields produced under organic certification programs, conventionally produced Concord juice and wine grape vineyards, conventionally produced spearmint and peppermint fields, and conventionally produced hopyards. The majority of bees found in the study were ground-nesting. Mint fields had the highest pollinator abundance and richness. In general, there was a greater abundance, diversity, and richness of bees found in unmanaged compared with managed sites. This indicates that areas of high agricultural intensity have relatively low bee genera abundance and diversity.",2024/01//,2024,10.1515/flaent-2024-0007,107.0,1.0,0015-4040,WOS:001193768400001,,,,,,,,,1,,1,2
21,JOUR,Effects of neonicotinoid seed treatments on wild bee populations in soybean and corn fields in eastern Ontario,"['Gaudreault, E.S.', 'Naujokaititis-Lewis, I.', 'Lapen, D.R.', 'Sargent, R.D.']",Agricultural and Forest Entomology,"Neonicotinoid-coated corn and soybean seeds are a common crop in Canada and the US. A growing body of research is demonstrating that, through various exposure routes, neonicotinoids can impact a suite of nontarget organisms including beneficial insects such as bees. However, to date, only a few studies have examined the effects of neonicotinoids in field settings. We assessed the relationship between agricultural crop soil neonicotinoid levels and wild bee abundance and diversity at 16 agricultural sites representing different soil neonicotinoid levels. We detected clothianidin at 11 sites, thiamethoxam at three sites; imidacloprid was not detected. Hedgerow and crop soils were consistent in terms of where clothianidin was detected; thiamethoxan was not detected in hedgerow soils. Based on model outcomes, fields with higher levels of soil neonicotinoids exhibited significantly lower wild bee abundance and diversity than those with low or no neonicotinoids detected. Crop soil neonicotinoid level, hedgerow floral resource abundance and crop type were consistent predictors of bee abundance across models; only neonicotinoid level and crop type were significant predictors of diversity. Our results are consistent with recent findings in the midwestern US, and underscore the potential risk of soil neonicotinoids to wild bee populations across regions and crop systems. ¬© 2022 The Royal Entomological Society.",2023///,2023,10.1111/afe.12530,25.0,1.0,53,65,,,"['agroecosystem', 'ground-nesting bees', 'neonicotinoids', 'seed coat', 'wild bee abundance', 'wild bee richness']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135518372&doi=10.1111%2fafe.12530&partnerID=40&md5=71e0e5ec5002fe41f4a756c61a1806f0,Scopus,,1,,1,3
38,JOUR,Impacts of neonicotinoid seed treatments on the wild bee community in agricultural field margins,"['Main, A.R.', 'Webb, E.B.', 'Goyne, K.W.', 'Abney, R.', 'Mengel, D.']",Science of the Total Environment,"Wild bees support global agroecosystems via pollination of agricultural crops and maintaining diverse plant communities. However, with an increased reliance on pesticides to enhance crop production, wild bee communities may inadvertently be affected through exposure to chemical residues. Laboratory and semi-field studies have demonstrated lethal and sublethal effects of neonicotinoids on limited genera (e.g., Apis, Bombus, Megachile), yet full field studies evaluating impacts to wild bee communities remain limited. Here, we conducted a two-year field study to assess whether neonicotinoid seed treatment and presence in environmental media (e.g., soil, flowers) influenced bee nest and diet guild abundance and richness. In 2017 and 2018, we planted 23 Missouri agricultural fields to soybeans (Glycine max) using one of three seed treatments: untreated (no insecticide), treated (imidacloprid), or previously-treated (untreated, but neonicotinoid use prior to 2017). During both years, wild bees were collected in study field margins monthly (May to September) in tandem with soil and flowers from fields and field margins that were analyzed for neonicotinoid residues. Insecticide presence in soils and flowers varied over the study with neonicotinoids infrequently detected in both years within margin flowers (0%), soybean flowers (<1%), margin soils (<8%), and field soils (~39%). Wild bee abundance and species richness were not significantly different among field treatments. In contrast, neonicotinoid presence in field soils was associated with significantly lower richness (ground- and aboveground-nesting, diet generalists) of wild bee guilds. Our findings support that soil remains an underexplored route of exposure and long-term persistence of neonicotinoids in field soils may lead to reduced diversity in regional bee communities. Future reduction or elimination of neonicotinoid seed treatment use on areas managed for wildlife may facilitate conservation goals to sustain viable, diverse wild bee populations. ¬© 2021",2021///,2021,10.1016/j.scitotenv.2021.147299,786.0,,,,,,"['Abundance', 'agricultural ecosystem', 'agriculture', 'Agro-ecosystems', 'agroecosystem', 'Agroecosystems', 'Amino acids', 'animal', 'Animals', 'Article', 'bee', 'Bee functional guild', 'Bee functional guilds', 'Bees', 'chemistry', 'Crops', 'Cultivation', 'Ecosystems', 'Field margins', 'Field studies', 'flower', 'Forestry', 'Glycine max', 'guild', 'insecticide', 'Insecticides', 'long term exposure', 'Megachile', 'Missouri', 'neonicotinoid', 'Neonicotinoid insecticides', 'neonicotinoid pesticide', 'Neonicotinoids', 'Nitrogen fixation', 'nonhuman', 'plant seed', 'pollination', 'Pollination', 'pollinator', 'Pollinator', 'Pollinators', 'priority journal', 'relative abundance', 'Richness', 'seed', 'Seed', 'Seed treatment', 'Seeds', 'soil', 'Soils', 'soybean', 'species richness']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105282479&doi=10.1016%2fj.scitotenv.2021.147299&partnerID=40&md5=d30b2e15046c896f8085308414251f63,Scopus,,1,,1,4
17,JOUR,ECOFRIENDLY INSECTICIDES: IMPACT ON ABUNDANCE AND FORAGING ACTIVITY OF BEE POLLINATORS IN SUNFLOWER,"['Raghavendra, D.', 'Jagadish, K.S.', 'Reddy, K.M.S.']",Indian Journal of Entomology,"Field study was conducted with ecofriendly insecticides on their effects on the foraging activity and time spent of bee pollinators in sunflower during 2016-17 and 2017-18 at the University of Agricultural Sciences, Bengaluru. Significantly less number of bees were observed with mahua oil one day after spray- 2.15 (Apis dorsata), 1.33 (A. cerana), 1.72 (A. florea) and 1.24 (Tetragonula iridipennis). BIPM (biointensive integrated pest management) and spinosad treatments led to maximum number of bees at 4 and 7 days after spray. The least mean time spent was observed with mahua oil treatment, whereas, BIPM and spinosad led to maximum mean time spent for all the bee pollinators. It is concluded that mahua oil has repellent activity on the bee pollinators. ¬© 2019, The Entomological Society of India. All rights reserved.",2022///,2022,10.55446/IJE.2021.309,84.0,4.0,,,793,797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151092437&doi=10.55446%2fIJE.2021.309&partnerID=40&md5=a471023640559a1d278aa85b7476eaa7,Scopus,"['Apis spp', 'BIPM', 'Foraging activity', 'Mahua oil', 'Spinosad', 'Sunflower', 'Tetragonula iridipennis', 'Time spent']",,,,1,,1,5
78,JOUR,Reduced species richness of native bees in field margins associated with neonicotinoid concentrations in non-target soils,"['Main, A.R.', 'Webb, E.B.', 'Goyne, K.W.', 'Mengel, D.']","Agriculture, Ecosystems and Environment","Native bees are in decline as many species are sensitive to habitat loss, climate change, and non-target exposure to synthetic pesticides. Recent laboratory and semi-field assessments of pesticide impacts on bees have focused on neonicotinoid insecticides. However, field studies evaluating influences of neonicotinoid seed treatments on native bee communities of North America are absent from the literature. On four Conservation Areas of Missouri, we sampled row-cropped (treated, n = 15) and reference (untreated, n = 9) agricultural fields, and their surrounding field margins for neonicotinoids in soil and non-target vegetation (i.e., native wildflowers). Wildflowers were further collected and screened for the presence of fungicides. Concurrently, we sampled native bees over three discrete time points throughout the agricultural growing season to assess potential impacts of seed treatment use on local bee populations over time. Neonicotinoids were detected in 87% to 100% of treated field soils and 22% to 56% of reference field soils. In adjacent field margin soils, quantifiable concentrations were measured near treated (53% to 93% detection) and untreated fields (33% to 56% detection). Fungicides were detected in < 40% of wildflowers, whereas neonicotinoids were rarely detected in field margin vegetation (< 7%). Neonicotinoid concentrations in margin soils were negatively associated with native bee richness (Œ≤ = ‚àí0.21, P < 0.05). Field margins with a combination of greater neonicotinoid concentrations in soil and fungicides in wildflowers also contained fewer wild bee species (Œ≤ = ‚àí0.21, P < 0.001). By comparison, bee abundance was positively influenced by the number of wildflower species in bloom with no apparent impact of pesticides. Results of this study indicate that neonicotinoids in soil are a potential route of exposure for pollinator communities, specifically ground-nesting species. Importantly, native bee richness in non-target field margins may be negatively affected by the use of neonicotinoid seed treatments in agroecosystems. ¬© 2019",2020///,2020,10.1016/j.agee.2019.106693,287.0,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073119095&doi=10.1016%2fj.agee.2019.106693&partnerID=40&md5=0bfbf3f855693a266ebf3b63d62d22a7,Scopus,,0,,1,6
40,JOUR,Implementing IPM in crop management simultaneously improves the health of managed bees and enhances the diversity of wild pollinator communities,"['Pecenka, JR', 'Ingwell, LL', 'Krupke, CH', 'Kaplan, I']",SCIENTIFIC REPORTS,"Impacts of insecticide use on the health of wild and managed pollinators have been difficult to accurately quantify in the field. Existing designs tend to focus on single crops, even though highly mobile bees routinely forage across crop boundaries. We created fields of pollinator-dependent watermelon surrounded by corn, regionally important crops in the Midwestern US. These fields were paired at multiple sites in 2017-2020 with the only difference being pest management regimes: a standard set of conventional management (CM) practices vs. an integrated pest management (IPM) system that uses scouting and pest thresholds to determine if/when insecticides are used. Between these two systems we compared the performance (e.g., growth, survival) of managed pollinators-honey bees (Apis mellifera), bumble bees (Bombus impatiens)-along with the abundance and diversity of wild pollinators. Compared to CM fields, IPM led to higher growth and lower mortality of managed bees, while also increasing the abundance (+ 147%) and richness (+ 128%) of wild pollinator species, and lower concentrations of neonicotinoids in the hive material of both managed bees. By replicating realistic changes to pest management, this experiment provides one of the first demonstrations whereby tangible improvements to pollinator health and crop visitation result from IPM implementation in agriculture.",2023/07/07/,2023,10.1038/s41598-023-38053-5,13.0,1.0,,,2045-2322,WOS:001026159400022,"['animal', 'Animals', 'bee', 'Bees', 'insecticide', 'Insecticides', 'pest control', 'pollination', 'Pollination', 'agriculture', 'Agriculture', 'crop', 'Crops, Agricultural', 'Pest Control']",,,,,,0,"From Rachel: ""we are just including papers that look at differences in bee communities between pesticide-treated areas and non-pesticide areas"" .  Therefore, this would not be relevant if ""integrated pest management"" is a ""non-pesticide"" area, but not clear to me from abstract",1,7
80,JOUR,Seed coating with a neonicotinoid insecticide negatively affects wild bees,"['Rundl√∂f, M.', 'Andersson, G.K.S.', 'Bommarco, R.', 'Fries, I.', 'Hederstr√∂m, V.', 'Herbertsson, L.', 'Jonsson, O.', 'Klatt, B.K.', 'Pedersen, T.R.', 'Yourstone, J.', 'Smith, H.G.']",Nature,"Understanding the effects of neonicotinoid insecticides on bees is vital because of reported declines in bee diversity and distribution and the crucial role bees have as pollinators in ecosystems and agriculture. Neonicotinoids are suspected to pose an unacceptable risk to bees, partly because of their systemic uptake in plants, and the European Union has therefore introduced a moratorium on three neonicotinoids as seed coatings in flowering crops that attract bees. The moratorium has been criticized for being based on weak evidence, particularly because effects have mostly been measured on bees that have been artificially fed neonicotinoids. Thus, the key question is how neonicotinoids influence bees, and wild bees in particular, in real-world agricultural landscapes. Here we show that a commonly used insecticide seed coating in a flowering crop can have serious consequences for wild bees. In a study with replicated and matched landscapes, we found that seed coating with Elado, an insecticide containing a combination of the neonicotinoid clothianidin and the non-systemic pyrethroid Œ≤-cyfluthrin, applied to oilseed rape seeds, reduced wild bee density, solitary bee nesting, and bumblebee colony growth and reproduction under field conditions. Hence, such insecticidal use can pose a substantial risk to wild bees in agricultural landscapes, and the contribution of pesticides to the global decline of wild bees may have been underestimated. The lack of a significant response in honeybee colonies suggests that reported pesticide effects on honeybees cannot always be extrapolated to wild bees. ¬©2015 Macmillan Publishers Limited. All rights reserved.",2015///,2015,10.1038/nature14420,521.0,7550.0,77,80,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929103906&doi=10.1038%2fnature14420&partnerID=40&md5=59f7251eb9b58f5c5e3c043c3f3fe608,Scopus,,0,,1,8
43,JOUR,Indirect effects of agricultural pesticide use on parasite prevalence in wild pollinators,"['Evans, AN', 'Llanos, JEM', 'Kunin, WE', 'Evison, SEF']",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"Insect pollinators appear to be experiencing worldwide declines, a phenomenon that has been correlated both with exposure to chemical pesticides and disease prevalence. These factors have been found to have strong and often interacting negative effects on multiple pollinator species in laboratory based studies, however their interactions in the field are less clear. To try and understand the link between pesticide use on pollinator communities, and how this might impact on disease transmission, we took two complementary approaches. First, we undertook a series of pollinator surveys to assess the abundance and diversity of pollinator groups across British agricultural field sites subject to varying levels of pesticide use. We then screened the offspring of two taxa of tube nesting solitary bees (Osmiabicomis and Megachile spp.) for three parasite groups commonly associated with pollinators. We found lower pollinator abundance, group richness and diversity across agricultural sites associated with higher pesticide use. Specifically, there were fewer honey bees, hoverflies, solitary bees and wasps. Surprisingly, we found a lower prevalence of all three parasite groups in O. bicomis offspring reared in sites associated with higher pesticide use compared to lower pesticide use. We also found a lower prevalence of Ascosphaera but a higher prevalence of Microsporidia in Megachile offspring reared in sites associated with higher pesticide use compared to lower pesticide use. Together, our results suggest that agricultural sites associated with higher pesticide use may be affecting pollinators indirectly by disrupting community structure and influencing disease epidemiology and vectoring opportunities. This highlights the importance of understanding the interactions between pesticide use and disease in both managed and wild bee populations for the future mitigation of pollinator declines.",2018/04/15/,2018,10.1016/j.agee.2018.02.002,258.0,,40,48,0167-8809,WOS:000429394600005,,,,,,,0,,1,9
74,JOUR,Population growth and insecticide residues of honey bees in tropical agricultural landscapes,"['Buchori, D.', 'Rizali, A.', 'Priawandiputra, W.', 'Sartiami, D.', 'Johannis, M.']",Diversity,"Global decline of pollinators, especially bees, has been documented in many countries. Several causes such as land-use change and agricultural intensification are reported to be the main drivers of the decline. The objective of this study was to investigate the effect of land use on honey bee and stingless bee populations. Research was conducted in Bogor and Malang to compare between two different geographical areas. Managed bees such as honey bees (Apis cerana and A. mellifera) and stingless bees (Tetragonula laeviceps) were investigated to examine the effect of agricultural intensification. Field experiments were conducted by placing beehives in selected habitats (i.e., beekeeper gardens, forests areas, and agriculture areas). Population growth and neonicotinoid residue analysis of bees in different hive locations were measured to study the effect of habitat type. Population growth of bees represents the forager abundance and colony weight. Based on the analysis, we found that habitat type affected forager abundance and colony weight of honey bees (p < 0.05), although the patterns were different between species, region, as well as season. Forests could support the stingless bee colony better than agriculture and home garden habitats. Insecticide (neonicotinoid) was barely recorded in both honey bees and stingless bees. ¬© 2019 by the authors.",2020///,2020,10.3390/d12010001,12.0,1.0,,,,,"['agricultural intensification', 'agricultural land', 'Agriculture', 'Apis cerana', 'Apis mellifera', 'Apoidea', 'environmental disturbance', 'Forests', 'home garden', 'Home garden', 'honeybee', 'insecticide', 'land use change', 'Meliponinae', 'Neonicotinoid', 'pesticide residue', 'population growth', 'Tetragonula laeviceps', 'tropical forest']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078663694&doi=10.3390%2fd12010001&partnerID=40&md5=adea08e06d4526ffcbd6c834676eae1a,Scopus,,0,,1,10
