record_id,﻿record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,url,name_of_database,keywords,issn,accession_number,short_title,exported_notes_1,included,asreview_ranking,asreview_prior,exported_notes_2
88,598.0,JOUR,"Determination of acute lethal doses (LD50 and LC50) of imidacloprid for the native bee Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae)","['Costa, L.M.', 'Grella, T.C.', 'Barbosa, R.A.', 'Malaspina, O.', 'Nocelli, R.C.F.']",Sociobiology,"The bee species Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae) is native to Brazil and, stingless. In Brazil, stingless bees are responsible for 40% to 90% of tree species pollination, depending on the considered ecosystem. However, their survival has been threatened since the country has been standing out as a big consumer of pesticides. Many of the pesticides used are considered toxic to bees, including imidacloprid. Although the bees are not the target of these substances, they are highly vulnerable to contamination. Thereby, the objective of this study was to establish the mean lethal dose (LD50) and the mean lethal concentration (LC50) of imidacloprid for the M. Scutellaris. In order to carry out this experiment, bees were collected and the test was performed according to OECD's protocol (1998a, 1998b), developed for A. mellifera. For the determination of LD50 and LC50, data was analyzed through the Probit method. The topical LD50 established in this study was 2.41 ng/bee for 24 hours and 1.29 ng/bee for 48 hours. The oral LC50 was 2.01 ng i.a./ŒºL for 24 hours and 0.81 ng i.a./ŒºL for 48 hours. Thus, it is important to establish management methods which take this higher susceptibility into account to protect native species.",2015///,2015.0,10.13102/sociobiology.v62i4.792,62.0,4,578.0,582,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953716373&doi=10.13102%2fsociobiology.v62i4.792&partnerID=40&md5=aae2b84354f37183e15489b22f97bb39,Scopus,,,,,,1,1,1,
137,647.0,JOUR,"Acute lethal effect of the commercial formulation of the insecticides Imidacloprid, Spinosad y Thiocyclam hidrogenoxalate in Bombus atratus (Hymenoptera: Apidae) workers","['Jim√©nez, DR', 'Cure, JR']",REVISTA DE BIOLOGIA TROPICAL,"The effect of insecticides on bees has gained great attention, however, there are few studies that explore this issue on Neotropical bees. Bombus atratus is a neotropical species broadly distributed in Colombia and is considered an important pollinator of both Andean ecosystems and agroecosystems. However, as for many wild bees species, the effect of insecticides on B. atratus is unknow. In this study we determined the acute median lethal dose (LD50) of commercial formulations of insecticides Imidacloprid, Spinosad and Thiocyclam hydrogen oxalate, widely used in Colombia to control several pests of important crops. The LD50 was carried out by oral and contact routes, following and modifying the EPPO and OECD guidelines to perform LD50 on A. mellifera. We evaluated five doses for each route and insecticide, in a total of 25 medium-size workers for each dose by duplicate. Mortality was registered at 24, 48 and 72 hours after the experiment; and data were analyzed with the Probit regression model. For Imidacloprid, contacts and oral LD50 were 0.048 mu g/bee and 0.010 mu g/bee, respectively. For Thiocyclam hydrogen oxalate, topical and oral LD50 were 0.244 mu g/bee and 0.056 mu g/bee, respectively. For Spinosad, the oral LD50 corresponded to 0.28 mu g/bee; it was not possible to establish the LD50 for the contact route. The Hazard Quotient (HQ) and Index of Relative Toxicity indicated that all three active ingredients are highly toxic. We discussed the risk of the insecticides use on B. atratus, considering their chemical nature.",2016/12//,2016.0,,64.0,4,1737.0,1745,,,,0034-7744,WOS:000390288400029,,,1,2,0,
123,633.0,JOUR,Low concentrations of imidacloprid affect the survival of Tetragona clavipes in a short period of exposure (24¬†h),"['de Oliveira, A.A.', 'Carvalho, L.O.', 'dos Santos, H.V.R.', 'de Oliveira, L.R.G.R.', 'Saraiva, A.S.']",Apidologie,"Neonicotinoid pesticides are widely used to control insect pests in agriculture and livestock production. However, they have been found to negatively affect bees, especially Apis mellifera. Despite this, little research has been conducted on the impact of neonicotinoids on other bee species, including native ones. This study aimed to assess the risks to native bees exposed to low concentrations of imidacloprid (IMI). The Tetragona clavipes (bee native to Brazil) were exposed to eight concentrations of IMI-based insecticide, through contaminated food or mist (350 ¬µL/min) for 24¬†h. The LC10-24¬†h, LC50-24¬†h, LC90-24¬†h in acute topical effect (ATE) and¬†acute residual effect (ARE)¬†of IMI-based insecticide against bees were calculated. The LC10-24¬†h, LC50-24¬†h, and LC90-24¬†h in ARE were found to be more toxic compared to ATE. In summary, the study highlights that even low levels of IMI can significantly reduce bee survival within 24¬†h. The urgency to tackle the effects of neonicotinoid pesticides on native bee populations is evident. Preserving bees is crucial for ensuring sustainability, food security, and ecosystem integrity. Responsible pesticide management and conservation efforts are pivotal in safeguarding pollinators and upholding ecological balance. ¬© INRAE, DIB and Springer-Verlag France SAS, part of Springer Nature 2024.",2024///,2024.0,10.1007/s13592-024-01111-6,55.0,5,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204901212&doi=10.1007%2fs13592-024-01111-6&partnerID=40&md5=361398dfeb1dcc7132d3f4fd6651f676,Scopus,"['bee', 'ecotoxicology', 'imidacloprid', 'pollinator', 'neonicotinoid pesticide', 'pollution exposure', 'survival', 'concentration (composition)', 'neonicotinoids', 'pollution effect', 'Brazil', 'pollinators', 'bees', 'acute effect', 'research work']",,,,,1,3,0,
134,644.0,JOUR,Enzymatic biomarkers as tools to assess environmental quality: A case study of exposure of the honeybee Apis mellifera to insecticides,"['Carvalho, SM', 'Belzunces, LP', 'Carvalho, GA', 'Brunet, JL', 'Badiou-Beneteau, A']",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,"The present study was intended to evaluate the responses of enzymes in the honeybee Apis mellifera after exposure to deltamethrin, fipronil, and spinosad and their use as biomarkers. After determination of the median lethal doses (LD50), honeybees were exposed at doses of 5.07 ng/bee and 2.53 ng/bee for deltamethrin, 0.58 ng/bee and 0.29 ng/bee for fipronil, and 4.71 ng/bee and 2.36 ng/bee for spinosad (equivalent to 1/10th [LD50/10] and 1/20th [LD50/20] of the LD50, respectively). The responses of acetylcholinesterase (AChE), carboxylesterases (CaEs-1-3), glutathione-S-transferase (GST), catalase (CAT), and alkaline phosphatase (ALP) were assessed. The results showed that deltamethrin, fipronil, and spinosad modulated these biomarkers differentially. For the enzyme involved in the defense against oxidative stress, fipronil and spinosad induced CAT activity. For the remaining enzymes, 3 response profiles were identified. First, exposure to deltamethrin induced slight effects and modulated only CaE-1 and CaE-2, with opposite effects. Second, spinosad exhibited an induction profile for most of the biomarkers, except AChE. Third, fipronil did not modulate AChE, CaE-2, or GST, increased CAT and CaE-1, and decreased ALP. Thus, this set of honeybee biomarkers appears to be a promising tool to evaluate environmental and honeybee health, and it could generate fingerprints to characterize exposures to pesticides. (C) 2013 SETAC",2013/09//,2013.0,10.1002/etc.2288,32.0,9,2117.0,2124,,,,0730-7268,WOS:000322253800023,,,1,4,0,
194,704.0,JOUR,"Toxic effect and biochemical study of chlorfluazuron, oxymatrine, and spinosad on honey bees (apis mellifera)","['Rabea, E.I.', 'Nasr, H.M.', 'Badawy, M.E.I.']",Archives of Environmental Contamination and Toxicology,"Under laboratory conditions, the comparative effects of two insect growth regulators, chlorfluazuron and oxymatrine, and spinosad as a biopesticide were examined on honey bee workers (Apis mellifera L.). Separate groups of bees were left for 24 h to feed on 50% sucrose solution containing different concentrations of the tested insecticides, and the lethal concentration that caused 50% mortality (LC50) was estimated. The inhibitory effects on acetylcholinesterase (AChE) and adenosine triphosphatase (ATPase) activities as biochemical indicators were determined in vivo after 24 h in head, thorax, and abdomen of surviving bees obtained after treatments with a view to explore the possible mode of action of these compounds. Results indicated that exposure to spinosad showed toxicity to honey bees with LC50 value of 7.34 mg L-1, followed by oxymatrine (LC50 = 10.68 mg L -1), while chlorfluazuron was the least acutely toxic of the tested compounds (LC50 = 2,526 mg L-1). Oxymatrine and spinosad at the same tested concentrations (2.5, 5, 10, and 20 mg L-1) significantly inhibited AChE activity in different organs of honey bee workers, and high inhibition percentage was obtained with the enzyme isolated from the thorax. However, chlorfluazuron at 400, 1,000, 2,000, and 4,000 mg L -1 caused high inhibition of AChE activity isolated from the head (39.65% and 44.22% at 2,000 and 4,000 mg L-1, respectively). In addition, the toxic effects of the tested compounds on activity of ATPase indicated that spinosad caused the highest inhibitory effect in different organs compared with oxymatrine at the same concentrations, and high inhibition was found with ATPase isolated from the head. The results also indicated that oxymatrine was the least active compound for inhibition of AChE and ATPase. ¬© 2009 Springer Science+Business Media, LLC.",2010///,2010.0,10.1007/s00244-009-9403-y,58.0,3,722.0,732,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952092391&doi=10.1007%2fs00244-009-9403-y&partnerID=40&md5=83aab2fc67d26aaa376a61cea88e6f9d,Scopus,,,,,,1,5,0,
156,666.0,JOUR,Effects of insecticides used in strawberries on stingless beesMelipona quadrifasciataandTetragonisca fiebrigi(Hymenoptera: Apidae),"['Piovesan, B', 'Padilha, AC', 'Morais, MC', 'Botton, M', 'Gr√ºtzmacher, AD', 'Zotti, MJ']",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,"The use of pesticides is considered one of the most important threats to pollinators, especially since they are widely used in agriculture for pest control. In the last years, several studies have reported severe secondary effects on various bee species, including exotic and native bees. In this study, lethal (mortality) and sublethal (locomotor activity) effects of insecticides and acaricides used in strawberries in Brazil (abamectin, novaluron, spinetoram, and thiamethoxam) were evaluated on the native stingless beesMelipona quadrifasciataandTetragonisca fiebrigi. The results showed that the effects varied significantly according to the pesticide, type of exposure (oral or topical), and bee species. Through oral exposure,M. quadrifasciatawas more susceptible to all insecticides except for abamectin, while in topical exposure,T. fiebrigiwas more sensitive. Thiamethoxam followed by spinetoram and abamectin were the most lethal, regardless of species or exposure route; novaluron was not harmful at the highest tested dose. The locomotor activity of bees was altered in the presence of sublethal doses (LC(10)and LC50) of all insecticides. Spinetoram and abamectin can be as much as toxic as thiamethoxam againstM. quadrifasciataandT. fiebrigiin laboratory experiments. These findings should be confirmed in field experiments to define possibilities to combine pest control and pollinator management. In crops like strawberries, the selectivity of native pollinators should be considered.",2020/12//,2020.0,10.1007/s11356-020-10191-7,27.0,34,42472.0,42480,,,"['animal', 'Animals', 'bee', 'Bees', 'ecotoxicology', 'Hymenoptera', 'insecticide', 'Insecticides', 'pest control', 'pollinator', 'Pesticides', 'Apoidea', 'pesticide residue', 'thiamethoxam', 'Apidae', 'Melipona quadrifasciata', 'Meliponinae', 'laboratory method', 'Thiamethoxam', 'Brazil', 'Acute toxicity', 'fruit', 'Behavior effects', 'Fragaria x ananassa Duch', 'Native bees', 'Selectivity', 'abamectin', 'Fragaria', 'Fragaria x ananassa', 'Tetragonisca']",0944-1344,WOS:000551767400005,,,1,6,0,
315,825.0,JOUR,Imidacloprid effects on acetylcholinesterase and nicotinic acetylcholine receptor in Apis mellifera. Experimental and molecular modeling approaches,"['Ali, H.M.', 'Abdel-Aty, B.', 'El-Sayed, W.', 'Mariy, F.M.', 'Hegazy, G.M.', 'Mohamed, R.A.', 'Zoghly, H.M.']",Chemosphere,"Although the neonicotinoid insecticides have good selectivity towards insects rather than vertebrates, they have severe effects on honeybee production and pollination activities. Therefore, the effects of imidacloprid (IMI), the most used neonicotinoid, on the two main bioreceptors, acetylcholinesterase (AChE) and nicotinic acetylcholine receptor alpha subunit (nAChRŒ±1) of honeybees were examined to identify their roles in honeybee toxicity and possible binding sites which assist in selecting and designing neonicotinoids. In vivo, IMI showed a high inhibitory effect on AChE (IC50 5.63 mg/L); however, the effect was much lower in vitro experiment (IC50 719 mg/L). This result induced us to examine the IMI effect on AChE gene expression which revealed that the AChE-2 gene expression was severely affected by IMI explaining the observed high enzyme inhibition. In addition, although toxicity increased by increasing exposure to IMI (LC50 2.9 mg/L after 4h and 0.75 mg/L after 48h), AChE was not elevated (IC50 5.63 and 5.52 mg/L respectively). Besides, Despite resuming most enzyme activity (77% during 2 h and 84.14% after 4 h), a high mortality level was observed with LC50 2.9 mg/L. These results reinforced that the observed high toxicity is a multifactor process. Accordingly, Molecular modeling and docking of IMI into honeybee AChE and nAChRŒ±1were also performed to examine their possible interactions and identify the important binding sites. Results models indicated that the first two binding sites in AChE were found in the esteratic subunit in the active site explaining the observed in vitro inhibition. In nAChRŒ±1, four of the highest five free energy binding sites are located in the large TM3-TM4 loop and one in the extracellular loops. Consequently, the present work revealed that IMI toxicity is attributed to various factors including direct interaction with both AChE and nAChRŒ±1 as well as downregulating AChE-2 gene expression. ¬© 2024 Elsevier Ltd",2024///,2024.0,10.1016/j.chemosphere.2024.141899,356.0,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189431305&doi=10.1016%2fj.chemosphere.2024.141899&partnerID=40&md5=0d59fc4d5808c83501fe2317b4746c96,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'imidacloprid', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pollination', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'Apis mellifera', 'drug effect', 'honeybee', 'toxicity', 'nicotinic receptor', 'Imidacloprids', 'mortality', 'Toxicity', 'gene expression', 'down regulation', 'Honeybee', 'unclassified drug', 'animal tissue', 'in vitro study', 'metabolism', 'LC50', 'Gene expression', 'genetics', 'Receptors, Nicotinic', 'insect protein', 'nAChR', 'acetylcholinesterase', 'Acetylcholinesterase', 'enzyme activity', 'Nicotinic acetylcholine', 'Models, Molecular', 'molecular docking', 'molecular model', 'binding site', 'Insect Proteins', 'Molecular Docking Simulation', 'Genes expression', 'AChE', 'animal model', 'NAChR', 'in vivo study', 'enzyme', 'nervous system', 'Binding energy', 'Alfa subunit', 'Alpha subunit', 'Binding sites', 'Binding Sites', 'Binding-sites', 'enzyme active site', 'Enzyme activity', 'enzyme inhibition', 'Enzyme inhibition', 'experimental toxicity', 'Free energy', 'Molecular modeling', 'nicotinic receptor alpha1', 'Transmembranes']",,,,,1,7,0,
106,616.0,JOUR,Toxicity and nicotinic acetylcholine receptor interaction of imidacloprid and its metabolites in Apis mellifera (Hymenoptera: Apidae),"['Nauen, R.', 'Ebbinghaus-Kintscher, U.', 'Schmuck, R.']",Pest Management Science,"Acute oral and contact toxicity tests of imidacloprid, an insecticide acting agonistically on nicotinic acetylcholine receptors (nAChR), to adult honeybees, Apis mellifera L var carnica, were carried out by seven different European research facilities. Results indicated that the 48-h oral LD50 of imidacloprid is between 41 and >81 ng per bee, and the contact LD50 between 49 and 102 ng per bee. The ingested amount of imidacloprid-containing sucrose solution decreased with increasing imidacloprid concentrations and may be attributed to dose-related sub-lethal intoxication symptoms or to antifeedant responses. Some previously reported imidacloprid metabolites occurring at low levels in planta after seed dressing, ie olefine-, 5-OH- and 4,5-OH-imidacloprid, showed lower oral LD50 values (>36, >49 and 159ng per bee, respectively) compared with the concurrently tested parent molecule (41ng per bee). The urea metabolite and 6-chloronicotinic acid (6-CNA) exhibited LD50 values of >99 500 and >121 500ng per bee, respectively. The pharmacological profile of the [3H]imidacloprid binding site in honeybee head membrane preparations is consistent with that anticipated for a nAChR. IC50 values for the displacement of [3H]imidacloprid by several metabolites such as olefine, 5-OH-, 4,5-OH-imidacloprid, urea and 6-CNA were 0.45, 24, 6600, > 100 000, and > 100 000nM, respectively. Displacement of [3H]imidacloprid by imidacloprid revealed an IC50 value of 2.9nM, thus correlating well with the observed acute oral toxicity of the compounds in honeybees. Neurons isolated from the antennal lobe of A mellifera and subjected to whole-cell voltage clamp electrophysiology responded to the application of 100 ŒºM acetylcholine with a fast inward current of between 30 and 1600 pA at -70mV clamp potential. Imidacloprid and two of the metabolites (olefine- and 5-OH-imidacloprid) acted agonistically on these neurons, whereas the others did not induce currents at test conencentrations up to 3 mM. The electrophysiological data revealed Hill coefficients of approximately 1, indicating a single binding site responsible for an activation of the receptor and no direct cooperativity or allosteric interaction with a second binding site. ¬© 2001 Society of Chemical Industry.",2001///,2001.0,10.1002/ps.331,57.0,7,577.0,586,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034943098&doi=10.1002%2fps.331&partnerID=40&md5=fac70b3532284540063e9866867d0f79,Scopus,,,,,,1,8,0,
151,661.0,JOUR,Lethal and sublethal effects of some insecticides recommended for wild blueberry on the pollinator Bombus impatiens,"['Gradish, AE', 'Scott-Dupree, CD', 'Frewin, AJ', 'Cutler, GC']",CANADIAN ENTOMOLOGIST,"Managed and wild colonies of common eastern bumble bee (Bombus impatiens Cresson) (Hymenoptera: Apidae) are effective pollinators of wild blueberry (Vaccinium angustifolium Aiton) (Ericaceae) in Atlantic Canada. Because insecticides are used during bloom to manage insect pests, bumble bees may be at risk of exposure. We therefore assessed the susceptibility of B. impatiens to some insecticides used or projected for use in blueberry pest management. Workers were killed by topical applications of spinosad, spinetoram, deltamethrin, and phosmet, but not flubendiamide. Similarly, when ingested in honey solution, spinetoram and deltamethrin were toxic, whereas flubendiamide did not cause mortality up to double its recommended label rate. In another experiment, workers were fed one sublethal dose of contaminated honey solution and placed in microcolonies to assess impacts on feeding, life span, and reproduction. The highest concentration of deltamethrin (17 mg a.i./L) reduced feeding. Workers treated with deltamethrin had shortened life spans and produced fewer males. Flubendiamide (2000 mg a.i./L) and spinetoram (0.8 mg a.i./L) caused no sublethal effects. These results indicate that flubendiamide should be safe to apply to blueberries where B. impatiens is foraging, while some other insecticides we tested may be hazardous under different exposure scenarios.",2012/06//,2012.0,10.4039/tce.2012.40,144.0,3,478.0,486,,,,0008-347X,WOS:000307232800010,,,1,9,0,unclear susceptibility
232,742.0,JOUR,"Effects of abamectin and acetamiprid pesticides on the survival and behavior of Scaptotrigona aff. xanthotricha (Apidae, Meliponini)","['Ferreira, M.F.D.O.', 'Fraga, R.D.', 'Barros, E.C.D.', 'Augusto, S.C.']",Journal of Apicultural Research,"Pesticides have been described as a major cause of bee mortality, and thus are predictors of population decline and decrease in pollination services. Standardized tests with Apis mellifera are already common, and there is a need to create adequate parameters for the native solitary and eusocial species of stingless bees. In this study, we evaluated lethal dosages (LD50 and LD90), lethal time (LT), and sub-lethal effects (SLE) of two pesticides used in soybean crops, abamectin, and acetamiprid, in Scaptotrigona aff. xanthotricha. All tests were performed through contact poisoning. The LD50 and LD90 for acetamiprid were higher than those obtained for abamectin. Survival analysis of S. aff. xanthotricha exposed to LD90 indicated significant differences between pesticides. The LT50 under abamectin (8.25 hours) was significantly lower than acetamiprid (14.25 hours). Considering the PER tests, our results suggest that positive responses to food offerings were reduced by pesticide effects. It was also observed that only the acetamiprid affected the locomotion of the bees. Our results revealed that both pesticides are highly toxic to S. aff. xanthotricha and that acetamiprid was the most toxic for all parameters evaluated. ¬© 2020 International Bee Research Association.",2022///,2022.0,10.1080/00218839.2020.1835262,61.0,1,37.0,44,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096610453&doi=10.1080%2f00218839.2020.1835262&partnerID=40&md5=a1850f93a89adc0cfd47ebe958a43c4b,Scopus,"['neonicotinoid', 'acetamiprid', 'locomotor activity', 'abamectin', 'avermectin', 'proboscis extension reflex', 'stingless bees']",,,,,1,10,0,
