record_id,﻿record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,url,name_of_database,keywords,issn,accession_number,short_title,exported_notes_1,included,asreview_ranking,asreview_prior,exported_notes_2
318,598,JOUR,"Determination of acute lethal doses (LD50 and LC50) of imidacloprid for the native bee Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae)","['Costa, L.M.', 'Grella, T.C.', 'Barbosa, R.A.', 'Malaspina, O.', 'Nocelli, R.C.F.']",Sociobiology,"The bee species Melipona scutellaris Latreille, 1811 (Hymenoptera: Apidae) is native to Brazil and, stingless. In Brazil, stingless bees are responsible for 40% to 90% of tree species pollination, depending on the considered ecosystem. However, their survival has been threatened since the country has been standing out as a big consumer of pesticides. Many of the pesticides used are considered toxic to bees, including imidacloprid. Although the bees are not the target of these substances, they are highly vulnerable to contamination. Thereby, the objective of this study was to establish the mean lethal dose (LD50) and the mean lethal concentration (LC50) of imidacloprid for the M. Scutellaris. In order to carry out this experiment, bees were collected and the test was performed according to OECD's protocol (1998a, 1998b), developed for A. mellifera. For the determination of LD50 and LC50, data was analyzed through the Probit method. The topical LD50 established in this study was 2.41 ng/bee for 24 hours and 1.29 ng/bee for 48 hours. The oral LC50 was 2.01 ng i.a./ŒºL for 24 hours and 0.81 ng i.a./ŒºL for 48 hours. Thus, it is important to establish management methods which take this higher susceptibility into account to protect native species.",2015///,2015,10.13102/sociobiology.v62i4.792,62.0,4,578,582,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953716373&doi=10.13102%2fsociobiology.v62i4.792&partnerID=40&md5=aae2b84354f37183e15489b22f97bb39,Scopus,,,,,,1,1,1,
69,349,JOUR,A Combined LD50 for Agrochemicals and Pathogens in Bumblebees (Bombus terrestris [Hymenoptera: Apidae]),"['Siviter, H', 'Matthews, AJ', 'Brown, MJF']",ENVIRONMENTAL ENTOMOLOGY,"Neonicotinoid insecticides are the most commonly used insecticide in the world and can have significant sub-lethal impacts on beneficial insects, including bumblebees, which are important pollinators of agricultural crops and wild-flowers. This has led to bans on neonicotinoid use in the EU and has resulted in repeated calls for the agrochemical regulatory process to be modified. For example, there is increasing concern about 1) the underrepresentation of wild bees, such as bumblebees, in the regulatory process, and 2) the failure to determine how agrochemicals, such as neonicotinoids, interact with other commonly occurring environmental stressors, such as parasites. Here, we modify an OECD approved lethal dose (LD50) experimental design and coexpose bumblebees (Bombus terrestris) to the neonicotinoid thiamethoxam and the highly prevalent trypanosome parasite Crithidia bombi, in a fully crossed design. We found no difference in the LD50 of thiamethoxam on bumblebees that had or had not been inoculated with the parasite (Crithidia bombi). Furthermore, thiamethoxam dosage did not appear to influence the parasite intensity of surviving bumblebees, and there was no effect of either parasite or insecticide on sucrose consumption. The methodology used demonstrates how existing ring-tested experimental designs can be effectively modified to include other environmental stressors such as parasites. Moving forward, the regulatory process should implement methodologies that assess the interactions between agrochemicals and parasites on non-Apis bees and, in cases when this is not practical, should implement post-regulatory monitoring to better understand the real-world consequences of agrochemical use.",2022/04/22/,2022,10.1093/ee/nvab139,51.0,2,378,384,,,"['animal', 'Animals', 'bee', 'Bees', 'Hymenoptera', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'neonicotinoid pesticide', 'thiamethoxam', 'pathogen', 'Thiamethoxam', 'LD50', 'agrochemical', 'Lethal Dose 50', 'agricultural chemical', 'Agrochemicals', 'Bombus', 'Crithidia bombi', 'toxicity test', 'Crithidia']",0046-225X,WOS:000785870400009,,,1,2,1,
148,428,JOUR,A study on lethal doses of various pesticides on honeybees (Apis mellifera L.) - a laboratory trial,"['Pervez, M', 'Manzoor, F']",PHYSIOLOGICAL ENTOMOLOGY,"Exposure of honeybee (Apis mellifera L.) to pesticides disturbed normal physiological and behavioral functions required for normal foraging and colony maintenance. The present study was aimed towards establishing the mean lethal concentration (LC50) of three pesticides viz. carbamate (carbaryl), organophosphate (chlorpyrifos) and neonicotinoid (imidacloprid) in honeybees through feeding bioassay laboratory trial. Deleteriousness was confirmed through mortality rate, number of survival bees, acetylcholinesterase (AChE), total protein (TP) levels, AChE gene transcription level, and gut tissues histological analysis of exposed honeybees. Mean mortality rate was calculated for 96 h interval at three different concentrations of tested pesticides (5, 2.5, and 1.25 mg L-1), and LC50 values calculated for 48 and 96 h interval. AChE enzyme and TP level are determined by ELIZA and spectrophotometer, respectively. Results revealed that imidacloprid had the lowest LC50 (0.477 ng/bee) values as compared with carbaryl and chlorpyrifos. High mortality rate was observed at highest dose, being impidacloprid have more lethal effects as compared with other pesticides. Similarly, biochemical analysis revealed that imidiacloprid and chlorpyrifos significantly (P <= 0.05) increased AChE and TP levels, whereas carbaryl significantly (P <= 0.05) decreased them. Similarly, probe based RT qPCR revealed that imidacloprid and chlorpyrifos treatments significantly (P <= 0.05) enhanced the AChE level whereas carbaryl decreased it. Histological analysis showed that the gut tissues of honeybees exposed to pesticide treatment had substantial morphological abnormalities. In a nutshell, imidacloprid, carbaryl and chlorpyrifos have substantial toxic effects on all the study attributes of honeybees with imidacloprid being most toxic.",2021/03//,2021,10.1111/phen.12338,46.0,1,34,44,,,"['pesticide', 'pollution exposure', 'Apis mellifera', 'honeybee', 'physiology', 'concentration (composition)', 'dose-response relationship', 'laboratory method', 'gene', 'histology', 'LC50', 'bioassay', 'pesticides', 'Acetylcholinesterase', 'abnormality', 'gene transcription']",0307-6962,WOS:000586051400001,,,1,3,1,
144,424,JOUR,Effect of sub-lethal doses of thiamethoxam on hypopharyngeal glands of Apis mellifera Linnaeus,"['Karedla, A.K.', 'Choudhary, A.', 'Chhuneja, P.K.', 'Singh, J.', 'Singh, N.D.']",Journal of Apicultural Research,"Honey bees provide key ecosystem services i.e., pollination but are functioning under various biotic and abiotic stresses. Among various stresses, thiamethoxam has been criticized worldwide. Since no scientific study on its sub-lethal effects on honey bees has been conducted in India, the present work was carried out at the Department of Entomology, Punjab Agricultural University, Ludhiana for two seasons during 2017-19. The median lethal dietary dose (LDD50) of thiamethoxam upon chronically feeding the sub-lethal doses for 10 days for a group of adult Apis mellifera bees (age 10 days) was 0.421 ng bee‚àí1day‚àí1. At this level, the reduction in the area of an acinus of the hypopharyngeal gland was significant i.e., 36.62 and 37.92 percent over control during spring and winter seasons, respectively. The adverse impact of thiamethoxam on hypopharyngeal glands will be limiting the development and productivity of the honey bee colonies. ¬© 2022 International Bee Research Association.",2024///,2024,10.1080/00218839.2022.2047263,63.0,4,757,761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127232651&doi=10.1080%2f00218839.2022.2047263&partnerID=40&md5=6f3e0c75806fcbee7ce800a9269545c8,Scopus,"['Apis mellifera', 'chronic toxicity', 'thiamethoxam', 'hypopharyngeal glands']",,,,,1,4,1,
367,647,JOUR,"Acute lethal effect of the commercial formulation of the insecticides Imidacloprid, Spinosad y Thiocyclam hidrogenoxalate in Bombus atratus (Hymenoptera: Apidae) workers","['Jim√©nez, DR', 'Cure, JR']",REVISTA DE BIOLOGIA TROPICAL,"The effect of insecticides on bees has gained great attention, however, there are few studies that explore this issue on Neotropical bees. Bombus atratus is a neotropical species broadly distributed in Colombia and is considered an important pollinator of both Andean ecosystems and agroecosystems. However, as for many wild bees species, the effect of insecticides on B. atratus is unknow. In this study we determined the acute median lethal dose (LD50) of commercial formulations of insecticides Imidacloprid, Spinosad and Thiocyclam hydrogen oxalate, widely used in Colombia to control several pests of important crops. The LD50 was carried out by oral and contact routes, following and modifying the EPPO and OECD guidelines to perform LD50 on A. mellifera. We evaluated five doses for each route and insecticide, in a total of 25 medium-size workers for each dose by duplicate. Mortality was registered at 24, 48 and 72 hours after the experiment; and data were analyzed with the Probit regression model. For Imidacloprid, contacts and oral LD50 were 0.048 mu g/bee and 0.010 mu g/bee, respectively. For Thiocyclam hydrogen oxalate, topical and oral LD50 were 0.244 mu g/bee and 0.056 mu g/bee, respectively. For Spinosad, the oral LD50 corresponded to 0.28 mu g/bee; it was not possible to establish the LD50 for the contact route. The Hazard Quotient (HQ) and Index of Relative Toxicity indicated that all three active ingredients are highly toxic. We discussed the risk of the insecticides use on B. atratus, considering their chemical nature.",2016/12//,2016,,64.0,4,1737,1745,,,,0034-7744,WOS:000390288400029,,,1,5,1,
189,469,JOUR,"Toxicity of imidacloprid to the stingless bee scaptotrigona postica latreille, 1807 (Hymenoptera: Apidae)","['Soares, H.M.', 'Jacob, C.R.O.', 'Carvalho, S.M.', 'Nocelli, R.C.F.', 'Malaspina, O.']",Bulletin of Environmental Contamination and Toxicology,"The stingless bee Scaptotrigona postica is an important pollinator of native and cultivated plants in Brazil. Among the factors affecting the survival of these insects is the indiscriminate use of insecticides, including the neonicotinoid imidacloprid. This work determined the toxicity of imidacloprid as the topical median lethal dose (LD50) and the oral median lethal concentration (LC50) as tools for assessing the effects of this insecticide. The 24 and 48 h LD50 values were 25.2 and 24.5 ng of active ingredient (a.i.)/bee, respectively. The 24 and 48 h LC50 values were 42.5 and 14.3 ng a.i./ŒºL of diet, respectively. Ours results show the hazard of imidacloprid and the vulnerability of stingless bees to it, providing relevant toxicological data that can used in mitigation programs to ensure the conservation of this species. ¬© 2015 Springer Science+Business Media New York.",2015///,2015,10.1007/s00128-015-1488-6,94.0,6,675,680,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939968648&doi=10.1007%2fs00128-015-1488-6&partnerID=40&md5=7dc3b961ea753aaaf310c1ab5026ccbc,Scopus,,,,,,1,6,0,
248,528,JOUR,Surrogate species in pesticide risk assessments: Toxicological data of three stingless bees species,"['Lourencetti, A.P.S.', 'Azevedo, P.', 'Miotelo, L.', 'Malaspina, O.', 'Nocelli, R.C.F.']",Environmental Pollution,"Discussions about environmental risk reassessment of pesticides have grown in the last decades, especially in tropical and subtropical regions since the diversity of bee species in these places is quite different. Stingless bees are highly affected by pesticides, and toxicity information is necessary to include them in the regulatory process of countries that hosts a diversity of these species. Therefore, the present study aimed to evaluate the Median Lethal Concentration (LC50), estimate the Median Lethal Dose (LD50) and compared the sensitivity of three species of stingless bees exposed to the commercial formulation of the neonicotinoid thiamethoxam (TMX). The LD50 was estimated based on the LC50 determined in the present study (LC50 = 0.329 ng a.i./ŒºL for Tetragonisca angustula; 0.624 ng a.i./ŒºL for Scaptotrigona postica, and 0.215 ng a.i./ŒºL for Melipona scutellaris). Considering these data, toxicity endpoints were used to fit species sensitive distribution curves (SSD) and determine the sensitivity ratio. The results showed that all the stingless bees tested are more sensitive to TMX than the Apis mellifera, the model organism used in ecotoxicological tests. Regarding the oral LC50, the most susceptible and most tolerant species were M. scutellaris > T. angustula > S. postica > A. mellifera. Following the same evaluated pattern, for the LD50 (considering the weight of the bees - ng a.i./g bee), we have: M. scutellaris > S. postica > T. angustula > A. mellifera, and without the weight considered (ng a.i./bee): T. angustula > M. scutellaris > S. postica > A. mellifera. The different sensitivities among stingless bee species highlight the importance of inserting more than one surrogate species with a variety of sizes in research and protocol development. Additionally, the research suggests the need to investigate patterns regarding the influence of body mass on pesticide sensitivity among stingless bee species. ¬© 2022 Elsevier Ltd",2023///,2023,10.1016/j.envpol.2022.120842,318.0,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144079658&doi=10.1016%2fj.envpol.2022.120842&partnerID=40&md5=76784e21ad6b201448cabf3e1b119948,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'ecotoxicology', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Article', 'controlled study', 'neonicotinoid pesticide', 'nonhuman', 'pesticide', 'Pesticides', 'risk assessment', 'Risk assessment', 'Apis mellifera', 'thiamethoxam', 'Ecotoxicology', 'Pesticide risk assessment', 'stingless bee', 'Thiamethoxam', 'Toxicity', 'toxicology', 'body mass', 'body weight', 'LD50', 'Lethal Dose 50', 'LC50', 'sensitivity analysis', 'Scaptotrigona postica', 'species difference', 'Tropics', 'Body weight', 'Melipona scutellaris', 'Tetragonisca angustula', 'Environmental risks', 'species sensitivity distribution', 'Tropical regions', 'Population distribution', 'sensitivity ratio', 'species', 'Species sensitivity distribution', 'Species Sensitivity Distribution (SSD)', 'Species sensitivity distributions', 'surrogate species']",,,,,1,7,0,
76,356,JOUR,Assessment of Contact and Oral Toxicity of Four Neonicotinoid Insecticides to Bumblebees (Bombus terrestris),"['Kim, A.', 'Kim, B.', 'Chon, K.', 'Lee, H.', 'Park, Y.-K.', 'You, A.-S.', 'Park, H.-H.', 'Yun, H.-J.']",Korean Journal of Environmental Agriculture,"BACKGROUND: Bumblebees have been shown to be very effective pollinators for most greenhouse tomatoes. Neonicotinoid insecticides are one of the most widely used pesticides in tomato crops in Korea. METHODS AND RESULTS: This study was carried out to investigate the toxicity of four neonicotinoid insecticides (clothianidin, dinotefuran, imidacloprid and thiamethoxam) to bumblebees based on the OECD guidelines (No.246, 247). The 48 hr LD50 (Œºg a.i. /bumblebee) values in the acute contact toxicity tests were determined as follows: clothianidin, 0.467; dinotefuran, 3.741; imidacloprid, 3.967; and thiamethoxam, 0.747. The 48 hr LD50 values in the acute oral toxicity tests were determined as follows: clothianidin, 0.005; dinotefuran, 0.056; imidacloprid, 0.325; and thiamethoxam, 0.018. The acute contact and oral toxicity of the test insecticides to bumblebees from most to least toxic was clothianidin > thiamethoxam > dinotefuran > imidacloprid. CONCLUSION: This study provided the basic toxicological data of neonicotinoid insecticides for bumblebees. In the near future, acute toxicity and mixture toxicity of other pesticides to bumblebees could be determined using this method. ¬© 2020 The Korean Society of Environmental Agriculture.",2020///,2020,10.5338/KJEA.2020.39.2.14,39.0,2,106,113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142069271&doi=10.5338%2fKJEA.2020.39.2.14&partnerID=40&md5=005a3870ddd619d2f52a567b1681aa2e,Scopus,"['Bumblebees', 'Acute Toxicity', 'Neonicotinoid Insecticides']",,,,,1,8,0,
166,446,JOUR,Apis mellifera and Melipona scutellaris exhibit differential sensitivity to thiamethoxam,"['Miotelo, L.', 'Mendes dos Reis, A.L.', 'Malaquias, J.B.', 'Malaspina, O.', 'Roat, T.C.']",Environmental Pollution,"Apis mellifera is a pollinator insect model in pesticide risk assessment tests for bees. However, given the economic and ecological importance of stingless bees such as Melipona scutellaris in the Neotropical region, as well as the lack of studies on the effect of insecticides on these bees, toxicity tests for stingless bees should be carried out to understand whether insecticides affect both species of bees in the same manner. Thus, the present study quantified the differential sensitivity of the bees M. scutellaris and A. mellifera to the oral ingestion of the insecticide thiamethoxam by determining the mean lethal concentration (LC50), mean lethal time (LT50), and their effect on the insecticide target organ, the brain. The results showed that the stingless bee is more sensitive to the insecticide than A. mellifera, with a lower LC50 of 0.0543 ng active ingredient (a.i.)/ŒºL for the stingless bee compared to 0.227 ng a.i./ŒºL for A. mellifera. When exposed to a sublethal concentration, morphological and ultrastructural analyses were performed and evidenced a significant increase in spaces between nerve cells of both species. Thus, A. mellifera is not the most appropriate or unique model to determine the toxicity of insecticides to stingless bees. ¬© 2020 Elsevier Ltd",2021///,2021,10.1016/j.envpol.2020.115770,268.0,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092365396&doi=10.1016%2fj.envpol.2020.115770&partnerID=40&md5=d00352d9bf850ff62131c4cd096b68d6,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'ecotoxicology', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'pollinator', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'pesticide', 'Pesticides', 'risk assessment', 'Risk assessment', 'Apis mellifera', 'Apoidea', 'concentration (parameter)', 'Hexapoda', 'environmental protection', 'organism colony', 'thiamethoxam', 'Pesticide risk assessment', 'Meliponinae', 'Neonicotinoid', 'Thiamethoxam', 'Toxicity', 'toxicity testing', 'animal cell', 'Neurons', 'LD50', 'Lethal Dose 50', 'animal tissue', 'nontarget organism', 'LC50', 'morphology', 'Toxicity Tests', 'mortality rate', 'sensitivity analysis', 'chemical analysis', 'Lethal concentration', 'biodiversity', 'Stingless bees', 'transmission electron microscopy', 'Basidiomycota', 'nerve cell', 'Neotropical Region', 'toxicity test', 'Active ingredients', 'LT50', 'Mushroom body', 'Melipona scutellaris', 'ultrastructure', 'Ultrastructure', 'Differential sensitivity', 'Flickering', 'Model organism', 'Oral ingestion', 'Toxicity test', 'Toxicity tests', 'Ultrastructural analysis']",,,,,1,9,0,
192,472,JOUR,Toxicity of synthetic insecticides on Tetragonula pagdeni (Hymenoptera Apidae),"['Kilaso, M', 'Chaisuekul, C']",BULLETIN OF INSECTOLOGY,"Stingless bees are important pollinators in the ecosystem and crop production in most subtropical and tropical regions of the world. However, the global decline of bee populations is a serious concern. Insecticides are considered crucial factors affecting bee survival. In this study, the acute toxicity of selected synthetic insecticides (imidacloprid, profenofos, and lambda-cyhalothrin) on a stingless bee, Tetragonula pagdeni (Schwarz) (Hymenoptera Apidae), was investigated and the LD50 and LC50 determined through topical, oral, and contact exposure under laboratory conditions. The estimated topical LD50 values for imidacloprid, lambda-cyhalothrin, and profenofos were 0.06, 0.53, and 45.39 ng active ingredient (a.i.)/bee, respectively. The corresponding estimated LD 50 values from oral bioassays were 0.66, 7.52, and 75.04 ng a.i./bee, and LC50 values for contact exposure were 48.74, 4,339.83, and 3,062.81 ng a.i./cm(2) . Overall, imidacloprid exhibited the highest toxicity among the evaluated insecticides for all routes of exposure. In addition, insecticide toxicity was higher in the topical bioassay than in oral and contact bioassays. These findings demonstrate that this stingless bee is extremely vulnerable to insecticide use. Therefore, selection of insecticides in pest control programs should consider mitigation of the risk to and detrimental effects on stingless bees.",2024/06//,2024,,77.0,1,,,,,"['pollinator', 'pesticide', 'acute toxicity', 'stingless bee', 'mortality', 'bioassay', 'susceptibility']",1721-8861,WOS:001239108700010,,,1,10,0,
