record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,issn,accession_number,start_page,end_page,url,name_of_database,keywords,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
120,JOUR,Bee sensitivity derived from acute contact tests biased by standardised protocols?,"Baas, J.; Knautz, T.; Barme, A.; Sekine, T.; Jaklofsky, M.; Belgers, D.; Jansen, N.; Boerwinkel, M.-C.; Roessink, I.",Ecotoxicology and Environmental Safety,"In an acute contact test with bees the compound of interest is dissolved in a carrier solvent (frequently acetone) and then a droplet of the solution is placed on the dorsal thorax of the bee. The volume of the droplet is standardised to 1 ï¿½ï¿½L for honeybees and to 2 ï¿½ï¿½L for bumblebees. In practice the same droplet volume is used for bees with very different sizes. In this research the effect of the droplet volume was evaluated with acute contact tests with dimethoate for the alfalfa leafcutter bee, the red mason bee, the honeybee and the bumblebee. The results were analysed with a ToxicoKinetic ToxicoDynamic (TKTD) model to separate kinetic from dynamic effects. This allows to compare the sensitivity of the bee based on the effect threshold and not on the time, species and test dependent LD50s. The analysis of the test results indicates that the magnitude of the response of the bees increased with increasing droplet size. The results also showed that the manifestation of effects over time is slower fod mason bee and the bumblebee compared to the honeybee and the alfalfa leafcutter bee. This implies that the result of a 2 day test with a fixed dosing volume results in different response for a bumblebee compared to the alfalfa leafcutter bee, not because of different sensitivities of the bees involved but due to the difference of relative dosed surface ratio. So comparing the sensitivity of bee species, based on standardised tests is biased and amplifies the sensitivity for the smaller bee species. ï¿½ï¿½ 2024 The Aut",2024,2024,10.1016/j.ecoenv.2024.117062,285,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204093571&doi=10.1016%2fj.ecoenv.2024.117062&partnerID=40&md5=b1f836d123f4699f1ed12e39a28b193e,,"acetone; acute contact test; Acute contact test; acute toxicity; alfalfa; anesthetic agent; animal; Animals; Apis mellifera; Article; bee; bee sensitivity; Bee sensitivity; Bee testing; BeeGUTS; Bees; body size; Bombus terrestris; breeding; bumblebee; clinical protocol; cocoon; crop protection; dimethoate; Dimethoate; droplet; droplet size; drug effect; female; hatching; honeybee; incubation time; insecticide; Insecticides; LD50; Lethal Dose 50; male; Megachile rotundata; Megachilidae; nonhuman; Osmia bicornis; physical phenomena; physiology; procedures; relative humidity; risk assessment; sensitivity analysis; solvent; species difference; Species Specificity; stochastic model; surface area; toxicity testing; Toxicity Tests, Acute; triton x 100; wetting agent",,1,,1,1
20,JOUR,"The leafcutter bee, Megachile rotundata, is more sensitive to N-cyanoamidine neonicotinoid and butenolide insecticides than other managed bees","['Hayward, A.', 'Beadle, K.', 'Singh, K.S.', 'Exeler, N.', 'Zaworra, M.', 'Almanza, M.-T.', 'Nikolakis, A.', 'Garside, C.', 'Glaubitz, J.', 'Bass, C.', 'Nauen, R.']",Nature Ecology and Evolution,"Recent research has shown that several managed bee species have specific P450 enzymes that are preadapted to confer intrinsic tolerance to some insecticides including certain neonicotinoids. However, the universality of this finding across managed bee pollinators is unclear. Here we show that the alfalfa leafcutter bee, Megachile rotundata, lacks such P450 enzymes and is >2,500-fold more sensitive to the neonicotinoid thiacloprid and 170-fold more sensitive to the butenolide insecticide flupyradifurone than other managed bee pollinators. These findings have important implications for the safe use of insecticides in crops where M. rotundata is used for pollination, and ensuring that regulatory pesticide risk assessment frameworks are protective of this species. ï¿½ï¿½ 2019, The Author(s), under exclusive licence to Springer Nature Limi",2019///,2019,10.1038/s41559-019-1011-2,3,11,,,1521.0,1524.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074246580&doi=10.1038%2fs41559-019-1011-2&partnerID=40&md5=c1bfb0901d86f81875a5b06a2fbb6625,Scopus,,,0,,1,2
18,JOUR,Susceptibility of Megachile rotundata to insecticides used in wild blueberry production in Atlantic Canada,"['Gradish, A.E.', 'Scott-Dupree, C.D.', 'Cutler, G.C.']",Journal of Pest Science,"The alfalfa leafcutting bee, Megachile rotundata (Fabricius), is a valuable wild and managed pollinator of lowbush blueberry (syn. 'wild blueberry', Vaccinium angustifolium Ait.), in Atlantic Canada. As some insecticides may present a hazard to pollinators, we assessed the susceptibility of M. rotundata to insecticides used or projected for future use in lowbush blueberry pest management. In topical direct contact bioassays, adults were susceptible to phosmet, spinosad, spinetoram, and deltamethrin. Based on findings from these laboratory studies, it appears that when used at recommended or projected application rates, each of these compounds poses a hazard to M. rotundata by direct contact. In a second experiment, eggs and larvae were collected in the field and their pollen provisions were treated with deltamethrin, flubendiamide, and spinetoram at field relevant concentrations. Larvae treated with deltamethrin and spinetoram in the laboratory either died before spinning a cocoon or, in the case of spinetoram, occasionally pupated without spinning a cocoon. Flubendiamide was not toxic to adult M. rotundata by direct contact and had no effect on larval survivorship, or time to complete cocoon spinning. Emergence after overwintering was relatively poor overall, but there was no effect of treatment. Based on these results, flubendiamide appears safe to use in the presence of M. rotundata, whereas the other insecticides we tested may pose a hazard. ï¿½ï¿½ 2011 Springer-Ver",2012///,2012,10.1007/s10340-011-0391-0,85,1,,,133.0,140.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857652083&doi=10.1007%2fs10340-011-0391-0&partnerID=40&md5=94b8475e7369663b7390f2cd5b201bbe,Scopus,,,0,,1,3
53,JOUR,Design and structure optimization of novel butenolide derivatives as low bee-toxicity candidates,"['Zhu, K.', 'Lu, X.', 'Li, X.', 'Han, Q.', 'Zou, R.', 'Yang, Z.', 'Li, H.', 'Duan, H.']",Journal of Molecular Structure,"The discovery of new neonicotinoid alternatives with high efficiency against pests and eco-safety toward bees has become an increasingly urgent need in recent years. The relationship between the oil-water partition coefficient (logP) and the bee-toxicity of commercial nicotinic acetylcholine receptor (nAChR) competitive modulators was explored in this work. Compared compounds with a high bee-toxicity, compounds with low bee-toxicity were found to have higher logP values. Therefore, two series of novel butenolide derivatives with different hydrophobic groups were designed and synthesized by including different hydrophobic groups. The insecticidal activity study showed that compounds I-01 (LC50=112.96 ï¿½ï¿½g/mL), II-05 (LC50=124.68 ï¿½ï¿½g/mL), and II-11 (LC50=87.89 ï¿½ï¿½g/mL) were with higher insecticidal activity against Aphis glycines and lower calculated logP values among all synthesized compounds. Molecular dynamics simulations indicated that three butenolide compounds formed some hydrogen bonding or ï¿½interactions with insect acetylcholine binding protein (AChBP). In addition, the bee-toxicity bioassay also showed that compounds I-01, II-05 and II-11 were with much lower contact bee-toxicity than imidacloprid. The possible mechanism of the bee toxicity of the novel butenolide compounds was explored based on the nAChR function subunit AmeIï¿½ï¿½8/ratï¿½ï¿½2. This study will provide rational guidance on novel butenolide compounds as low-bee-toxicity candidates based on their molecular hydrophobic properties.",2023///,2023,10.1016/j.molstruc.2023.135257,1282,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149303804&doi=10.1016%2fj.molstruc.2023.135257&partnerID=40&md5=6a3cab67f78f710a3aa47a04b190750c,Scopus,"['Acetylcholine receptor', 'Amino acids', 'Butenolide', 'Butenolides', 'Hydrogen bonds', 'Hydrophobic group', 'Hydrophobic groups', 'Hydrophobicity', 'Low bee-toxicity', 'Molecular dynamics', 'nAChR functional subunit AmeIï¿½ï¿½8/ratï¿½ï¿½2', 'Nicotinic acetylcholine', 'Nicotinic acetylcholine receptor functional subunit ameiï¿½ï¿½8/ratï¿½ï¿½2', 'Oil-water partition coefficient', 'Oil/water', 'Structural optimization', 'Synthesised', 'Toxicity', 'Water partitio",,0,,1,4
56,JOUR,Discovery of piperonyl-tethered sulfoximines as novel low bee-toxicity aphicides targeting Amelï¿½ï¿½1/ratï¿½ï¿½2,"['Han, Q.', 'Zhou, Y.', 'Zi, Y.', 'Zhang, R.', 'Feng, T.', 'Zou, R.', 'Zhu, W.', 'Wang, Y.', 'Duan, H.']",International Journal of Biological Macromolecules,"Nicotinic acetylcholine receptor (nAChR) is recognized as a significant insecticide target for neonicotinoids and some agonists. In this study, the nAChR ï¿½ï¿½1 subunit from Apis mellifera was first found to be narrowly tuned to different bee toxicity insecticides, namely, sulfoxaflor (SFX) and flupyradifurone (FPF). Hence, novel sulfoximine derivatives 7a-h were rationally designed and synthesized by introducing a benzo[d][1,3]dioxole moiety into a unique sulfoximine skeleton based on the binding cavity characteristics of Amelï¿½ï¿½1/ratï¿½ï¿½2. The two electrode voltage clamp responses of 7a-h were obviously lower than that of SFX, indicating their potentially low bee toxicity. Besides, representative compounds 7b and 7g exhibited low bee toxicity (LD50 > 11.0 ï¿½ï¿½g/bee at 48 h) revealed by acute contact toxicity bioassays. Molecular modelling results indicated that Ile152, Ala151, and Val160 from honeybee subunit Amelï¿½ï¿½1 and Lys144 and Trp80 from aphid subunit Mpï¿½ï¿½1 may be crucial for bee toxiciy, respectively. These results clarify the toxic mechanism of agonist insecticides on nontargeted pollinators and reveal novel scaffold sulfoximine aphicidal candidates with low bee toxicity. These results will provide a new perspective on the rational design and highly effective development of novel eco-friendly insecticides based on the structure of the nAChR subunit. ï¿½ï¿½ 2023 Elsevier ",2023///,2023,10.1016/j.ijbiomac.2023.126719,253,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171128331&doi=10.1016%2fj.ijbiomac.2023.126719&partnerID=40&md5=c31257c1043a86dedd3ff79206f6ef36,Scopus,"['1,3 benzodioxole derivative', 'Acetylcholine receptor', 'acute toxicity', 'adult', 'alanine', 'animal', 'animal cell', 'animal experiment', 'Animals', 'aphicidal activity', 'aphicide', 'Aphicide', 'Apis mellifera', 'Article', 'bee', 'bee toxicity', 'Bee toxicity', 'Bees', 'benzo[d][1,3]dioxole', 'bioassay', 'chemical structure', 'chemistry', 'controlled study', 'electrophysiology', 'Electrophysiology', 'Electrophysiology response', 'flupyradifurone', 'honeybee', 'insecticidal activity', 'insecticide', 'Insecticides', 'isoleucine', 'LD50', 'Lethal Dose 50', 'lysine', 'molecular model', 'nAChR subunit', 'neonicotinoid', 'Neonicotinoids', 'Nicotinic acetylcholine', 'Nicotinic acetylcholine receptor subunit', 'nicotinic receptor', 'nicotinic receptor alpha1', 'nicotinic receptor beta2', 'nonhuman', 'oxime derivative', 'pipamperone', 'protein protein interaction', 'protein structure', 'protein targeting', 'rat', 'Receptors, Nicotinic', 'Scaffolds', 'structure analysis', 'sulfoxaflor', 'sulfoximine derivative', 'Sulfoximine derivatives', 'Sulfoximines', 'Sulfur Compounds', 'sulfur derivative', 'synthesis', 'Toxicity', 'toxicity testing', 'tryptophan', 'unclassified drug', 'valine', 'voltage clamp technique']",,0,,1,5
55,JOUR,Rational Design of Triazinone Derivatives with Low Bee Toxicity Based on the Binding Mechanism of Neonicotinoids to Apis mellifera,"['Lu, X.', 'Jiang, Z.', 'Xu, H.', 'Zhang, X.', 'Lin, Y.', 'Pan, S.', 'Zhang, Y.', 'Liu, Y.', 'Wang, Y.', 'Li, X.', 'Duan, H.', 'Yang, X.', 'Ling, Y.']",Journal of Agricultural and Food Chemistry,"Bees, one of the most vital pollinators in the ecosystem and agriculture, are currently threatened by neonicotinoids. To explore the molecular mechanisms of neonicotinoid toxicity to bees, the different binding modes of imidacloprid, thiacloprid, and flupyradifurone with nicotinic acetylcholine receptor (nAChR) ï¿½ï¿½1ï¿½ï¿½1 and cytochrome P450 9Q3 (CYP9Q3) were studied using homology modeling and molecular dynamics simulations. These mechanisms provided a basis for the design of compounds with a potential low bee toxicity. Consequently, we designed and synthesized a series of triazinone derivatives and assessed their bioassays. Among them, compound 5a not only displayed substantially insecticidal activities against Aphis glycines (LC50 = 4.40 mg/L) and Myzus persicae (LC50 = 6.44 mg/L) but also had low toxicity to Apis mellifera. Two-electrode voltage clamp recordings further confirmed that compound 5a interacted with the M. persicae nAChR ï¿½ï¿½1 subunit but not with the A. mellifera nAChR ï¿½ï¿½1 subunit.des a paradigm for applying molecular toxic mechanisms to the design of compounds with low bee toxicity, thereby aiding the future rational design of eco-friendly nicotinic insecticides. ï¿½ï¿½ 2024 American Chemical Soci",2024///,2024,10.1021/acs.jafc.4c00679,72,23,,,12956.0,12966.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194926976&doi=10.1021%2facs.jafc.4c00679&partnerID=40&md5=128171ee17a8e3f98a6cf3b6bb570af5,Scopus,"['Acetylcholine receptor', 'Amino acids', 'animal', 'Animals', 'aphid', 'Aphids', 'bee', 'bee toxicity', 'Bee toxicity', 'Bees', 'Binding energy', 'chemistry', 'CYP9Q3', 'Cytochrome P-450 Enzyme System', 'cytochrome P450', 'Cytochrome p450 9q3', 'Cytochromes P450', 'drug design', 'Drug Design', 'drug effect', 'imidacloprid', 'insect protein', 'Insect Proteins', 'insecticidal activity', 'Insecticidal activity', 'insecticide', 'Insecticides', 'metabolism', 'molecular dynamics', 'Molecular dynamics', 'Molecular Dynamics Simulation', 'nAChR ï¿½ï¿½1ï¿½ï¿½1', 'neonicotinoid', 'neonicotinoids', 'Neonicotinoids', 'Nicotinic acetylcholine', 'Nicotinic acetylcholine receptor ï¿½ï¿½1ï¿½ï¿½1', 'nicotinic receptor', 'Nitro Compounds', 'nitro derivative', 'protein binding', 'Protein Binding', 'Rational design', 'Receptors, Nicotinic', 'thiacloprid', 'thiazine derivative', 'Thiazines', 'Toxicity', 'Triazinone derivative', 'triazino",,0,,1,6
59,JOUR,Computational insight on the binding and selectivity of target-subunit-dependent for neonicotinoid insecticides,"['Xu, XY', 'Yang, ZK', 'Zhu, K', 'Li, HL', 'Qin, ZH', 'Duan, HX']",JOURNAL OF MOLECULAR GRAPHICS & MODELLING,"The nicotinic acetylcholine receptor (nAChR), as an attractive target acted by neonicotinoid insecticides, was paid more and more attention in recent years. The mode of action study on neonicotinoids toward nAChR would present significant guidance on rational molecular design to further discover new insecticides. Four neonicotinoids including commercial agents imidacloprid and flupyradifurone, two previously synthesized compounds guadipyr and ethoxythiagua in our lab were docked into a putative model of aphid and honeybee nAChR, respectively, to explore the binding and selective mechanism of neonicotinoids in this study. The obtained results showed that a traditional H-bond interaction, as a dominating electrostatic driving force, always conferred the binding of four neonicotinoids not only to target aphid receptor but also to non-target honeybee one. Four neonicotinoids almost showed uniformly binding conformation into aphid receptor, namely, a vital electronegative nitro or butenolide group to be conserved to nestle in a non-selective beta subunit. The bioassay study on Aphis gossypii also confirmed to be their excellent insecticidal activity with a lower LC50 value of 0.028-3.2 mu g/mL. However, to non-target honeybee receptor, this special nitro or butenolide group of four neonicotinoids was no longer only binding to the non-selective beta subunit of receptor. Three among four neonicotinoids like flupyradifurone, guadipyr and ethoxythiagua as a case of low bee-toxicity reported in the previous study, were happened to display an exactly inverted binding orientation, namely, an unusual electronegative group captured another selective alpha subunit. However, this high bee-toxicity imidacloprid remained one conserved conformation into the non-selective beta subunit as that seen from aphid receptor. This unique molecular mechanism of selectively binding to honeybee receptor, particularly to different subunit, was proposed cautiously to be one of factor determined the distinctive bee-toxicity for four neonicotinoids. These findings on the diverse mode of action for neonicotinoids to target and non-target receptor would be helpful for on novel insecticides design with high bioactivity as well as good selectivity based on the structure of different insect nAChR. (C) 2020 Elsevier Inc. All rights reserved.",2020/07//,2020,10.1016/j.jmgm.2020.107586,98,,1093-3263,WOS:000534572200003,,,,,"['Article', 'bee', 'Binding and selective mode', 'bioassay', 'butenolide', 'controlled study', 'cotton aphid', 'ethoxythiagua', 'force', 'guadipyr', 'Homology modeling', 'honeybee', 'hydrogen', 'hydrogen bond', 'imidacloprid', 'insecticidal activity', 'Insecticides', 'LC50', 'Molecular design', 'molecular interaction', 'molecular probe', 'neonicotinoid', 'Neonicotinoids', 'Nicotinic acetylcholine receptor', 'Nicotinic acetylcholine receptors', 'nicotinic receptor', 'nonhuman', 'priority journal', 'protein conformation', 'static electricity', 'toxicity', 'Toxicity', 'unclassified drug', 'upyradifurone']",,0,,1,7
58,JOUR,"Design, Synthesis and Bioactivity of Novel Low Bee-Toxicity Compounds Based on Flupyrimin","['Lu, X.', 'Xu, H.', 'Zhang, X.', 'Sun, T.', 'Lin, Y.', 'Zhang, Y.', 'Li, H.', 'Li, X.', 'Yang, X.', 'Duan, H.', 'Ling, Y.']",Molecules,"Neonicotinoids are important insecticides for controlling aphids in agriculture. Growing research suggested that neonicotinoid insecticides are a key factor causing the decline of global pollinator insects, such as bees. Flupyrimin (FLP) is a novel nicotinic insecticide with unique biological properties and no cross-resistance, and is safe for pollinators. Using FLP as the lead compound, a series of novel compounds were designed and synthesized by replacing the amide fragment with a sulfonamideone. Their structures were confirmed by 1H NMR, 13C NMR and HRMS spectra. Bioassay results showed that compound 2j had good insecticidal activity against Aphis glycines with an LC50 value of 20.93 mg/L. Meanwhile, compound 2j showed significantly lower acute oral and contact toxicity to Apis mellifera. In addition, compound 2j interacted well with the protein in insect acetylcholine binding protein (AChBP). The molecular docking on honeybee nicotinic acetylcholine receptor (nAChR) indicated that the sulfonamide group of compound 2j did not form a hydrogen bond with Arg173 of the ï¿½ï¿½ subunit, which conforms to the reported low bee-toxicity conformation. In general, target compound 2j can be regarded as a bee-friendly insecticide candidate. ï¿½ï¿½ 2022 by the ",2022///,2022,10.3390/molecules27186133,27,18,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138429884&doi=10.3390%2fmolecules27186133&partnerID=40&md5=02f09e651375b0c5ccb078cf86619cc3,Scopus,"['acetylcholine', 'Acetylcholine', 'amide', 'Amides', 'animal', 'Animals', 'aphid', 'Aphids', 'bee', 'Bees', 'chemistry', 'Flupyrimin derivatives', 'insect protein', 'Insect Proteins', 'insecticide', 'Insecticides', 'low bee-toxicity', 'metabolism', 'molecular docking', 'Molecular Docking Simulation', 'neonicotinoid', 'Neonicotinoids', 'nicotinic acetylcholine receptor (nAChR)', 'nicotinic insecticide', 'nicotinic receptor', 'Nitro Compounds', 'nitro derivative', 'Receptors, Nicotinic', 'sulfonamide', 'Sulfonamides']",,0,,1,8
62,JOUR,"Target-Based Design, Synthesis, and Biological Evaluation of Novel 1,2,4-Triazolone Derivatives as Potential nAChR Modulators","['Lu, XX', 'Xu, H', 'Zhang, XM', 'Sun, TD', 'Lin, YF', 'Li, HH', 'Li, XS', 'Zhang, L', 'Duan, HX', 'Yang, XL', 'Ling, Y']",JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"Novel agrochemicals have been successfully developed using target-based drug design (TBDD). To discover a novel, efficient, and highly selective nicotinic insecticide candidate, we developed a unified pharmacological model using TBDD by studying the binding modes of 11 nicotinic acetylcholine receptor (nAChR) modulators with acetylcholine binding protein (AChBP) targets for the first time. This model was used to design and develop a series of 1,2,4-triazolone derivatives. Bioassays demonstrated excellent insecticidal activities against Aphis glycines of compounds 4k (LC50 = 4.95 mg/L) and 4q (LC50 = 3.17 mg/L), and low toxicities to Apis mellifera. Additionally, compound 4q was stably bound to Aplysia californica AChBP, which was consistent with the pharmacological model obtained via molecular docking and molecular dynamics simulations. Therefore, compound 4q could be a potential lead candidate targeting nAChR. The explicit pharmacological model of nAChR modulators with Ac-AChBP in this study may facilitate the future rational design of eco-friendly nicotinic insecticides.",2023/12/05/,2023,10.1021/acs.jafc.3c04998,71,49,0021-8561,WOS:001126781000001,19333.0,19342.0,,,,,0,,1,9
57,JOUR,Screening and Optimization of Novel Low Bee-Toxicity Phenylacetohydrazone Compounds Based on Insect nAChR Selectivity,"['Yang, ZK', 'Wu, X', 'Zhang, JL', 'Lu, XX', 'Li, X', 'Jiang, ZY', 'Song, DL', 'Duan, HX', 'Yang, XL']",CHINESE JOURNAL OF ORGANIC CHEMISTRY,"Increasing numbers of neonicotinoids have recently been banned by the European Union (EU) and the United States of America (USA) due to their potential high risk to pollinating bees. In this work, a phenylacetohydrazone compound VS-04 was found via scaffold hopping to exert good mortality rate against soybean aphids based on a double combinational strategy of virtual screening and bioassay technique. The molecular interaction mode to honeybee nicotinic acetylcholine receptor (nAChR) for the newly found compound VS-04 obviously differed from that of the known imidacloprid. The newly synthesized phenylacetohydrazone compounds 3c and 3e caused soybean aphids to have a moderate mortality rate of approximately 70% at a concentration of 500 mu g/mL. Importantly, the bee-toxicity study confirmed that compounds 3c and 3e showed much lower acute contact toxicity with LD50 value (30.35 and 124.4 mu g/bee) of 3 similar to 4 orders of magnitude than that of imidacloprid (0.019 mu g/bee). The hydrazone substructure of compound 3c was found to be a L-shape low-energy conformation confirmed by a crystal structure of its analog 3m and inversely point toward a subunit of honeybee receptor via a molecular interaction study, indicating its potential low bee-toxicity. Compounds 4f and 4g (optimized derivatives of 3e) indeed showed better insecticidal activity against soybean aphids with moderate LC50 values of 83.42 and 66.44 mu g/mL, respectively, compared with 3e (147.30 mu g/mL). This work facilitates the discovery of suitable and ecofriendly candidates as alternatives to neonicotinoids based on different insect nAChR structure.",2021/07/25/,2021,10.6023/cjoc202101028,41,7,0253-2786,WOS:000691058000022,2774.0,2787.0,,,"['Aplysia california acetylcholine binding protein (Ac-AChBP)', 'Neonicotinoid', 'Phenylacetohydrazone compounds', 'Scaffold hopping', 'Target and nontarget selectivity']",,0,,1,10
