record_id,﻿record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,url,name_of_database,keywords,issn,accession_number,short_title,exported_notes_1,included,asreview_ranking,asreview_prior,exported_notes_2
232,232,JOUR,LD50 values may be misleading predictors of neonicotinoid toxicity across different bee species,"['Mayack, C.', 'Boff, S.']",Uludag Aricilik Dergisi,"The importance of not only honey bees (Apis mellifera) but also other non-managed bee species and their pollination services has come to light with their recently reported declines. One contributing factor in these declines is thought to be sub-lethal exposure to neonicotinoid insecticides such as thiacloprid. However, current government regulatory agencies do not require the assessment of insecticide toxicity on bee species other than the honey bee, even though previous studies have demonstrated that sensitivity to insecticides is not likely to be generalizable from honey bees to non-managed bee species. Replicating standardized protocols and testing five different doses of thiacloprid on individual caged bees, we assessed the acute contact toxicity by calculating mortality and the lethal dose (LD50) value for three bee species with different life history traits: Apis mellifera, Bombus terrestris, and Osmia bicornis. We found that Apis mellifera and Osmia bicomis had significantly higher mortality in comparison to Bombus terrestris, but there was no dose-dependent response for any of the three bee species. Bee size and sex were also not useful predictors of thiacloprid toxicity. These results suggest that solely relying on LD50 values, especially when they do not produce a dose-dependent response, may be misleading when assessing insecticide toxicity risk for honey bees and other non-managed bee species. Copyright ¬© 2019 Business Lawyer. All rights reserved.",2019///,2019,10.31467/uluaricilik.568251,19,1,19.0,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080945275&doi=10.31467%2fuluaricilik.568251&partnerID=40&md5=c04078bb3a84a1e03fccbead3e844dce,Scopus,,,,Neonikotinoidlerin Zehir Etkilerini Belirlemede LD50 Degerleri Farkli An T√ºrleri I√ßin Yaniltici Bir √ñng√∂sterge Olabilir,,1,1,1,
157,157,JOUR,"Larval oral exposure to thiacloprid: Dose-response toxicity testing in solitary bees, Osmia spp. (Hymenoptera: Megachilidae)","['Claus, G.', 'Pisman, M.', 'Spanoghe, P.', 'Smagghe, G.', 'Eeraerts, M.']",Ecotoxicology and Environmental Safety,"Risk assessment of pesticides involves ecotoxicological testing. In case pesticide exposure to bees is likely, toxicity tests are performed with honey bees (Apis mellifera), with a tiered approach, for which validated and internationally accepted test protocols exist. However, concerns have grown regarding the protection of non-Apis bees [bumble bees (Bombus spp.), solitary and stingless bees], given their different life cycles and therefore distinct exposure routes. Larvae of solitary bees of the genus Osmia feed on unprocessed pollen during development, yet no toxicity test protocol is internationally accepted or validated to assess the impact of pesticide exposure during this stage of their life cycle. Therefore, the purpose of this study is to further validate a test protocol with two solitary bee species (O. cornuta and O. bicornis) to assess lethal and sublethal effects of pesticide exposure on larval development. Larvae were exposed to thiacloprid (neonicotinoid insecticide) mixed in a new, artificial pollen provision. Both lethal (developmental and winter mortality) and sublethal endpoints (larval development time, pollen provision consumption, cocoon weight, emergence time and adult longevity) were recorded. Effects of lower, more environmentally realistic doses were only reflected in sublethal endpoints. In both bee species, thiacloprid treatment was associated with increased developmental mortality and larval development time, and decreased pollen provision consumption and cocoon weight. The test protocol proved valid and robust and showed that for higher doses of thiacloprid the acute endpoint (larval mortality) is sufficient. In addition, new insights needed to develop a standardized test protocol were acquired, such as testing of a positive control for the first time and selection of male and female individuals at egg level. ¬© 2021 The Authors",2021///,2021,10.1016/j.ecoenv.2021.112143,215,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102581767&doi=10.1016%2fj.ecoenv.2021.112143&partnerID=40&md5=0b628199b435a536f1bf9d7479f980a8,Scopus,"['adult', 'animal', 'animal cell', 'animal experiment', 'Animals', 'Apis mellifera', 'Article', 'bee', 'Bees', 'Bombus (genus)', 'cocoon', 'cocoon weight', 'concentration (composition)', 'concentration (parameter)', 'controlled study', 'Cornuta', 'developmental mortality', 'dose-response relationship', 'drug effect', 'embryo', 'environment', 'exposure', 'female', 'Female', 'Hymenoptera', 'insecticide', 'Insecticides', 'larva', 'Larva', 'larval development', 'larval development time', 'Lethal endpoints', 'lethality', 'life cycle stage', 'Life Cycle Stages', 'longevity', 'male', 'Megachilidae', 'Meliponinae', 'mortality', 'neonicotinoid', 'neonicotinoid pesticide', 'Neonicotinoids', 'nonhuman', 'Oral test protocol', 'Osmia', 'Osmia bicornis', 'Osmia cornuta', 'pesticide', 'pesticide application', 'Pesticide risk assessment', 'Pesticides', 'physiology', 'pollen', 'Pollen', 'pollen provision consumption', 'pollution exposure', 'risk assessment', 'Solitary bee larvae', 'standardization', 'Sublethal endpoints', 'thiacloprid', 'thiazine derivative', 'Thiazines', 'toxicity', 'toxicity testing', 'Toxicity Tests', 'validation study', 'weight', 'winter']",,,,,1,2,1,
161,161,JOUR,Toxicity of the insecticide sulfoxaflor alone and in combination with the fungicide fluxapyroxad in three bee species,"['Azpiazu, C.', 'Bosch, J.', 'Bortolotti, L.', 'Medrzycki, P.', 'Teper, D.', 'Molowny-Horas, R.', 'Sgolastra, F.']",Scientific Reports,"The sulfoximine insecticide sulfoxaflor is regarded as a potential substitute for neonicotinoids that were recently banned in the EU due to their side effects on bees. Like neonicotinoids, sulfoxaflor acts as a competitive modulator of nicotinic acetylcholine receptors. In agricultural environments, bees are commonly exposed to combinations of pesticides, and neonicotinoids are known to interact synergistically with fungicides. The objective of our study is to assess the acute oral toxicity of sulfoxaflor alone and in combination with a single dose of fluxapyroxad, a succinate dehydrogenase inhibitor (SDHI) fungicide, in three bee species: Apis mellifera, Bombus terrestris and Osmia bicornis. Because synergism may be dose-dependent, we tested a range of sulfoxaflor doses. Synergistic effects were assessed using three different approaches: Bliss criterion of drugs independence, ratio test comparing LD50s and model deviation ratio. Osmia bicornis was the most sensitive species to sulfoxaflor and both O. bicornis and A. mellifera showed significant synergism between the insecticide and the fungicide. For the most part, these synergistic effects were weak and only occurred at early assessment times and intermediate sulfoxaflor doses. The potential ecological relevance of these effects should be confirmed in field and/or cage studies. Overall, our laboratory results demonstrate that sulfoxaflor is somewhat less toxic than the recently banned neonicotinoids imidacloprid, thiamethoxam and clothianidin, but much more toxic than other neonicotinoids (acetamiprid, thiacloprid) still in use in the EU at the time this study was conducted. ¬© 2021, The Author(s).",2021///,2021,10.1038/s41598-021-86036-1,11,1,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103413914&doi=10.1038%2fs41598-021-86036-1&partnerID=40&md5=59f95b35b3fb145cad24be26b364e1ff,Scopus,"['amide', 'Amides', 'animal', 'Animals', 'bee', 'Bees', 'drug effect', 'drug potentiation', 'Drug Synergism', 'environmental monitoring', 'Environmental Monitoring', 'fluxapyroxad', 'fungicide', 'Fungicides, Industrial', 'insecticide', 'Insecticides', 'LD50', 'Lethal Dose 50', 'pyridine derivative', 'Pyridines', 'sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative']",,,,,1,3,1,
325,325,JOUR,Biochemical Indicators and Mortality in Honey Bee (Apis mellifera) Workers after Oral Exposure to Plant Protection Products and Their Mixtures,"['Migda≈Ç, P.', 'Murawska, A.', 'Berbeƒá, E.', 'Zarƒôbski, K.', 'Ratajczak, N.', 'Roman, A.', 'Latarowski, K.']",Agriculture (Switzerland),"The honey bee obtains food from bee forage, which comprises crops grown in multi-hectare agricultural fields where various types of plant protection products such as pesticides are used. Some of these negatively affect the honey bee organism. In our research, we aimed to evaluate the effects of three pesticide groups: fungicides (tebuconazole), insecticides (acetamiprid), herbicides (glyphosate), and their mixtures on the functioning of honey bee workers (A. mellifera carnica). Pesticides in various proportions and dilutions were added to sugar syrups and then fed to the bees. Mortality and food intake were recorded daily, while hemolymph analysis was performed after seven days of exposure. Food intake, mortality, and the results of various biochemical analyses differed between the experimental group and the control group receiving untreated sugar syrup. PPP‚Äôs mixture of glyphosate tebuconazole and acetamiprid is more toxic to bees than single pesticides. Certain protection products such as pesticides can disrupt the antioxidant and detoxification systems associated with immunity in honey bees. Consequently, honey bees experience weaker conditions and their proper functioning deteriorates. The results obtained from biochemical changes provide a basis for field studies. ¬© 2023 by the authors.",2024///,2024,10.3390/agriculture14010005,14,1,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183103423&doi=10.3390%2fagriculture14010005&partnerID=40&md5=55c6a86706152224c26d9fe13e54016e,Scopus,"['pesticide', 'toxicity', 'honey bee']",,,,,1,4,1,
195,195,JOUR,Synergistic mortality between a neonicotinoid insecticide and an ergosterol-biosynthesis-inhibiting fungicide in three bee species,"['Sgolastra, F.', 'Medrzycki, P.', 'Bortolotti, L.', 'Renzi, M.T.', 'Tosi, S.', 'Bogo, G.', 'Teper, D.', 'Porrini, C.', 'Molowny-Horas, R.', 'Bosch, J.']",Pest Management Science,"BACKGROUND: Neonicotinoid insecticides have been identified as an important factor contributing to bee diversity declines. Nonetheless, uncertainties remain about their impact under field conditions. Most studies have been conducted on Apis mellifera and tested single compounds. However, in agricultural environments, bees are often exposed to multiple pesticides. We explore the synergistic mortality between a neonicotinoid (clothianidin) and an ergosterol-biosynthesis-inhibiting fungicide (propiconazole) in three bee species (A. mellifera, Bombus terrestris, Osmia bicornis) following oral exposure in the laboratory. RESULTS: We developed a new approach based on the binomial proportion test to analyse synergistic interactions. We estimated uptake of clothianidin per foraging bout in honey bees foraging on seed-coated rapeseed fields. We found significant synergistic mortality in all three bee species exposed to non-lethal doses of propiconazole and their respective LD10 of clothianidin. Significant synergism was only found at the first assessment times in A. mellifera (4 and 24 h) and B. terrestris (4 h), but persisted throughout the experiment (96 h) in O. bicornis. O. bicornis was also the most sensitive species to clothianidin. CONCLUSION: Our results underscore the importance to test pesticide combinations likely to occur in agricultural environments, and to include several bee species in environmental risk assessment schemes. ¬© 2016 Society of Chemical Industry. ¬© 2016 Society of Chemical Industry",2017///,2017,10.1002/ps.4449,73,6,1236.0,1243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006314459&doi=10.1002%2fps.4449&partnerID=40&md5=1fb3bfcbc105952ff4abfb3ac370d3e6,Scopus,,,,,,1,5,1,
84,84,JOUR,Effects of chronic exposure to the new insecticide sulfoxaflor in combination with a SDHI fungicide in a solitary bee,"['Azpiazu, C.', 'Bosch, J.', 'Martins, C.', 'Sgolastra, F.']",Science of the Total Environment,"The recent EU ban of the three most widely used neonicotinoids (imidacloprid, thiamethoxam and clothianidin) to all outdoors applications has stimulated the introduction of new insecticides into the market. Sulfoxaflor is a new systemic insecticide that, like neonicotinoids, acts as a modulator of nicotinic acetylcholine receptors. In agro-environments, bees can be exposed to this compound via contaminated pollen and nectar for long periods of time. Therefore, it is important to assess the potential effects of chronic exposure to sulfoxaflor, alone and in combination with fungicides, on pollinators. In this study, we tested the effects of chronic exposure to two field concentrations of sulfoxaflor (20 and 100 ppb) alone and in combination with four concentrations of the fungicide fluxapyroxad (7500, 15,000, 30,000 and 60,000 ppb) on syrup consumption and longevity in females of the solitary bee Osmia bicornis L. Exposure to 20 ppb of sulfoxaflor, alone and in combination with the fungicide, stimulated syrup consumption, but did not affect longevity. In contrast, syrup consumption decreased in bees exposed to 100 ppb, all of which died after 2‚Äì6 days of exposure. We found no evidence of synergism between the two compounds at any of the two sulfoxaflor concentrations tested. Comparison of our findings with the literature, confirms that O. bicornis is more sensitive to sulfoxaflor than honey bees. Our results highlight the need to include different bee species in risk assessment schemes. ¬© 2022 The Authors",2022///,2022,10.1016/j.scitotenv.2022.157822,850,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135928552&doi=10.1016%2fj.scitotenv.2022.157822&partnerID=40&md5=2e1a654400d0a77687e7df0e0f201a92,Scopus,"['animal', 'animal experiment', 'Animals', 'Article', 'bee', 'Bees', 'Chronic exposure', 'chronic toxicity', 'controlled study', 'Exposed to', 'Feeding behavior', 'Feeding behaviour', 'female', 'Female', 'fluxapyroxad', 'Fluxapyroxad', 'fungicide', 'Fungicides', 'Fungicides, Industrial', 'Imidacloprids', 'ingestion', 'insecticide', 'Insecticides', 'long term exposure', 'longevity', 'nectar', 'neonicotinoid', 'Neonicotinoids', 'nicotinic receptor', 'nonhuman', 'Osmia bicorni', 'Osmia bicornis', 'Plant Nectar', 'pyridine derivative', 'Pyridines', 'Receptors, Nicotinic', 'Risk assessment', 'sulfoxaflor', 'Sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative', 'Synergism', 'thiamethoxam', 'Thiamethoxam', 'unclassified drug']",,,,,1,6,0,
266,266,JOUR,A new exposure protocol adapted for wild bees reveals species-specific impacts of the sulfoximine insecticide sulfoxaflor,"['Dewaele, J.', 'Barraud, A.', 'Hellstr√∂m, S.', 'Paxton, R.J.', 'Michez, D.']",Ecotoxicology,"Wild bees are crucial pollinators of flowering plants and concerns are rising about their decline associated with pesticide use. Interspecific variation in wild bee response to pesticide exposure is expected to be related to variation in their morphology, physiology, and ecology, though there are still important knowledge gaps in its understanding. Pesticide risk assessments have largely focussed on the Western honey bee sensitivity considering it protective enough for wild bees. Recently, guidelines for Bombus terrestris and Osmia bicornis testing have been developed but are not yet implemented at a global scale in pesticide risk assessments. Here, we developed and tested a new simplified method of pesticide exposure on wild bee species collected from the field in Belgium. Enough specimens of nine species survived in a laboratory setting and were exposed to oral and topical acute doses of a sulfoximine insecticide. Our results confirm significant variability among wild bee species. We show that Osmia cornuta is more sensitive to sulfoxaflor than B. terrestris, whereas Bombus hypnorum is less sensitive. We propose hypotheses on the mechanisms explaining interspecific variations in sensitivity to pesticides. Future pesticide risk assessments of wild bees will require further refinement of protocols for their controlled housing and exposure. ¬© The Author(s) 2024.",2024///,2024,10.1007/s10646-024-02750-2,33,6,546.0,559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191034497&doi=10.1007%2fs10646-024-02750-2&partnerID=40&md5=208b51c8c63de8d7e2ead2afa570cda3,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'ecotoxicology', 'insecticide', 'Insecticides', 'pollinator', 'animal experiment', 'Article', 'controlled study', 'exposure', 'female', 'nonhuman', 'Pesticides', 'risk assessment', 'drug effect', 'physiology', 'pyridine derivative', 'Pyridines', 'sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative', 'survival', 'adult', 'comparative study', 'Bombus terrestris', 'bumblebee', 'Risk Assessment', 'unclassified drug', 'Pollinators', 'animal tissue', 'Osmia', 'wild population', 'Bombus', 'species difference', 'Species Specificity', 'adaptation', 'Osmia cornuta', 'Belgium', 'wild species', 'interspecific variation', 'animal housing', 'Bombus hypnorum', 'Comparative ecotoxicology', 'hypothesis', 'intraspecific variation', 'Non-Apis bees', 'physical sensitivity']",,,,,1,7,0,
10,10,JOUR,Intra-specific variation in sensitivity of Bombus terrestris and Osmia bicornis to three pesticides,"['Linguadoca, A.', 'J√ºrison, M.', 'Hellstr√∂m, S.', 'Straw, E.A.', '≈†ima, P.', 'Karise, R.', 'Costa, C.', 'Serra, G.', 'Colombo, R.', 'Paxton, R.J.', 'M√§nd, M.', 'Brown, M.J.F.']",Scientific Reports,"There is growing evidence that pesticides may be among the causes of worldwide bee declines, which has resulted in repeated calls for their increased scrutiny in regulatory assessments. One recurring concern is that the current frameworks may be biased towards assessing risks to the honey bee. This paradigm requires extrapolating toxicity information across bee species. Most research effort has therefore focused on quantifying differences in sensitivity across species. However, our understanding of how responses to pesticides may vary within a species is still very poor. Here we take the first steps towards filling this knowledge gap by comparing acute, lethal hazards in sexes and castes of the eusocial bee Bombus terrestris and in sexes of the solitary bee Osmia bicornis after oral and contact exposure to the pesticides sulfoxaflor, Amistar (azoxystrobin) and glyphosate. We show that sensitivity towards pesticides varies significantly both within and across species. Bee weight was a meaningful predictor of pesticide susceptibility. However, weight could not fully explain the observed differences, which suggests the existence of unexplored mechanisms regulating pesticide sensitivity across bee sexes and castes. Our data show that intra-specific responses are an overlooked yet important aspect of the risk assessment of pesticides in bees. ¬© 2022, The Author(s).",2022///,2022,10.1038/s41598-022-22239-4,12,1,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139826533&doi=10.1038%2fs41598-022-22239-4&partnerID=40&md5=9425bff0e4f08797099d369cb37d3da7,Scopus,"['animal', 'Animals', 'azoxystrobin', 'bee', 'Bees', 'pesticide', 'Pesticides', 'pyrimidine derivative', 'Pyrimidines', 'risk assessment', 'Risk Assessment', 'strobilurin', 'Strobilurins']",,,,,1,8,0,
327,327,JOUR,Toxicity of Formulated Systemic Insecticides Used in Apple Orchard Pest Management Programs to the Honey Bee (Apis mellifera (L.)),"['Heller, S.', 'Fine, J.', 'Phan, N.T.', 'Rajotte, E.G.', 'Biddinger, D.J.', 'Joshi, N.K.']",Environments - MDPI,"Honey bees (Apis mellifera) are one of the most important pollinating species of flowering plants. Recently, populations of honey bees have been declining due to a combination of factors, including the widespread use of agricultural pesticides. Laboratory studies were conducted to determine the acute oral toxicity of different formulated pesticides to honey bee adults. In particular, we assessed the acute oral toxicity of two neonicotinoids (acetamiprid, Assail 30SG and thiamethoxam, Actara 25WDG) and two other systemic insecticide products (sulfoxaflor, Closer 2SC and flupyradifurone, Sivanto 200SL), all of which are generally used in pest management programs in commercial apple orchards in the Eastern United States. Honey bees were fed a range of doses of each pesticide in order to create a response curve, and LC50, LC90, and LD50 values were determined. The pesticide formulation containing flupyradifurone as the active ingredient was found to be the least toxic to honey bees followed by the formulations containing sulfoxaflor and acetamiprid. The toxicity values obtained in this study differ from other studies testing only technical active ingredient compounds, suggesting the need to evaluate formulated products while conducting ecotoxicological risk assessment. ¬© 2022 by the authors.",2022///,2022,10.3390/environments9070090,9,7,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135600866&doi=10.3390%2fenvironments9070090&partnerID=40&md5=fc1d013adb082a1e04117be8dc7b10d4,Scopus,"['neonicotinoids', 'insecticides', 'bees', 'pollinator health', 'environmental toxicology', 'pesticide formulations']",,,,,1,9,0,
107,107,JOUR,No evidence for impaired solitary bee fitness following pre-flowering sulfoxaflor application alone or in combination with a common fungicide in a semi-field experiment,"['Schwarz, J.M.', 'Knauer, A.C.', 'Allan, M.J.', 'Dean, R.R.', 'Ghazoul, J.', 'Tamburini, G.', 'Wintermantel, D.', 'Klein, A.-M.', 'Albrecht, M.']",Environment International,"Pesticide exposure is considered a major driver of pollinator decline and the use of neonicotinoid insecticides has been restricted by regulatory authorities due to their risks for pollinators. Impacts of new alternative sulfoximine-based compounds on solitary bees and their potential interactive effects with other commonly applied pesticides in agriculture remain unclear. Here, we conducted a highly replicated full-factorial semi-field experiment with the solitary bee Osmia bicornis, an important pollinator of crops and wild plants in Europe, and Phacelia tanacetifolia as a model crop. We show that spray applications of the insecticide sulfoxaflor (product Closer) and the fungicide azoxystrobin (product Amistar), both alone and combined, had no significant negative impacts on adult female survival or the production, mortality, sex ratio and body size of offspring when sulfoxaflor was applied five days before crop flowering. Our results indicate that for O. bicornis (1) the risk of adverse impacts of sulfoxaflor (Closer) on fitness is small when applied at least five days before crop flowering and (2) that azoxystrobin (Amistar) has a low potential of exacerbating sulfoxaflor effects under field-realistic conditions. ¬© 2022 The Author(s)",2022///,2022,10.1016/j.envint.2022.107252,164,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129458997&doi=10.1016%2fj.envint.2022.107252&partnerID=40&md5=3eefd1fa0cdf96479b15e97597220760,Scopus,"['animal', 'Animals', 'Article', 'Azoxystrobin', 'bee', 'Bees', 'body size', 'cocoon', 'concentration (composition)', 'crop', 'Crops', 'Europe', 'experimental study', 'female', 'Female', 'field experiment', 'Field experiment', 'flowering', 'fungicide', 'Fungicides', 'Fungicides, Industrial', 'insecticide', 'Insecticides', 'liquid chromatography-mass spectrometry', 'Mitigation measures', 'mortality', 'neonicotinoid', 'Neonicotinoid insecticides', 'neonicotinoid pesticide', 'Neonicotinoids', 'nonhuman', 'Osmia bicorni', 'Osmia bicornis', 'parasitism', 'pesticide', 'Pesticides', 'Pesticides exposures', 'Plants (botany)', 'pollinator', 'Pollinator', 'Pollinators', 'pollution exposure', 'Pre-flowering', 'predation', 'pyridine derivative', 'Pyridines', 'Regulatory authorities', 'risk assessment', 'sulfoxaflor', 'Sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative', 'survival', 'unclassified drug']",,,,,1,10,0,
