record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,issn,accession_number,start_page,end_page,url,name_of_database,keywords,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
119,JOUR,Bee sensitivity derived from acute contact tests biased by standardised protocols?,"Baas, J.; Knautz, T.; Barme, A.; Sekine, T.; Jaklofsky, M.; Belgers, D.; Jansen, N.; Boerwinkel, M.-C.; Roessink, I.",Ecotoxicology and Environmental Safety,"In an acute contact test with bees the compound of interest is dissolved in a carrier solvent (frequently acetone) and then a droplet of the solution is placed on the dorsal thorax of the bee. The volume of the droplet is standardised to 1 ï¿½ï¿½L for honeybees and to 2 ï¿½ï¿½L for bumblebees. In practice the same droplet volume is used for bees with very different sizes. In this research the effect of the droplet volume was evaluated with acute contact tests with dimethoate for the alfalfa leafcutter bee, the red mason bee, the honeybee and the bumblebee. The results were analysed with a ToxicoKinetic ToxicoDynamic (TKTD) model to separate kinetic from dynamic effects. This allows to compare the sensitivity of the bee based on the effect threshold and not on the time, species and test dependent LD50s. The analysis of the test results indicates that the magnitude of the response of the bees increased with increasing droplet size. The results also showed that the manifestation of effects over time is slower fod mason bee and the bumblebee compared to the honeybee and the alfalfa leafcutter bee. This implies that the result of a 2 day test with a fixed dosing volume results in different response for a bumblebee compared to the alfalfa leafcutter bee, not because of different sensitivities of the bees involved but due to the difference of relative dosed surface ratio. So comparing the sensitivity of bee species, based on standardised tests is biased and amplifies the sensitivity for the smaller bee species. ï¿½ï¿½ 2024 The Aut",2024,2024,10.1016/j.ecoenv.2024.117062,285.0,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204093571&doi=10.1016%2fj.ecoenv.2024.117062&partnerID=40&md5=b1f836d123f4699f1ed12e39a28b193e,,"acetone; acute contact test; Acute contact test; acute toxicity; alfalfa; anesthetic agent; animal; Animals; Apis mellifera; Article; bee; bee sensitivity; Bee sensitivity; Bee testing; BeeGUTS; Bees; body size; Bombus terrestris; breeding; bumblebee; clinical protocol; cocoon; crop protection; dimethoate; Dimethoate; droplet; droplet size; drug effect; female; hatching; honeybee; incubation time; insecticide; Insecticides; LD50; Lethal Dose 50; male; Megachile rotundata; Megachilidae; nonhuman; Osmia bicornis; physical phenomena; physiology; procedures; relative humidity; risk assessment; sensitivity analysis; solvent; species difference; Species Specificity; stochastic model; surface area; toxicity testing; Toxicity Tests, Acute; triton x 100; wetting agent",,1,,1,1
16,JOUR,Toxicity of insecticides on Neotropical stingless bees Plebeia emerina (Friese) and Tetragonisca fiebrigi (Schwarz) (Hymenoptera: Apidae: Meliponini),"['Padilha, A.C.', 'Piovesan, B.', 'Morais, M.C.', 'de B. Pazini, J.', 'Zotti, M.J.', 'Botton, M.', 'Grï¿½ï¿½tzmacher, A.",Ecotoxicology,"Use of pesticides in agroecosystems is considered a major cause of bees diversity losses in the Neotropics, where Plebeia emerina (Friese) and Tetragonisca fiebrigi (Schwarz) (Hymenoptera: Apidae: Meliponini) are wild pollinators of native and crop plants. The aim of this study was to know the acute lethal toxicity of acetamiprid, malathion, phosmet and spinosad insecticides on P. emerina and T. fiebrigi. We obtained the mean concentration and mean lethal dose (LC50 and LD50) and the mean survival of workers after oral and topical exposure to insecticides, respectively. The LC50 values (ng a.i./ï¿½ï¿½l of diet) and the decreasing order of toxicity for P. emerina was spinosad (4.96) > malathion (18.75) > phosmet (97.33) > acetamiprid (4204.06), and for T. fiebrigi also was spinosad (5.65) > malathion (8.39) > phosmet (53.91) > acetamiprid (9841.32), when orally exposed. The LD50 values (ng a.i./bee) and the decreasing order of toxicity for P. emerina was spinosad (1.90) > malathion (10.90) > phosmet (19.54) > amiprid (6216.55) and for T. fiebrigi was malathion (29.29) ï¿½ï¿½ï¿½ spinosad (29.79) > phosmet (41.95) > acetamiprid (1421.23), when topically exposed. The mean survival (hours) of contaminated bees by malathion, phosmet, and spinosad, was 11.81, 7.20, and 12.32 for P. emerina and 8.55, 7.20, and 13.34 for T. fiebrigi when orally exposed; and was 4.87, 9.87 and 11.17 for P. emerina, and 4.87, 4.76, and 19.05 for T. fiebrigi when topically exposed. Malathion, phosmet, and spinosad were highly toxic, while acetamiprid was moderately toxic. Our results indicated that the insecticides tested, mainly malathion, phosmet, and spinosad may be harmful to P. emerina and T. fiebrigi, making it essential to propose measures to minimize their impact on wild pollinators. ï¿½ï¿½ 2020, Springer Science+Business Media, LLC, part of Spring",2020///,2020,10.1007/s10646-019-02150-x,29.0,1,,,119.0,128.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077050215&doi=10.1007%2fs10646-019-02150-x&partnerID=40&md5=238c3ae7869e4bbbfda1717471ce3533,Scopus,"['acetamiprid', 'acute toxicity', 'Acute toxicity', 'adult', 'agricultural ecosystem', 'animal', 'animal experiment', 'animal pollination', 'Animals', 'Apidae', 'Apoidea', 'Article', 'bee', 'Bees', 'concentration (composition)', 'controlled study', 'drug combination', 'Drug Combinations', 'drug effect', 'environmental exposure', 'Hymenoptera', 'insecticide', 'Insecticides', 'LC50', 'LD50', 'Lethal Dose 50', 'Lethal effect', 'macrolide', 'Macrolides', 'malathion', 'Malathion', 'Meliponinae', 'Native bees', 'native species', 'neonicotinoid', 'Neonicotinoids', 'Neotropics', 'nonhuman', 'pesticide resistance', 'Pesticides', 'phosmet', 'physiology', 'Plebeia', 'Plebeia emerina', 'pollination', 'Pollination', 'priority journal', 'species diversity', 'spinosad', 'stingless bee', 'survival rate', 'Tetragonisca', 'Tetragonisca fiebrigi', 'toxicity']",,1,,1,2
1,JOUR,Comparative ecotoxicity of insecticides with different modes of action to Osmia excavata (Hymenoptera: Megachilidae),"['Song, Y.', 'Li, L.', 'Li, C.', 'Lu, Z.', 'Ouyang, F.', 'Liu, L.', 'Yu, Y.', 'Men, X.']",Ecotoxicology and Environmental Safety,"Osmia excavata is an important pollinator in commercial fruit orchards. Little information has been published about ecotoxicity to O. excavata, especially the larvae. To clarify the risk of commonly used insecticides with different modes of action to the larvae of O. excavata, six insecticides (clothianidin, acetamiprid, sulfoxaflor, lambda-cyhalothrin, chlorfenapyr and abamectin) were selected for evaluation of their acute lethal toxicity and sublethal effects. Clothianidin and abamectin were the two most toxic insecticides to the larvae of O. excavata with LD50 values of 0.007 (0.006ï¿½ï¿½ï¿½0.008) and 0.0004 (0.0003ï¿½ï¿½ï¿½0.0006) ï¿½ï¿½g active ingredient (a.i.) beeï¿½ï¿½ï¿½1, respectively. And their ecological risks were high according to the hazard quotient values (HQ > 2500). Sulfoxaflor was identified as the only safe insecticide for O. excavata (HQ < 50) under field conditions. Sublethal toxicity tests showed that larval weight was significantly decreased by ingesting food treated with clothianidin,d abamectin (less than the maximum field registered concentrations on fruit trees) due to interference with consumption per larva and reduction of the efficiency of conversion of ingested food. Additionally, above three insecticides significantly prolonged larval developmental duration before cocooning and decreased eclosion rate. Overall, there results suggested that clothianidin and abamectin should not be applied, especially during the flowering phase, the application frequency of lambda-cyhalothrin should be minimized for the purpose of conserving O. excavata. Our results provided important evidences for selecting appropriate insecticides for use in fruit orchards. ï¿½ï¿½ 2021 The Aut",2021///,2021,10.1016/j.ecoenv.2021.112015,212.0,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100555144&doi=10.1016%2fj.ecoenv.2021.112015&partnerID=40&md5=dcc8fe91b0358488cc94cc49750eeb1b,Scopus,"['abamectin', 'acetamiprid', 'animal', 'animal experiment', 'Animals', 'Article', 'bee', 'Bees', 'chemical pollutant', 'chlorfenapyr', 'clothianidin', 'cocoon', 'comparative study', 'controlled study', 'crop', 'Crops, Agricultural', 'cyhalothrin', 'dose response', 'Dose-Response Relationship, Drug', 'drug effect', 'ecotoxicity', 'Ecotoxicity', 'ecotoxicology', 'Ecotoxicology', 'Excavata', 'flowering', 'fruit', 'growth, development and aging', 'guanidine derivative', 'Guanidines', 'hazard assessment', 'Hymenoptera', 'insecticide', 'Insecticides', 'larva', 'Larva', 'larval development', 'LD50', 'Lethal Dose 50', 'Megachilidae', 'neonicotinoid', 'Neonicotinoids', 'nitrile', 'Nitriles', 'nonhuman', 'orchard', 'Osmia', 'Osmia excavata', 'pollination', 'Pollination', 'pollinator', 'Pyrethrins', 'pyrethroid', 'pyridine derivative', 'Pyridines', 'risk assessment', 'Risk assessment', 'Risk Assessment', 'sublethal effect', 'Sublethal effects', 'sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative', 'taxonomy', 'thiazole derivative', 'Thiazoles', 'toxicity testing', 'unclassified drug']",,1,,1,3
36,JOUR,Median lethal time of new pesticides to foragers of honey bees,"['Khan, R.B.', 'Dethe, M.D.']",Pestology,"Bioassay using Indian foragers honey bees, Apis cerana indica Fabricius, as test insect was carried out to determine the median lethal time (LT in hrs). (LT50) of 19.34 hrs was obtained in the case of endosulfan 35 EC which was followed by lambda-cyhalothrin 5 EC (16.69 hrs) and alpha-endosulfan 35 EC (14.98 hrs). In rest of the test compounds, viz. imidacloprid 200 SL, thiamethoxan 25 WG, beta-cyfluthrin 25 EC, thiacloprid 240 SC and abamectin 1.8 EC, the (LT50) values were in the range of 12.19 to 13.93 hrs.",2004///,2004,,28.0,1,,,28.0,29.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846014392&partnerID=40&md5=0686e27e977af530461cbbeb08e8904f,Scopus,,,1,,1,4
88,CONF,Comparative chronic toxicity of three neonicotinoids on New Zealand packaged honey bees,"['Wood, SC', 'Kozii, IV', 'Koziy, RV', 'Epp, T', 'Simko, E']",HAZARDS OF PESTICIDES TO BEES,,2018///,2018,10.5073/jka.2018.462.039,462.0,,1868-9892,WOS:000457670000040,137.0,137.0,,,,,1,,1,5
14,JOUR,Acute contact toxicity of insecticidal baits on honeybees Apis mellifera: a laboratory study,"['Domatskaya, TF', 'Domatskiy, AN', 'Levchenko, MA', 'Silivanova, EA']",UKRAINIAN JOURNAL OF ECOLOGY,"The honeybee Apis mellifera L. (Hymenoptera: Apidae) is an important pollinator, an object of human economic activity and a bioindicator of environmental pollution. Insecticides used in Agriculture for treatment of plants, bee colonies, and farm animals may be dangerous for bees. This paper reports the results of a comparative assessment of the acute contact toxicity of four toxic bait formulations designed for insect pest control on livestock farms to the honeybees. Toxic baits consisted acetamiprid, ivermectin, chlorfenapyr, and fipronil, with residues of which on the filter paper adult bees contacted on plastic containers. It was found that the bait formulation with ivermectin manifested toxicity slower than the other ones. We used probit analysis to calculate median lethal doses (LD50) of each active substance showed that their toxicity to bees decreased in the following order: fipronil -ivermectin - chlorfenapyr - acetamiprid. Considering the mass content of active substances in formulations, median lethal doses of toxic baits were 202.6 mu g/bee (bait with fipronil), 229.3 mu g/bee (bait with ivermectin), 1188.3 mu g/bee (bait with chlorfenapyr), and 6552 mu g/bee (bait with acetamiprid). Thus, bait formulations themselves may be considered practically nontoxic to bees, since their LD50 exceeded the threshold value of 100 mu g/bee. Assessment of hazard degree for bees by the hazard index showed that the insecticide bait containing acetamiprid were less dangerous than the other three bait formulations under laboratory conditions. The future semi-field and field studies are needed to evaluate the possible exposure and the hazard degree of insecticidal baits for bees under conditions close to practice use of these formulations.",2018///,2018,10.15421/2018_289,8.0,1,2520-2138,WOS:000429918700109,887.0,891.0,,,,,1,,1,6
55,JOUR,Assessment of acute and chronic toxicity of cyantraniliprole and sulfoxaflor on honey bee (Apis mellifera) larvae,"['Kim, J.', 'Chon, K.', 'Kim, B.-S.', 'Oh, J.-A.', 'Yoon, C.-Y.', 'Park, H.-H.']",Pest Management Science,"BACKGROUND: Recently, cyantraniliprole (CYA) and sulfoxaflor (SUL) have been considered as alternatives to neonicotinoid insecticides. In this study, we evaluated the acute and chronic toxicities of CYA and SUL on honey bee (Apis mellifera L.) larvae reared in vitro. RESULTS: In the acute toxicity test, the following test doses were used to determine the median lethal dose (LD50): CYA 0.007, 0.014, 0.028, 0.056 and 0.112 ï¿½ï¿½g larvaï¿½ï¿½ï¿½1; SUL 2.5, 5, 10, 20 and 40 ï¿½ï¿½g larvaï¿½ï¿½ï¿½1. In the chronic toxicity test, the following test doses were used to determine the LD50: CYA 0.00512, 0.0128, 0.032, 0.08 and 0.2ï¿½ï¿½ï¿½ï¿½g larvaï¿½ï¿½ï¿½1; SUL 0.0625, 0.125, 0.25, 0.5 and 1.0ï¿½ï¿½ï¿½ï¿½g larvaï¿½ï¿½ï¿½1. The acute LD50 values of CYA and SUL were 0.047 and 11.404 ï¿½ï¿½g larvaï¿½ï¿½ï¿½1, respectively. Larvae acutely exposed to SUL had significantly lower body weight than controls, but those exposed to CYA showed no difference. The no observed adverse effect level (NOAEL) and LD50 values of the chr0.064 ï¿½ï¿½g larvaï¿½ï¿½ï¿½1 for CYA, and 0.0625 ï¿½ï¿½g larvaï¿½ï¿½ï¿½1 and 0.212 ï¿½ï¿½g larvaï¿½ï¿½ï¿½1 for SUL, respectively. Larvae chronically exposed to SUL emerged as bees with deformed wings, reaching adult deformation rates of over 50%; however, CYA had no effect on adult deformation. CONCLUSION: Exposure to CYA increased larval mortality but did not cause any adult deformation, whereas SUL exposure increased pupal mortality and caused wing deformation in newly emerged bees. Our study may be useful for the assessment of pesticide toxicity by providing valuable findings on the effects of these insecticides on honey bee larvae. ï¿½ï¿½ 2022 Society of Chemical Industry. ï¿½",2022///,2022,10.1002/ps.7162,78.0,12,,,5402.0,5412.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138196183&doi=10.1002%2fps.7162&partnerID=40&md5=5c0e399ad576349333dbe5358324a9b7,Scopus,"['adult', 'animal', 'Animals', 'anthranilic acid derivative', 'assessment method', 'bee', 'Bees', 'cyantraniliprole', 'Cyantraniliprole', 'dose-response relationship', 'honey bee larvae', 'honeybee', 'insecticide', 'Insecticides', 'larva', 'Larva', 'mortality', 'neonicotinoid pesticide', 'ortho-Aminobenzoates', 'sulfoxaflor', 'toxicity', 'toxicity assessment']",,1,,1,7
15,JOUR,"Toxicity, attraction, and repellency of toxic baits to stingless bees Plebeia emerina (Friese) and Tetragonisca fiebrigi (Schwarz) (Hymenoptera: Apidae: Meliponini)","['Padilha, AC', 'Piovesan, B', 'Morais, MC', 'Arioli, CJ', 'Zotti, MJ', 'Grï¿½ï¿½tzmacher, AD', 'Botton,",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,"Toxic bait formulations have been one of the main strategies used in apple orchards in southern Brazil for the control of South American fruit fly. However, its effects on the stingless bees Plebeia emerina (Friese) and Tetragonisca fiebrigi (Schwarz) are unknown. This study aimed to assess the toxicity, attraction and repellency of food lures and toxic baits on P. emerina and T. fiebrigi. We evaluated the food lures Anamed (R) (pure), Biofruit (R) (3%), Flyral (R) (1.25%), Sugarcane molasses (7%) and Samarita Tradicional (R) (3%), in toxic baits formulations associated with spinosad (Tracer (R) 480SC) and malathion (Malathion (R) 1000EC), and the ready-to-use toxic baits Success (R) 0.02CB and Gelsura (R). We obtained the mean lethal concentration (LC50) and the mean survival of workers after exposure to toxic bait formulations. In the field, we carried out attraction and repellency tests of toxic baits to foraging. The food lures associated with malathion and spinosad showed different levels of toxicity to P. emerina and T. fiebrigi. Sugarcane molasses and Samarita Tradicional (R) associated with spinosad showed high toxicity, with LC50 values of 6.92 and 10.61 ng/mu L diet to P. emerina, and of 4.37 and 15.48 ng/mu L diet to T. fiebrigi, respectively. Gelsura (R) and food lures with malathion caused rapid workers mortality, with mean survival less than 3 h after exposure. No toxic bait formulation was attractive to P. emerina foragers in the field. Anamed (R), Gelsura (R), and Success (R) were repellent to P. emerina foragers.",2019/11/15/,2019,10.1016/j.ecoenv.2019.109490,183.0,,0147-6513,WOS:000487178000013,,,,,,,0,,1,8
18,JOUR,Susceptibility of Megachile rotundata to insecticides used in wild blueberry production in Atlantic Canada,"['Gradish, A.E.', 'Scott-Dupree, C.D.', 'Cutler, G.C.']",Journal of Pest Science,"The alfalfa leafcutting bee, Megachile rotundata (Fabricius), is a valuable wild and managed pollinator of lowbush blueberry (syn. 'wild blueberry', Vaccinium angustifolium Ait.), in Atlantic Canada. As some insecticides may present a hazard to pollinators, we assessed the susceptibility of M. rotundata to insecticides used or projected for future use in lowbush blueberry pest management. In topical direct contact bioassays, adults were susceptible to phosmet, spinosad, spinetoram, and deltamethrin. Based on findings from these laboratory studies, it appears that when used at recommended or projected application rates, each of these compounds poses a hazard to M. rotundata by direct contact. In a second experiment, eggs and larvae were collected in the field and their pollen provisions were treated with deltamethrin, flubendiamide, and spinetoram at field relevant concentrations. Larvae treated with deltamethrin and spinetoram in the laboratory either died before spinning a cocoon or, in the case of spinetoram, occasionally pupated without spinning a cocoon. Flubendiamide was not toxic to adult M. rotundata by direct contact and had no effect on larval survivorship, or time to complete cocoon spinning. Emergence after overwintering was relatively poor overall, but there was no effect of treatment. Based on these results, flubendiamide appears safe to use in the presence of M. rotundata, whereas the other insecticides we tested may pose a hazard. ï¿½ï¿½ 2011 Springer-Ver",2012///,2012,10.1007/s10340-011-0391-0,85.0,1,,,133.0,140.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857652083&doi=10.1007%2fs10340-011-0391-0&partnerID=40&md5=94b8475e7369663b7390f2cd5b201bbe,Scopus,,,0,,1,9
24,JOUR,"A laboratory study to evaluate the toxicity of the Mediterranean fruit fly, Ceratitis capitata, bait, Success 0.02 CB, to the honey bee, Apis mellifera","['Edwards, C.R.', 'Gerber, C.K.', 'Hunt, G.J.']",Apidologie,"USDA APHIS and Moscamed have developed an eradication program for the Mediterranean fruit fly, Ceratitis capitata (Wiedemann), in North and Central America. Currently, the primary chemical used to control fruit flies in Central America is spinosad, Success 0.02 CBï¿½ï¿½ï¿½ (GF-120). Central America, and Guatemala in particular, has a thriving apiculture industry. Many Guatemalan beekeepers believe that Success is toxic to honey bees, Apis mellifera L., and that its use has resulted in a decrease in bee populations and subsequent honey production. Continuous, limited, and topical exposure studies demonstrated that Success is toxic to honey bees at varying levels, depending upon exposure and drying time, as demonstrated by 24 h bioassays. Future studies should evaluate the effects of Success in the field on foraging honey bees and brood health during a season long Medfly control program to determine possible honeybee im",2003///,2003,10.1051/apido:2003005,34.0,2,,,171.0,180.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037364867&doi=10.1051%2fapido%3a2003005&partnerID=40&md5=9895ad0dbf83f8e3c3937a7fca673a41,Scopus,,,0,,1,10
