record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,url,name_of_database,keywords,issn,accession_number,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
727,JOUR,Phylogenomic and functional characterization of an evolutionary conserved cytochrome P450-based insecticide detoxification mechanism in bees,"['Haas, J.', 'Hayward, A.', 'Buer, B.', 'Maiwald, F.', 'Nebelsiek, B.', 'Glaubitz, J.', 'Bass, C.', 'Nauen, R.']",Proceedings of the National Academy of Sciences of the United States of America,"The regulatory process for assessing the risks of pesticides to bees relies heavily on the use of the honeybee, Apis mellifera, as a model for other bee species. However, the validity of using A. mellifera as a surrogate for other Apis and non-Apis bees in pesticide risk assessment has been questioned. Related to this line of research, recent work on A. mellifera has shown that specific P450 enzymes belonging to the CYP9Q subfamily act as critically important determinants of insecticide sensitivity in this species by efficiently detoxifying certain insecticide chemotypes. However, the extent to which the presence of functional orthologs of these enzymes is conserved across the diversity of bees is unclear. Here we used a phylogenomic approach to identify > 100 putative CYP9Q functional orthologs across 75 bee species encompassing all major bee families. Functional analysis of 26 P450s from 20 representative bee species revealed that P450-mediated detoxification of certain systemic insecticides, including the neonicotinoid thiacloprid and the butenolide flupyradifurone, is conserved across all major bee pollinator families. However, our analyses also reveal that CYP9Q-related genes are not universal to all bee species, with some Megachilidae species lacking such genes. Thus, our results reveal an evolutionary conserved capacity to metabolize certain insecticides across all major bee families while identifying a small number of bee species where this function may have been lost. Furthermore, they illustrate the potential of a toxicogenomic approach to inform pesticide risk assessment for nonmanaged bee species by predicting the capability of bee pollinator species to break down synthetic insecticides. copyright © 2022 the Author(s).",2022///,2022,10.1073/pnas.2205850119,119,26,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132610042&doi=10.1073%2fpnas.2205850119&partnerID=40&md5=579780eeca3117a78142229699456780,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'pollinator', 'Article', 'bee pollination', 'controlled study', 'nonhuman', 'pesticide', 'Pesticides', 'risk assessment', 'thiacloprid', 'animal cell', 'metabolism', 'phylogeny', 'Phylogeny', 'genetics', 'bioinformatics', 'cytochrome P450', 'detoxification', 'butenolide', 'prediction', 'genetic analysis', 'biochemical analysis', 'Megachilidae', 'Cytochrome P-450 Enzyme System', 'species identification', 'gene identification', 'genetic conservation', 'gene sequence', 'phylogenomics', 'toxicogenomics', 'Biological Evolution', 'cytochrome P450 family 3', 'evolution', 'gene locus', 'orthology', 'P450', 'synteny']",,,,1,,1,1
639,JOUR,Mechanism of the distinct toxicity level of imidacloprid and thiacloprid against honey bees: An in silico study based on cytochrome P450 9Q3,"['Wang, X.', 'Shuai, J.', 'Kong, Y.', 'Li, Z.', 'Li, W.', 'Cheng, J.']",Journal of Molecular Graphics and Modelling,"The honey bee, Apis mellifera, shows variation in sensitivity to imidacloprid and thiacloprid, which does not reside at the target site but rather in the rapidly oxidative metabolism mediated by P450s (such as a single P450, CYP9Q3). An in silico study was conducted to investigate the various metabolism of imidacloprid and thiacloprid. The binding potency of thiacloprid was stronger and a stable π-π interaction with Phe121 and the N–H⋯N hydrogen bond with Asn214 are found in the CYP9Q3-thiacloprid system but absent in imidacloprid, which might affect the potential metabolic activity. Moreover, the values of highest occupied molecular orbit (HOMO) energy and the vertical ionization potential (IP) of two compounds demonstrated that thiacloprid is more likely to oxidation. The findings revealed the probable binding modes of imidacloprid and thiacloprid with CYP9Q3 and might facilitate future design of the low bee toxicity neonicotinoid insecticides. © 2022 Elsevier Inc.",2022///,2022,10.1016/j.jmgm.2022.108257,116,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133720780&doi=10.1016%2fj.jmgm.2022.108257&partnerID=40&md5=bd34456052dc7aa5a771e0ec4fd31146,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'imidacloprid', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'Article', 'nonhuman', 'Apis mellifera', 'Food products', 'Imidacloprids', 'simulation', 'chemistry', 'Honey bee', 'Toxicity', 'thiacloprid', 'Thiacloprid', 'unclassified drug', 'metabolism', 'thiazine derivative', 'Thiazines', 'computer model', 'cytochrome P450', 'sensitivity analysis', 'binding affinity', 'hydrogen bond', 'molecular docking', 'chemical structure', 'Metabolism', 'aerobic metabolism', 'Cytochrome P-450 Enzyme System', 'oxidation', 'Binding energy', 'Cytochromes P450', 'Ionization potential', 'Hydrogen bonds', 'ionization', 'Cytochrome P450', 'toxicity assay', 'Sensitivity analysis', 'A mellifera', 'A. mellifera', 'Computation simulation', 'Computation simulations', 'cytochrome p450 9q3', 'In-silico', 'Metabolic difference', 'Silico studies']",,,,1,,1,2
318,JOUR,Honey bee (Apis mellifera) gut microbiota promotes host endogenous detoxification capability via regulation of P450 gene expression in the digestive tract,"['Wu, Y.', 'Zheng, Y.', 'Chen, Y.', 'Wang, S.', 'Chen, Y.', 'Hu, F.', 'Zheng, H.']",Microbial Biotechnology,"There is growing number of studies demonstrating a close relationship between insect gut microbiota and insecticide resistance. However, the contribution of the honey bee gut microbiota to host detoxification ability has yet to be investigated. In order to address this question, we compared the expression of cytochrome P450s (P450s) genes between gut microbiota deficient (GD) workers and conventional gut community (CV) workers and compared the mortality rates and the pesticide residue levels of GD and CV workers treated with thiacloprid or tau-fluvalinate. Our results showed that gut microbiota promotes the expression of P450 enzymes in the midgut, and the mortality rate and pesticide residue levels of GD workers are significantly higher than those of CV workers. Further comparisons between tetracycline-treated workers and untreated workers demonstrated that antibiotic-induced gut dysbiosis leads to attenuated expression of P450s in the midgut. The co-treatment of antibiotics and pesticides leads to reduced survival rate and a significantly higher amount of pesticide residues in honey bees. Taken together, our results demonstrated that honey bee gut symbiont could contribute to bee health through the modification of the host xenobiotics detoxification pathways and revealed a potential negative impact of antibiotics to honey bee detoxification ability and health. © 2020 The Authors. Microbial Biotechnology published by John Wiley & Sons Ltd and Society for Applied Microbiology.",2020///,2020,10.1111/1751-7915.13579,13,4,1201,1212,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084198331&doi=10.1111%2f1751-7915.13579&partnerID=40&md5=dc5c3178da7d7da05eefad6056160dfb,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'pesticide', 'Apis mellifera', 'survival rate', 'residue analysis', 'gene expression', 'thiacloprid', 'antenna (organ)', 'midgut', 'metabolism', 'genetics', 'cytochrome P450', 'protein expression', 'mortality rate', 'detoxification', 'intestine flora', 'Gene Expression', 'fluvalinate', 'microbial community', 'gene expression regulation', 'Cytochrome P-450 Enzyme System', 'dysbiosis', 'Gastrointestinal Microbiome', 'drug inactivation', 'Inactivation, Metabolic', 'host resistance', 'gastrointestinal tract', 'Gastrointestinal Tract', 'attenuation']",,,,1,,1,3
589,JOUR,Induced thiacloprid insensitivity in honeybees (Apis mellifera L.) is associated with up-regulation of detoxification genes,"['Alptekin, S.', 'Bass, C.', 'Nicholls, C.', 'Paine, M.J.', 'Clark, S.J.', 'Field, L.', 'Moores, G.D.']",Insect molecular biology,"Honey bees, Apis mellifera, are markedly less sensitive to neonicotinoid insecticides containing a cyanoimino pharmacophore than to those with a nitroimino group. Although previous work has suggested that this results from enhanced metabolism of the former by detoxification enzymes, the specific enzyme(s) involved remain to be characterized. In this work, a pretreatment of honey bees with a sublethal dose of thiacloprid resulted in induced insensitivity to the same compound immediately following thiacloprid feeding. A longer pretreatment time resulted in no, or increased, sensitivity. Transcriptome profiling, using microarrays, identified a number of genes encoding detoxification enzymes that were over-expressed significantly in insecticide-treated bees compared with untreated controls. These included five P450s, CYP6BE1, CYP305D1, CYP6AS5, CYP315A1, CYP301A1, and a carboxyl/cholinesterase (CCE) CCE8. Four of these P450s were functionally expressed in Escherichia coli and their ability to metabolize thiacloprid examined by liquid chromatography-mass spectrometry (LC-MS) analysis. © 2016 The Royal Entomological Society.",2016///,2016,10.1111/imb.12211,25,2,171,180,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987792387&doi=10.1111%2fimb.12211&partnerID=40&md5=7e42084bc61becf957b7068528d8439c,Scopus,,,,,1,,1,4
471,JOUR,The Insecticide Imidacloprid Decreases Nannotrigona Stingless Bee Survival and Food Consumption and Modulates the Expression of Detoxification and Immune-Related Genes,"['Al Naggar, Y.', 'Estrella-Maldonado, H.', 'Paxton, R.J.', 'Solís, T.', 'Quezada-Euán, J.J.G.']",Insects,"Stingless bees are ecologically and economically important species in the tropics and subtropics, but there has been little research on the characterization of detoxification systems and immune responses within them. This is critical for understanding their responses to, and defenses against, a variety of environmental stresses, including agrochemicals. Therefore, we studied the detoxification and immune responses of a stingless bee, Nanotrigona perilampoides, which is an important stingless bee that is widely distributed throughout Mexico, including urban areas, and has the potential to be used in commercial pollination. We first determined the LC50 of the neonicotinoid insecticide imidacloprid for foragers of N. perilampoides, then chronically exposed bees for 10 days to imidacloprid at two field-realistic concentrations, LC10 (0.45 ng/µL) or LC20 (0.74 ng/µL), which are respectively 2.7 and 1.3-fold lower than the residues of imidacloprid that have been found in honey (6 ng/g) in central Mexico. We found that exposing N. perilampoides stingless bees to imidacloprid at these concentrations markedly reduced bee survival and food consumption, revealing the great sensitivity of this stingless bee to the insecticide in comparison to honey bees. The expression of detoxification (GSTD1) and immune-related genes (abaecin, defensin1, and hymenopteacin) in N. perilampoides also changed over time in response to imidacloprid. Gene expression was always lower in bees after 8 days of exposure to imidacloprid (LC10 or LC20) than it was after 4 days. Our results demonstrate that N. perilampoides stingless bees are extremely sensitive to imidacloprid, even at low concentrations, and provide greater insight into how stingless bees respond to pesticide toxicity. This is the first study of its kind to look at detoxification systems and immune responses in Mexican stingless bees, an ecologically and economically important taxon. © 2022 by the authors.",2022///,2022,10.3390/insects13110972,13,11,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141789012&doi=10.3390%2finsects13110972&partnerID=40&md5=09a92c604a200532be0ae5f4d05aa4e8,Scopus,"['neonicotinoid', 'pollinator', 'pesticide', 'stingless bee', 'detoxification', 'decline']",,,,1,,1,5
331,JOUR,Sub-lethal doses of neonicotinoid and carbamate insecticides reduce the lifespan and alter the expression of immune health and detoxification related genes of honey bees (Apis mellifera),"['Tarek, H.', 'Hamiduzzaman, M.M.', 'Morfin, N.', 'Guzman-Novoa, E.']",Genetics and Molecular Research,"Honey bees (Apis mellifera) are exposed to sublethal doses of insecticides, but little is known about insecticide effects on their survivorship associated to health-related gene expression. To test the effect of sublethal doses of clothianidin, imidacloprid and carbaryl on the lifespan and health of honey bees, workers were orally and topically exposed to LD5 doses of these insecticides. The survivorship of treated bees was monitored and the expression of three immune-related genes, hymenoptaecin (AmHym), basket (AmBask) and lysozyme (AmLyso2) was analyzed at 24 and 72 hours post treatment (hpt), as well as that of the antioxidant-related gene vitellogenin (AmVit2), the poly-U binding factor (AmPuf68), and the detoxification gene cytochrome P450 (AmCYP9Q3). The three insecticides significantly reduced the length of life of bees but the mode of application did not affect survivorship. AmHym, AmBask and AmVit2 expression was significantly down-regulated at 72 hpt in bees treated with clothianidin and imidacloprid, indicating immunosuppression. However, AmLyso2, AmCYP9Q3 and AmPuf68 were significantly up-regulated. The down-regulation of AmVit2 could have caused decreased resistance to oxidative stress. AmPuf68 expression could be associated with increased protection against xenobionts. AmCYP9Q3 was up-regulated at 24 and 72 hpt in oral exposures, but only until 72 hpt in topical exposures, indicating faster sensitivity towards detoxification mechanisms in oral treatments. This study demonstrated detrimental effects of sublethal doses of clothianidin, imidacloprid and carbaryl on honey bee survivorship, immunity and antioxidant mechanisms, and an induction of defense and detoxification responses that could be physiologically costly to the bees. © 2018 The Authors.",2018///,2018,10.4238/gmr16039908,17,2,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055554723&doi=10.4238%2fgmr16039908&partnerID=40&md5=f78f43417bdcd2ea6a3a9193ae202ecf,Scopus,,,,,1,,1,6
625,JOUR,"Validation of quantitative real-time PCR reference genes and spatial expression profiles of detoxication-related genes under pesticide induction in honey bee, Apis mellifera","['Kim, Y.', 'Kim, H.', 'Cha, J.', 'Lee, S.H.', 'Kim, Y.H.']",PLoS ONE,"Recently, pesticides have been suggested to be one of the factors responsible for the large-scale decline in honey bee populations, including colony collapse disorder. The identification of the genes that respond to pesticide exposure based on their expression is essential for understanding the xenobiotic detoxification metabolism in honey bees. For the accurate determination of target gene expression by quantitative real-time PCR, the expression stability of reference genes should be validated in honey bees exposed to various pesticides. Therefore, in this study, to select the optimal reference genes, we analyzed the amplification efficiencies of five candidate reference genes (RPS5, RPS18, GAPDH, ARF1, and RAD1a) and their expression stability values using four programs (geNorm, NormFinder, BestKeeper, and RefFinder) across samples of five body parts (head, thorax, gut, fat body, and carcass) from honey bees exposed to seven pesticides (acetamiprid, imidacloprid, flupyradifurone, fenitrothion, carbaryl, amitraz, and bifenthrin). Among these five candidate genes, a combination of RAD1a and RPS18 was suggested for target gene normalization. Subsequently, expression levels of six genes (AChE1, CYP9Q1, CYP9Q2, CYP9Q3, CAT, and SOD1) were normalized with a combination of RAD1a and RPS18 in the different body parts from honey bees exposed to pesticides. Among the six genes in the five body parts, the expression of SOD1 in the head, fat body, and carcass was significantly induced by six pesticides. In addition, among seven pesticides, flupyradifurone statistically induced expression levels of five genes in the fat body. © 2022 Kim et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2022///,2022,10.1371/journal.pone.0277455,17,11 November,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141891748&doi=10.1371%2fjournal.pone.0277455&partnerID=40&md5=31b7ccd81cfbc298633d6565e2bccfa2,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'imidacloprid', 'insecticide', 'Insecticides', 'acetamiprid', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'pesticide', 'Pesticides', 'Apis mellifera', 'pyridine derivative', 'Pyridines', 'adult', 'gene', 'unclassified drug', 'metabolism', 'body fat', 'real time polymerase chain reaction', 'genetics', 'gene expression profiling', 'CYP9Q2 gene', 'CYP9Q3 gene', 'detoxification', 'flupyradifurone', 'Real-Time Polymerase Chain Reaction', 'bifenthrin', 'carbaril', 'amitraz', 'fenitrothion', 'validation study', 'AChE1 gene', 'ARF1 gene', 'body regions', 'CAT gene', 'copper zinc superoxide dismutase', 'CYP9Q1 gene', 'GAPDH gene', 'gene expression level', 'RAD1a gene', 'RPS18 gene', 'RPS5 gene', 'SOD1 gene', 'Superoxide Dismutase-1']",,,,1,,1,7
613,JOUR,Unravelling the Molecular Determinants of Bee Sensitivity to Neonicotinoid Insecticides,"['Manjon, C.', 'Troczka, B.J.', 'Zaworra, M.', 'Beadle, K.', 'Randall, E.', 'Hertlein, G.', 'Singh, K.S.', 'Zimmer, C.T.', 'Homem, R.A.', 'Lueke, B.', 'Reid, R.', 'Kor, L.', 'Kohler, M.', 'Benting, J.', 'Williamson, M.S.', 'Davies, T.G.E.', 'Field, L.M.', 'Bass, C.', 'Nauen, R.']",Current Biology,"The impact of neonicotinoid insecticides on the health of bee pollinators is a topic of intensive research and considerable current debate [1]. As insecticides, certain neonicotinoids, i.e., N-nitroguanidine compounds such as imidacloprid and thiamethoxam, are as intrinsically toxic to bees as to the insect pests they target. However, this is not the case for all neonicotinoids, with honeybees orders of magnitude less sensitive to N-cyanoamidine compounds such as thiacloprid [2]. Although previous work has suggested that this is due to rapid metabolism of these compounds [2–5], the specific gene(s) or enzyme(s) involved remain unknown. Here, we show that the sensitivity of the two most economically important bee species to neonicotinoids is determined by cytochrome P450s of the CYP9Q subfamily. Radioligand binding and inhibitor assays showed that variation in honeybee sensitivity to N-nitroguanidine and N-cyanoamidine neonicotinoids does not reside in differences in their affinity for the receptor but rather in divergent metabolism by P450s. Functional expression of the entire CYP3 clade of P450s from honeybees identified a single P450, CYP9Q3, that metabolizes thiacloprid with high efficiency but has little activity against imidacloprid. We demonstrate that bumble bees also exhibit profound differences in their sensitivity to different neonicotinoids, and we identify CYP9Q4 as a functional ortholog of honeybee CYP9Q3 and a key metabolic determinant of neonicotinoid sensitivity in this species. Our results demonstrate that bee pollinators are equipped with biochemical defense systems that define their sensitivity to insecticides and this knowledge can be leveraged to safeguard bee health. N-cyanoamidine neonicotinoid insecticides are much less toxic to honeybees and bumble bees than N-nitroguanidine compounds. Manjon et al. show that this results from differences in their efficiency of metabolism by cytochrome P450s of the CYP9Q subfamily, demonstrating their role as key determinants of bee sensitivity to this insecticide class. © 2018 The Author(s)",2018///,2018,10.1016/j.cub.2018.02.045,28,7,1137,1143.e5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044610718&doi=10.1016%2fj.cub.2018.02.045&partnerID=40&md5=658fa8eb09e437446fa21b5f090a43ed,Scopus,,,,,0,,1,8
725,JOUR,Genomic insights into neonicotinoid sensitivity in the solitary bee Osmia bicornis,"['Beadle, K.', 'Singh, K.S.', 'Troczka, B.J.', 'Randall, E.', 'Zaworra, M.', 'Zimmer, C.T.', 'Hayward, A.', 'Reid, R.', 'Kor, L.', 'Kohler, M.', 'Buer, B.', 'Nelson, D.R.', 'Williamson, M.S.', 'Davies, T.G.E.', 'Field, L.M.', 'Nauen, R.', 'Bass, C.']",PLoS Genetics,"The impact of pesticides on the health of bee pollinators is determined in part by the capacity of bee detoxification systems to convert these compounds to less toxic forms. For example, recent work has shown that cytochrome P450s of the CYP9Q subfamily are critically important in defining the sensitivity of honey bees and bumblebees to pesticides, including neonicotinoid insecticides. However, it is currently unclear if solitary bees have functional equivalents of these enzymes with potentially serious implications in relation to their capacity to metabolise certain insecticides. To address this question, we sequenced the genome of the red mason bee, Osmia bicornis, the most abundant and economically important solitary bee species in Central Europe. We show that O. bicornis lacks the CYP9Q subfamily of P450s but, despite this, exhibits low acute toxicity to the N-cyanoamidine neonicotinoid thiacloprid. Functional studies revealed that variation in the sensitivity of O. bicornis to N-cyanoamidine and N-nitroguanidine neonicotinoids does not reside in differences in their affinity for the nicotinic acetylcholine receptor or speed of cuticular penetration. Rather, a P450 within the CYP9BU subfamily, with recent shared ancestry to the Apidae CYP9Q subfamily, metabolises thiacloprid in vitro and confers tolerance in vivo. Our data reveal conserved detoxification pathways in model solitary and eusocial bees despite key differences in the evolution of specific pesticide-metabolising enzymes in the two species groups. The discovery that P450 enzymes of solitary bees can act as metabolic defence systems against certain pesticides can be leveraged to avoid negative pesticide impacts on these important pollinators. © 2019 Beadle et al. http://creativecommons.org/licenses/by/4.0/.",2019///,2019,10.1371/journal.pgen.1007903,15,2,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061562980&doi=10.1371%2fjournal.pgen.1007903&partnerID=40&md5=2e2bbb319513299a2211bd88ed4c830a,Scopus,,,,,0,,1,9
520,JOUR,Pesticide risk assessment at the molecular level using honey bee cytochrome P450 enzymes: A complementary approach,"['Haas, J.', 'Nauen, R.']",Environment International,"Honey bee (Apis mellifera) first-tier pesticide risk assessment is largely based on standardized laboratory toxicity bioassays after both acute and chronic exposure. Recent research on honey bee cytochrome P450 monooxygenases (P450s) uncovered CYP9Q3 as the molecular determinant mediating neonicotinoid insecticide selectivity and explaining why certain neonicotinoids such as thiacloprid show > 1000-fold lower acute toxicity than others (e.g. imidacloprid). Here this knowledge is leveraged for mechanistic risk assessment at the molecular level using a fluorescence-based high-throughput in vitro assay, predicting the interaction of diverse pesticidal chemotypes, including azole fungicides, with recombinantly expressed honey bee CYP9Q enzymes, known to metabolize thiacloprid, acetamiprid and tau-fluvalinate. Some azole fungicides were shown to be synergistic in combination with certain insecticides, including neonicotinoids and pyrethroids, whereas others such as prothioconazole were not. We demonstrate that biochemical CYP9Q2/CYP9Q3 inhibition data of azoles revealed a striking correlation with their synergistic potential at the organismal level, and even allow to explain combined toxicity effects observed for tank mixtures under field conditions. Our novel toxicogenomics-based approach is designed to complement existing methods for pesticide risk assessment with unprecedented screening capacity, by utilizing honey bee P450 enzymes known to confer pesticide selectivity, in order to biochemically address issues of ecotoxicological concern. © 2020 The Author(s)",2021///,2021,10.1016/j.envint.2020.106372,147,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099051848&doi=10.1016%2fj.envint.2020.106372&partnerID=40&md5=77dc0558ca8e230c990713233c55fa45,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'ecotoxicology', 'imidacloprid', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'acetamiprid', 'Article', 'controlled study', 'Neonicotinoid insecticides', 'nonhuman', 'pesticide', 'Pesticides', 'pyrethroid', 'risk assessment', 'Risk assessment', 'Apis mellifera', 'honeybee', 'Food products', 'adult', 'thiamethoxam', 'acute toxicity', 'Pesticide risk assessment', 'priority journal', 'Toxicity', 'thiacloprid', 'Risk Assessment', 'unclassified drug', 'LD50', 'experimental study', 'in vitro study', 'fungicide', 'genetics', 'cytochrome P450', 'protein expression', 'Fungicides', 'mortality rate', 'ecotoxicity', 'triazole derivative', 'enzyme activity', 'Synergism', 'physiological response', 'fluvalinate', 'binding site', 'correlation analysis', 'Pesticide mixtures', 'in vivo study', 'epoxiconazole', 'molecular analysis', 'Cytochrome P-450 Enzyme System', 'Enzymes', 'IC50', 'genomics', 'enzyme inhibition', 'process optimization', 'Toxicogenomics', 'Combined toxicity', 'triadimefon', '7 benzyloxy 4 trifluoromethyleoumarin', 'arylation', 'cytochrome P450 9Q2', 'cytochrome P450 9Q3', 'Cytochrome p450 enzymes', 'Cytochrome P450 monooxygenases', 'cytochrome P450 reductase', 'edetic acid', 'enzyme binding', 'fluorescence analysis', 'Knowledge management', 'Michaelis Menten kinetics', 'Molecular determinants', 'Molecular ecotoxicology', 'molecular size', 'Pollinator safety', 'Recent researches', 'Screening capacity', 'triflumizole', 'uniconazole']",,,,0,,1,10
