record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,issn,accession_number,start_page,end_page,url,name_of_database,keywords,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
93,JOUR,Imidacloprid and thiacloprid neonicotinoids bind more favourably to cockroach than to honeybee α6 nicotinic acetylcholine receptor: Insights from computational studies,"['Selvam, B', 'Graton, J', 'Laurent, AD', 'Alamiddine, Z', 'Mathé-Allainmat, M', 'Lebreton, J', 'Coqueret, O', 'Olivier, C', 'Thany, SH', 'Le Questel, JY']",JOURNAL OF MOLECULAR GRAPHICS & MODELLING,"The binding interactions of two neonicotinoids, imidacloprid (IMI) and thiacloprid (THI) with the extracellular domains of cockroach and honeybee alpha 6 nicotinic acetylcholine receptor (nAChR) subunits in an homomeric receptor have been studied through docking and molecular dynamics (MD) simulations. The binding mode predicted for the two neonicotinoids is validated through the good agreement observed between the theoretical results with the crystal structures of the corresponding complexes with Ac-AChBP, the recognized structural surrogate for insects nAChR extracellular ligand binding domain. The binding site of the two insect alpha 6 receptors differs by only one residue of loop D, a serine residue (Ser83) in cockroach being replaced by a lysine residue (Lys108) in honeybee. The docking results show very close interactions for the two neonicotinoids with both alpha 6 nAChR models, in correspondence to the trends observed in the experimental neonicotinoid-Ac-AChBP complexes. However, the docking parameters (scores and energies) are not significantly different between the two insect alpha 6 nAChRs to draw clear conclusions. The MD results bring distinct trends. The analysis of the average interaction energies in the two insects alpha 6 nAChRs shows indeed better affinity of neonicotinoids bound to alpha 6 cockroach compared to honeybee nAChR. This preference is explained by tighter contacts with aromatic residues (Trp and Tyr) of the binding pocket. Interestingly, the non-conserved residue Lys108 of loop D of alpha 6 honeybee nAChR interacts through van der Waals contacts with neonicotinoids, which appear more favourable than the direct or water mediated hydrogen-bond interaction between the OH group of Ser83 of alpha 6 cockroach nAChR and the electronegative terminal group of the two neonicotinoids (nitro in IMI and cyano in THI). Finally, in both insects nAChRs, THI is consistently found to bind more favourably than IMI. (C) 2014 Elsevier Inc. All rights reserved.",2015/02//,2015,10.1016/j.jmgm.2014.10.018,55,,1093-3263,WOS:000349587100001,1.0,12.0,,,,,1,,1,1
79,JOUR,Homology modelling of the Apis mellifera nicotinic acetylcholine receptor (nAChR) and docking of imidacloprid and fipronil insecticides and their metabolites,"['Rocher, A', 'Marchand-Geneste, N']",SAR AND QSAR IN ENVIRONMENTAL RESEARCH,"Five homology models for honeybee (Apis mellifera) nicotinic acetylcholine receptor (nAChR) alpha 1/beta 1, alpha 3/beta 2, alpha 4/beta 2, alpha 6/beta 2 and alpha 9/beta 9 subtypes were built from the Torpedo marmorata nAChR X-ray structure. Then, imidacloprid, fipronil and their metabolites were docked into the ligand binding domain (LBD) of these receptors and the corresponding scoring functions were calculated. The binding modes of the docked compounds were carefully analysed. Finally, multivariate analyses were used for deriving structure-activity relationships based on hydrogen bond number and scoring functions between the insecticides and the nAChR models.",2008///,2008,10.1080/10629360802083731,19,03-Apr,1062-936X,WOS:000255988500003,245.0,261.0,,,,,0,,1,2
149,JOUR,Quinuclidine compounds differently act as agonists of Kenyon cell nicotinic acetylcholine receptors and induced distinct effect on insect ganglionic depolarizations,"['Mathé-Allainmat, M', 'Swale, D', 'Leray, X', 'Benzidane, Y', 'Lebreton, J', 'Bloomquist, JR', 'Thany, SH']",INVERTEBRATE NEUROSCIENCE,"We have recently demonstrated that a new quinuclidine benzamide compound named LMA10203 acted as an agonist of insect nicotinic acetylcholine receptors. Its specific pharmacological profile on cockroach dorsal unpaired median neurons (DUM) helped to identify alpha-bungarotoxin-insensitive nAChR2 receptors. In the present study, we tested its effect on cockroach Kenyon cells. We found that it induced an inward current demonstrating that it bounds to nicotinic acetylcholine receptors expressed on Kenyon cells. Interestingly, LMA10203-induced currents were completely blocked by the nicotinic antagonist alpha-bungarotoxin. We suggested that LMA10203 effect occurred through the activation of alpha-bungarotoxin-sensitive receptors and did not involve alpha-bungarotoxin-insensitive nAChR2, previously identified in DUM neurons. In addition, we have synthesized two new compounds, LMA10210 and LMA10211, and compared their effects on Kenyon cells. These compounds were members of the 3-quinuclidinyl benzamide or benzoate families. Interestingly, 1 mM LMA10210 was not able to induce an inward current on Kenyon cells compared to LMA10211. Similarly, we did not find any significant effect of LMA10210 on cockroach ganglionic depolarization, whereas these three compounds were able to induce an effect on the central nervous system of the third instar M. domestica larvae. Our data suggested that these three compounds could bind to distinct cockroach nicotinic acetylcholine receptors.",2013/12//,2013,10.1007/s10158-013-0160-2,13,2,1354-2516,WOS:000327405700007,167.0,177.0,,,,,0,,1,3
111,JOUR,Structure-activity relationships of acyclic nicotinoids and neonicotinoids for insect nicotinic acetylcholine receptor/ion channel complex,"['Matsuo, H', 'Tomizawa, M', 'Yamamoto, I']",ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,"The insect nicotinic acetylcholine (ACh) receptor (nAChR) is a target site for the neonicotinoid insecticides such as imidacloprid and its acyclic derivative acetamiprid. The structure-activity relationships of acetamiprid homologues and 3-pyridylmethylamines (known as the essential structural requirement of nicotinoid) are compared in terms of the affinity to the [H-3]alpha- bungarotoxin (alpha-BGT) site (designated as ACh site) and the [H-3]phencyclidine (PCP) site [designated as noncompetitive blocker (NCB) site] of the insect nAChR from the honeybee heads. Increasing the chain length of alkyl substituents (from methyl to n-butyl) on an amino nitrogen atom of acetamiprid homologue and 3-pyridylmethylamine reduces the potency as inhibitors of [H-3]alpha-BGT binding, whereas it confers the enhanced potency as inhibitors of [H-3]PCP binding in the insect nAChR. Scatchard analysis reveals that homologues of acetamiprid and 3-pyridylmethylamine having n-butyl substituents interact with the high-affinity binding site for [H-3]PCP, which is considered to be the NCB site located in the ion channel of the insect nAChR. The interaction of acetamiprid homologues with the ACh or NCB site of nAChR is selective for insects, while that of the 3-pyridylmethylamines is effective for both insect and Torpedo [Tomizawa et al., J Pesticide Sci 21:412-418 (1996)], The explorations in further structural modification of neonicotinoid compounds may facilitate development of new insecticides or probes for the ion channel of insect nAChR. (C) 1998 Wiley-Liss, Inc.",1998///,1998,10.1002/(SICI)1520-6327(1998)37:1<17::AID-ARCH3>3.0.CO;2-S,37,1,0739-4462,WOS:A1998YJ23400003,17.0,23.0,,,,,0,,1,4
136,JOUR,"Expression patterns of nicotinic subunits α2, α7, α8, and β1 affect the kinetics and pharmacology of ACh-induced currents in adult bee olfactory neuropiles","['Dupuis, JP', 'Gauthier, M', 'Raymond-Delpech, V']",JOURNAL OF NEUROPHYSIOLOGY,"Dupuis JP, Gauthier M, Raymond-Delpech V. Expression patterns of nicotinic subunits alpha 2, alpha 7, alpha 8, and beta 1 affect the kinetics and pharmacology of ACh-induced currents in adult bee olfactory neuropiles. J Neurophysiol 106: 1604-1613, 2011. First published July 6, 2011; doi: 10.1152/jn.00126.2011.-Acetylcholine (ACh) is the main excitatory neurotransmitter of the insect brain, where nicotinic acetylcholine receptors (nAChRs) mediate fast cholinergic synaptic transmission. In the honeybee Apis mellifera, nAChRs are expressed in diverse structures including the primary olfactory centers of the brain, the antennal lobes (ALs) and the mushroom bodies (MBs), where they participate in olfactory information processing. To understand the nature and properties of the nAChRs involved in these processes, we performed a pharmacological and molecular characterization of nAChRs on cultured Kenyon cells of the MBs, using whole cell patch-clamp recordings combined with single-cell RT-PCR. In all cells, applications of ACh as well as nicotinic agonists such as nicotine and imidacloprid induced inward currents with fast desensitization. These currents were fully blocked by saturating doses of the antagonists alpha-bungarotoxin (alpha-BGT), dihydroxy-beta-erythroidine (DHE), and methyllycaconitine (MLA) (MLA >= alpha-BGT >= DHE). Molecular analysis of ACh-responding cells revealed that of the 11 nicotinic receptor subunits encoded within the honeybee genome, alpha 2, alpha 8, and beta 1 subunits were expressed in adult Kenyon cells. Comparison with the expression pattern of adult AL cells revealed the supplementary presence of subunit alpha 7, which could be responsible for the kinetic and pharmacological differences observed when comparing ACh-induced currents from AL and Kenyon cells. Together, our data demonstrate the existence of functional nAChRs on adult MB Kenyon cells that differ from nAChRs on AL cells in both their molecular composition and pharmacological properties, suggesting that changing receptor subsets could mediate different processing functions depending on the brain structure within the olfactory pathway.",2011/10//,2011,10.1152/jn.00126.2011,106,4,0022-3077,WOS:000296092000002,1604.0,1613.0,,,,,0,,1,5
94,JOUR,Binding of Nicotinoids and the Related Compounds to the Insect Nicotinic Acetylcholine Receptor,"['Tomizawa, M.', 'Yamamoto, I.']",Journal of Pesticide Science,"In a radio receptor assay on the binding at the [3H]a-bungarotoxin binding site to the nicotinic acetylcholine receptor (nAChR) obtained from housefly and honeybee head membranes, nicotine, nornicotine, anabasine and dihydronicotyrine, all with highly basic nitrogen, had a strong binding affinity, whereas myosmine, nicotyrine and cotinine, with low basic nitrogen, did not. Structure-binding relationships of the above nicotinoids and pyridylmethyl-amines mostly coincided with the previously studied relationships to the insecticidal activity, the effect on nerve activity and the inhibition of acetylcholinesterase (AChE). Both enantiomers of nicotine had an affinity for nAChR, although the affinity was higher in the /-form than in the d-form. Imidacloprid interacted at the same site on the nAChR, but oxadiazolone, a potent AChE inhibitor, had no affinity. © 1992, Pesticide Science Society of Japan. All rights reserved.",1992///,1992,10.1584/jpestics.17.4_231,17,4,,,231.0,236.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010086205&doi=10.1584%2fjpestics.17.4_231&partnerID=40&md5=46963bc94a15bcf4700b3ca17dcb48fc,Scopus,,,0,,1,6
139,JOUR,The insecticide imidacloprid is a partial agonist of the nicotinic receptor of honeybee Kenyon cells,"['Déglise, P', 'Grünewald, B', 'Gauthier, M']",NEUROSCIENCE LETTERS,"The main targets of the insecticide imidacloprid are neuronal nicotinic acetylcholine receptors (nAChRs) within the insect brain. We tested the effects of imidacloprid on ligand-gated ion channels of cultured Kenyon cells of the honeybee, Apis mellifera. Kenyon cells build up the mushroom body neuropils, which are involved in higher order neuronal processes such as olfactory learning. We measured whole-cell currents through nicotinic and gamma-aminobutyric acid (GABA) receptors using patch-clamp techniques. Pressure applications of imidacloprid elicited inward currents, which were irreversibly blocked by alpha-bungarotoxin. Imidacloprid was a partial nicotinic agonist, since it elicited only 36% of ACh-induced currents and competitively blocked 64% of the peak ACh-induced currents. GABA-induced currents were partially blocked when imidacloprid was coapplied and this block was independent upon activation of nAChRs. Our results identify the honeybee nAChR as a target of imidacloprid and an imidacloprid-induced inhibition of the insect GABA receptor. (C) 2002 Elsevier Science Ireland Ltd. All rights reserved.",2002/03/15/,2002,10.1016/S0304-3940(01)02400-4,321,01-Feb,0304-3940,WOS:000174746700004,13.0,16.0,,,,,0,,1,7
140,JOUR,Study of nicotinic acetylcholine receptors on cultured antennal lobe neurones from adult honeybee brains,"['Barbara, G.S.', 'Grünewald, B.', 'Paute, S.', 'Gauthier, M.', 'Raymond-Delpech, V.']",Invertebrate Neuroscience,"In insects, acetylcholine (ACh) is the main neurotransmitter, and nicotinic acetylcholine receptors (nAChRs) mediate fast cholinergic synaptic transmission. In the honeybee, nAChRs are expressed in diverse structures including the primary olfactory centres of the brain, the antennal lobes (AL) and the mushroom bodies. Whole-cell, voltage-clamp recordings were used to characterize the nAChRs present on cultured AL cells from adult honeybee, Apis mellifera. In 90% of the cells, applications of ACh induced fast inward currents that desensitized slowly. The classical nicotinic agonists nicotine and imidacloprid elicited respectively 45 and 43% of the maximum ACh-induced currents. The ACh-elicited currents were blocked by nicotinic antagonists methyllycaconitine, dihydroxy-β-erythroidine and α-bungarotoxin. The nAChRs on adult AL cells are cation permeable channels. Our data indicate the existence of functional nAChRs on adult AL cells that differ from nAChRs on pupal Kenyon cells from mushroom bodies by their pharmacological profile and ionic permeability, suggesting that these receptors could be implicated in different functions. © 2007 Springer-Verlag.",2008///,2008,10.1007/s10158-007-0062-2,8,1,,,19.0,29.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-40149102554&doi=10.1007%2fs10158-007-0062-2&partnerID=40&md5=9d8c58b9e2c159bedcfaf27a786c586a,Scopus,,,0,,1,8
141,JOUR,"Pharmacology of the neuronal nicotinic acetylcholine receptor of cultured Kenyon cells of the honeybee, Apis mellifera","['Wüstenberg, D.G.', 'Grünewald, B.']","Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology","We investigated the pharmacology of the nicotinic acetylcholine receptor of honeybee Kenyon cells, a subset of olfactory interneurons, which are crucial for olfactory learning and memory. Whole-cell currents were recorded using patch-clamp techniques. Pressure application of agonists induced inward currents in cultured Kenyon cells at holding potentials of -110 mV. Acetylcholine or carbamylcholine were full agonists, nicotine, epibatidine and cytisine were only partial agonists. Coapplications of these partial agonists with acetylcholine reduced the current amplitude. The most efficient antagonists were dihydroxy-β-erythroidine (EC50 = 0.5 pmol·l-1) and methyllycaconitine (EC50 = 24 pmol·l-1). The open channel blocker mecamylamine, d-tubocurarine and hexamethonium were rather weak blockers of the honeybee nicotinic response. Bath applications of the muscarinic antagonist atropine inhibited nicotinic currents dependent on concentration (EC50 = 24.3 μmol·l-1). Muscarine, pilocarpine or oxotremorine (1 mmol·l-1) did not induce any measurable currents. The non-cholinergic drugs strychnine, bicuculline and picrotoxin partially and reversibly blocked the acetylcholine-induced currents. Our results indicate the expression of only one nicotinic acetylcholine receptor subtype in cultured Kenyon cells. Muscarinic as well as non-cholinergic antagonists also inhibit the receptor function, distinguishing the honeybee nicotinic receptor from the ""typical"" nicotinic receptor of vertebrates and from many described insects receptors. © Springer-Verlag 2004.",2004///,2004,10.1007/s00359-004-0530-7,190,10,,,807.0,821.0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-8744298373&doi=10.1007%2fs00359-004-0530-7&partnerID=40&md5=19b01d0de53cfe437591cf205b594e3c,Scopus,,,0,,1,9
135,JOUR,NACHO permits functional heterologous expression of an insect homomeric α6 nicotinic acetylcholine receptor,"['Hawkins, J.', 'Mitchell, E.L.', 'Jones, A.K.']",Pesticide Biochemistry and Physiology,"Insect nicotinic acetylcholine receptors (nAChR) are molecular targets of highly effective insecticides. The use of chaperone proteins has been key to successful functional expression of these receptors in heterologous systems, permitting functional and pharmacological studies of insect nAChRs with particular subunit composition. Here, we report the first use of the chaperone protein, NACHO, to enable functional expression of an insect nAChR, the α6 subunit from Apis mellifera, in Xenopus laevis oocytes. This is also the first report of functional expression of a homomeric insect α6 nAChR. Using two-electrode voltage-clamp electrophysiology we show that the acetylcholine EC50 of the α6 receptor is 0.88 μM and that acetylcholine responses are antagonized by α-bungarotoxin. Spinosad showed agonist actions and kept the ion channel open when co-applied with acetylcholine, reinforcing the α6 nAChR subunit as a key molecular target for the spinosyn class of insecticide. The use of NACHO may provide a basis for future expression studies of insect α6 nAChRs, potentially providing a tool for the discovery of novel insecticides. © 2022 Elsevier Inc.",2022///,2022,10.1016/j.pestbp.2021.105030,181,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122641741&doi=10.1016%2fj.pestbp.2021.105030&partnerID=40&md5=a42a9b7e38233ba679c3a6f526a73692,Scopus,"['acetylcholine', 'Acetylcholine', 'animal', 'Animals', 'Apis mellifera', 'bee', 'Bees', 'Functional expression', 'genetics', 'insect', 'Insecta', 'insecticide', 'Insecticide', 'Insecticides', 'NACHO', 'Nicotinic acetylcholine receptor', 'nicotinic receptor', 'oocyte', 'Oocytes', 'Receptors, Nicotinic', 'Xenopus laevis']",,0,,1,10
59,JOUR,Computational insight on the binding and selectivity of target-subunit-dependent for neonicotinoid insecticides,"['Xu, XY', 'Yang, ZK', 'Zhu, K', 'Li, HL', 'Qin, ZH', 'Duan, HX']",JOURNAL OF MOLECULAR GRAPHICS & MODELLING,"The nicotinic acetylcholine receptor (nAChR), as an attractive target acted by neonicotinoid insecticides, was paid more and more attention in recent years. The mode of action study on neonicotinoids toward nAChR would present significant guidance on rational molecular design to further discover new insecticides. Four neonicotinoids including commercial agents imidacloprid and flupyradifurone, two previously synthesized compounds guadipyr and ethoxythiagua in our lab were docked into a putative model of aphid and honeybee nAChR, respectively, to explore the binding and selective mechanism of neonicotinoids in this study. The obtained results showed that a traditional H-bond interaction, as a dominating electrostatic driving force, always conferred the binding of four neonicotinoids not only to target aphid receptor but also to non-target honeybee one. Four neonicotinoids almost showed uniformly binding conformation into aphid receptor, namely, a vital electronegative nitro or butenolide group to be conserved to nestle in a non-selective beta subunit. The bioassay study on Aphis gossypii also confirmed to be their excellent insecticidal activity with a lower LC50 value of 0.028-3.2 mu g/mL. However, to non-target honeybee receptor, this special nitro or butenolide group of four neonicotinoids was no longer only binding to the non-selective beta subunit of receptor. Three among four neonicotinoids like flupyradifurone, guadipyr and ethoxythiagua as a case of low bee-toxicity reported in the previous study, were happened to display an exactly inverted binding orientation, namely, an unusual electronegative group captured another selective alpha subunit. However, this high bee-toxicity imidacloprid remained one conserved conformation into the non-selective beta subunit as that seen from aphid receptor. This unique molecular mechanism of selectively binding to honeybee receptor, particularly to different subunit, was proposed cautiously to be one of factor determined the distinctive bee-toxicity for four neonicotinoids. These findings on the diverse mode of action for neonicotinoids to target and non-target receptor would be helpful for on novel insecticides design with high bioactivity as well as good selectivity based on the structure of different insect nAChR. (C) 2020 Elsevier Inc. All rights reserved.",2020/07//,2020,10.1016/j.jmgm.2020.107586,98,,1093-3263,WOS:000534572200003,,,,,"['Article', 'bee', 'Binding and selective mode', 'bioassay', 'butenolide', 'controlled study', 'cotton aphid', 'ethoxythiagua', 'force', 'guadipyr', 'Homology modeling', 'honeybee', 'hydrogen', 'hydrogen bond', 'imidacloprid', 'insecticidal activity', 'Insecticides', 'LC50', 'Molecular design', 'molecular interaction', 'molecular probe', 'neonicotinoid', 'Neonicotinoids', 'Nicotinic acetylcholine receptor', 'Nicotinic acetylcholine receptors', 'nicotinic receptor', 'nonhuman', 'priority journal', 'protein conformation', 'static electricity', 'toxicity', 'Toxicity', 'unclassified drug', 'upyradifurone']",,0,,1,11
131,JOUR,Impact of a worker bee thoracic ganglion RIC-3 variant on the actions of acetylcholine and neonicotinoids on nicotinic receptors in Apis mellifera,"['Takebayashi, M.', 'Mori, S.', 'Ito, R.', 'Takayama, K.', 'Ojima, H.', 'Takeuchi, M.', 'Takahashi, H.', 'Yamamoto, N.', 'Egawa, R.', 'Kimura, Y.', 'Ihara, M.', 'Sasaki, K.', 'Sattelle, D.B.', 'Matsuda, K.']",Pest Management Science,"A transmembrane thioredoxin (TMX3) enables the functional expression of insect nicotinic acetylcholine receptors (nAChRs) in Xenopus laevis oocytes, while co-factors RIC-3 and UNC-50 regulate the receptor expression level. RIC-3 (resistant to inhibitors of cholinesterase 3) has been shown to diversify by its differential mRNA splicing patterns. How such diversity influences neonicotinoid sensitivity of nAChRs of beneficial insect species remains poorly understood. We have identified a RIC-3 variant expressed most abundantly in the thoracic ganglia of honeybee (Apis mellifera) workers and investigated its effects on the functional expression and pharmacology of Amα1/Amα8/Amβ1 and Amα1/Amα2/Amα8/Amβ1 nAChRs expressed in X. laevis oocytes. The AmRIC-3 enhanced the response amplitude to the acetylcholine (ACh) of these A. mellifera nAChRs when its cRNA was injected into oocytes at low concentrations but suppressed the ACh response amplitude at high concentrations. Co-expression of the AmRIC-3 had a minimal impact on the affinity of ACh, but changed the efficacy of imidacloprid and clothianidin, suggesting that the presence and the level of RIC-3 expression can affect the nAChR responses to ACh and neonicotinoids, depending on nAChR subunit composition in honeybees. © 2024 Society of Chemical Industry. © 2024 Society of Chemical Industry.",2024///,2024,10.1002/ps.8371,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201672263&doi=10.1002%2fps.8371&partnerID=40&md5=3bf669895fd7ddd4fee4f5719f84a087,Scopus,"['Apis mellifera', 'auxiliary protein', 'neonicotinoids', 'nicotinic acetylcholine receptors', 'RIC-3']",,0,,1,12
