record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,url,name_of_database,keywords,issn,accession_number,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
616,JOUR,Toxicity and nicotinic acetylcholine receptor interaction of imidacloprid and its metabolites in Apis mellifera (Hymenoptera: Apidae),"['Nauen, R.', 'Ebbinghaus-Kintscher, U.', 'Schmuck, R.']",Pest Management Science,"Acute oral and contact toxicity tests of imidacloprid, an insecticide acting agonistically on nicotinic acetylcholine receptors (nAChR), to adult honeybees, Apis mellifera L var carnica, were carried out by seven different European research facilities. Results indicated that the 48-h oral LD50 of imidacloprid is between 41 and >81 ng per bee, and the contact LD50 between 49 and 102 ng per bee. The ingested amount of imidacloprid-containing sucrose solution decreased with increasing imidacloprid concentrations and may be attributed to dose-related sub-lethal intoxication symptoms or to antifeedant responses. Some previously reported imidacloprid metabolites occurring at low levels in planta after seed dressing, ie olefine-, 5-OH- and 4,5-OH-imidacloprid, showed lower oral LD50 values (>36, >49 and 159ng per bee, respectively) compared with the concurrently tested parent molecule (41ng per bee). The urea metabolite and 6-chloronicotinic acid (6-CNA) exhibited LD50 values of >99 500 and >121 500ng per bee, respectively. The pharmacological profile of the [3H]imidacloprid binding site in honeybee head membrane preparations is consistent with that anticipated for a nAChR. IC50 values for the displacement of [3H]imidacloprid by several metabolites such as olefine, 5-OH-, 4,5-OH-imidacloprid, urea and 6-CNA were 0.45, 24, 6600, > 100 000, and > 100 000nM, respectively. Displacement of [3H]imidacloprid by imidacloprid revealed an IC50 value of 2.9nM, thus correlating well with the observed acute oral toxicity of the compounds in honeybees. Neurons isolated from the antennal lobe of A mellifera and subjected to whole-cell voltage clamp electrophysiology responded to the application of 100 μM acetylcholine with a fast inward current of between 30 and 1600 pA at -70mV clamp potential. Imidacloprid and two of the metabolites (olefine- and 5-OH-imidacloprid) acted agonistically on these neurons, whereas the others did not induce currents at test conencentrations up to 3 mM. The electrophysiological data revealed Hill coefficients of approximately 1, indicating a single binding site responsible for an activation of the receptor and no direct cooperativity or allosteric interaction with a second binding site. © 2001 Society of Chemical Industry.",2001///,2001,10.1002/ps.331,57,7,577,586,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034943098&doi=10.1002%2fps.331&partnerID=40&md5=fac70b3532284540063e9866867d0f79,Scopus,,,,,1,,1,1
825,JOUR,Imidacloprid effects on acetylcholinesterase and nicotinic acetylcholine receptor in Apis mellifera. Experimental and molecular modeling approaches,"['Ali, H.M.', 'Abdel-Aty, B.', 'El-Sayed, W.', 'Mariy, F.M.', 'Hegazy, G.M.', 'Mohamed, R.A.', 'Zoghly, H.M.']",Chemosphere,"Although the neonicotinoid insecticides have good selectivity towards insects rather than vertebrates, they have severe effects on honeybee production and pollination activities. Therefore, the effects of imidacloprid (IMI), the most used neonicotinoid, on the two main bioreceptors, acetylcholinesterase (AChE) and nicotinic acetylcholine receptor alpha subunit (nAChRα1) of honeybees were examined to identify their roles in honeybee toxicity and possible binding sites which assist in selecting and designing neonicotinoids. In vivo, IMI showed a high inhibitory effect on AChE (IC50 5.63 mg/L); however, the effect was much lower in vitro experiment (IC50 719 mg/L). This result induced us to examine the IMI effect on AChE gene expression which revealed that the AChE-2 gene expression was severely affected by IMI explaining the observed high enzyme inhibition. In addition, although toxicity increased by increasing exposure to IMI (LC50 2.9 mg/L after 4h and 0.75 mg/L after 48h), AChE was not elevated (IC50 5.63 and 5.52 mg/L respectively). Besides, Despite resuming most enzyme activity (77% during 2 h and 84.14% after 4 h), a high mortality level was observed with LC50 2.9 mg/L. These results reinforced that the observed high toxicity is a multifactor process. Accordingly, Molecular modeling and docking of IMI into honeybee AChE and nAChRα1were also performed to examine their possible interactions and identify the important binding sites. Results models indicated that the first two binding sites in AChE were found in the esteratic subunit in the active site explaining the observed in vitro inhibition. In nAChRα1, four of the highest five free energy binding sites are located in the large TM3-TM4 loop and one in the extracellular loops. Consequently, the present work revealed that IMI toxicity is attributed to various factors including direct interaction with both AChE and nAChRα1 as well as downregulating AChE-2 gene expression. © 2024 Elsevier Ltd",2024///,2024,10.1016/j.chemosphere.2024.141899,356,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189431305&doi=10.1016%2fj.chemosphere.2024.141899&partnerID=40&md5=0d59fc4d5808c83501fe2317b4746c96,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'imidacloprid', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pollination', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'Apis mellifera', 'drug effect', 'honeybee', 'toxicity', 'nicotinic receptor', 'Imidacloprids', 'mortality', 'Toxicity', 'gene expression', 'down regulation', 'Honeybee', 'unclassified drug', 'animal tissue', 'in vitro study', 'metabolism', 'LC50', 'Gene expression', 'genetics', 'Receptors, Nicotinic', 'insect protein', 'nAChR', 'acetylcholinesterase', 'Acetylcholinesterase', 'enzyme activity', 'Nicotinic acetylcholine', 'Models, Molecular', 'molecular docking', 'molecular model', 'binding site', 'Insect Proteins', 'Molecular Docking Simulation', 'Genes expression', 'AChE', 'animal model', 'NAChR', 'in vivo study', 'enzyme', 'nervous system', 'Binding energy', 'Alfa subunit', 'Alpha subunit', 'Binding sites', 'Binding Sites', 'Binding-sites', 'enzyme active site', 'Enzyme activity', 'enzyme inhibition', 'Enzyme inhibition', 'experimental toxicity', 'Free energy', 'Molecular modeling', 'nicotinic receptor alpha1', 'Transmembranes']",,,,1,,1,2
499,JOUR,Impairments in learning and memory performances associated with nicotinic receptor expression in the honeybee Apis mellifera after exposure to a sublethal dose of sulfoxaflor,"['Cartereau, A.', 'Pineau, X.', 'Lebreton, J.', 'Mathé-Allainmat, M.', 'Taillebois, E.', 'Thany, S.H.']",PLoS ONE,"Sulfoxaflor is a new insecticide which acts on the nicotinic acetylcholine receptor (nAChRs) in a similar way to neonicotinoids. However, sufloxaflor (SFX) is thought to act in a different manner and is thus proposed as an alternative in crop protection. The goal of this study is to evaluate the toxicity of SFX and its sublethal effect on the honeybee Apis mellifera after acute exposure. In toxicological assay studies, the LD50 value and sublethal dose (corresponding to the NOEL: no observed effect level) were 96 and 15 ng/bee, respectively. Using the proboscis extension response paradigm, we found that an SFX dose of 15 ng/bee significantly impairs learning and memory retrieval when applied 12 h before conditioning or 24 h after olfactory conditioning. SFX had no effect on honeybee olfactory performance when exposure happened after the conditioning. Relative quantitative PCR experiments performed on the six nicotinic acetylcholine receptor subunits demonstrated that they are differently expressed in the honeybee brain after SFX exposure, whether before or after conditioning. We found that intoxicated bees with learning defects showed a strong expression of the Amelβ1 subunit. They displayed overexpression of Amelα9 and Amelβ2, and down-regulation of Amelα1, Amelα3 and Amelα7 subunits. These results demonstrated for the first time that a sublethal dose of SFX could affect honeybee learning and memory performance and modulate the expression of specific nAChR subunits in the brain. © 2022 Public Library of Science. All rights reserved.",2022///,2022,10.1371/journal.pone.0272514,17,08-Aug,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135501040&doi=10.1371%2fjournal.pone.0272514&partnerID=40&md5=019569ee471b667302fb18abd9156033,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Article', 'controlled study', 'nonhuman', 'Apis mellifera', 'honeybee', 'learning', 'Learning', 'memory', 'memory consolidation', 'memory disorder', 'nicotinic receptor', 'pyridine derivative', 'Pyridines', 'smelling', 'sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative', 'sublethal dose', 'mortality', 'toxicology', 'gene expression', 'short term exposure', 'unclassified drug', 'LD50', 'behavior', 'metabolism', 'real time polymerase chain reaction', 'acetylcholine', 'brain', 'computer model', 'drug toxicity', 'genetics', 'information retrieval', 'no-observed-effect level', 'Receptors, Nicotinic', 'reverse transcription polymerase chain reaction', 'RNA extraction', 'spatial memory', 'upregulation']",,,,1,,1,3
203,JOUR,Physiological effects of field concentrations and sublethal concentrations of sulfoxaflor on Apis mellifera,"['Wang, S.', 'Fan, W.', 'Ji, W.', 'Wang, K.', 'Gull, S.', 'Li, J.', 'Chen, L.', 'Ji, T.', 'Liu, J.']",Pest Management Science,"BACKGROUND: Bees (Apis mellifera), as important pollinators of agricultural crops, are at risk when pesticides are used. Sulfoxaflor is a new insecticide which acts on the nicotinic acetylcholine receptor (nAChR) in a similar way to neonicotinoids. The goal of this study is to evaluate the toxicity of sulfoxaflor and its effect on the A. mellifera exposure. RESULTS: Initially, developmental indicators such as larval survival, pupation, and eclosion were inhibited by 5.0 mg/L (field concentration) sulfoxaflor. In the pupal stage, fat content was significantly increased, while the glycogen content decreased. In addition, A. mellifera heads were treated with 2.0 mg/L (sublethal concentration) of sulfoxaflor and analyzed by RNA sequencing. The transcriptome results indicated that 2.0 mg/L amounts of sulfoxaflor have adverse effects on the immune, digestive, and nervous systems. Sulfoxaflor down-regulated the expression of many genes involved in immunity, detoxification, the myosin cytoskeleton, sensory neurons, and odor-binding proteins. CONCLUSION: Field concentration and sublethal concentration were used for the combined analysis of honeybees. The effect of sublethal concentration of sulfoxaflor on honeybees was studied for the first time from the perspective of transcriptome sequencing of honeybee head. A preliminary study was carried out on the stress of sulfoxaflor at sublethal concentration on honeybee workers, which has certain research significance and can provide theoretical basis for the use of sulfoxaflor in the field environment. © 2024 Society of Chemical Industry. © 2024 Society of Chemical Industry.",2024///,2024,10.1002/ps.8326,80,11,5941,5953,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202068976&doi=10.1002%2fps.8326&partnerID=40&md5=f1ac3cc696efcebed199af2d398beea4,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'insecticide', 'Insecticides', 'pollution exposure', 'sublethal effect', 'Apis mellifera', 'drug effect', 'honeybee', 'pyridine derivative', 'Pyridines', 'sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative', 'concentration (composition)', 'larva', 'Larva', 'growth, development and aging', 'sublethal concentration', 'transcriptome', 'Transcriptome', 'pupa', 'genetic analysis', 'physiological response', 'Pupa', 'transcriptome analysis']",,,,0,alteration of CYP6AQ1 expression,1,4
353,JOUR,Sulfoxaflor influences the biochemical and histological changes on honeybees (Apis mellifera L.),"['Ibrahim, E.-D.S.', 'Abd Alla, A.E.', 'El-Masarawy, M.S.', 'Salem, R.A.', 'Hassan, N.N.', 'Moustafa, M.A.M.']",Ecotoxicology,"Pesticide application can have an adverse effect on pollinator honey bees, Apis mellifera L., ranging from mortality to sublethal effects. Therefore, it is necessary to understand any potential effects of pesticides. The present study reports the acute toxicity and adverse effects of sulfoxaflor insecticide on the biochemical activity and histological changes on A. mellifera. The results showed that after 48 h post-treatment, the LD25 and LD50 values were 0.078 and 0.162 µg/bee, respectively, of sulfoxaflor on A. mellifera. The detoxification enzyme activity shows an increase of glutathione-S-transferase (GST) enzyme on A. mellifera in response to sulfoxaflor at LD50 value. Conversely, no significant differences were found in mixed-function oxidation (MFO) activity. In addition, after 4 h of sulfoxaflor exposure, the brains of treated bees showed nuclear pyknosis and degeneration in some cells, which evolved to mushroom shaped tissue losses, mainly neurons replaced by vacuoles after 48 h. There was a slight effect on secretory vesicles in the hypopharyngeal gland after 4 h of exposure. After 48 h, the vacuolar cytoplasm and basophilic pyknotic nuclei were lost in the atrophied acini. After exposure to sulfoxaflor, the midgut of A. mellifera workers showed histological changes in epithelial cells. These findings of the present study showed that sulfoxaflor could have an adverse effect on A. mellifera. © 2023, The Author(s).",2023///,2023,10.1007/s10646-023-02677-0,32,5,674,681,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162018433&doi=10.1007%2fs10646-023-02677-0&partnerID=40&md5=8aa8649017b854e5ba29af4939ed1fe9,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'insecticide', 'Insecticides', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'pesticide', 'Pesticides', 'Apis mellifera', 'honeybee', 'toxicity', 'pyridine derivative', 'Pyridines', 'sulfoxaflor', 'Sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative', 'adult', 'acute toxicity', 'Toxicity', 'sublethal concentration', 'animal cell', 'unclassified drug', 'LD50', 'animal tissue', 'brain', 'mortality rate', 'detoxification', 'pesticide application', 'histopathology', 'enzyme activity', 'cell vacuole', 'cytoplasm', 'bioaccumulation', 'nerve cell', 'hypopharynx', 'glutathione transferase', 'oxidation', 'biochemistry', 'Glutathione Transferase', 'GST', 'epithelium cell', 'Histological effects', 'MFO', 'secretory vesicle']",,,,0,GST detox increase,1,5
267,JOUR,Differential physiological effects of neonicotinoid insecticides on honey bees: A comparison between Apis mellifera and Apis cerana,"['Li, Z.', 'Li, M.', 'He, J.', 'Zhao, X.', 'Chaimanee, V.', 'Huang, W.-F.', 'Nie, H.', 'Zhao, Y.', 'Su, S.']",Pesticide Biochemistry and Physiology,"Acute toxicities (LD50s) of imidacloprid and clothianidin to Apis mellifera and A. cerana were investigated. Changing patterns of immune-related gene expressions and the activities of four enzymes between the two bee species were compared and analyzed after exposure to sublethal doses of insecticides. Results indicated that A. cerana was more sensitive to imidacloprid and clothianidin than A. mellifera. The acute oral LD50 values of imidacloprid and clothianidin for A. mellifera were 8.6 and 2.0 ng/bee, respectively, whereas the corresponding values for A. cerana were 2.7 and 0.5 ng/bee. The two bee species possessed distinct abilities to mount innate immune response against neonicotinoids. After 48 h of imidacloprid treatment, carboxylesterase (CCE), prophenol oxidase (PPO), and acetylcholinesterase (AChE) activities were significantly downregulated in A. mellifera but were upregulated in A. cerana. Glutathione-S-transferase (GST) activity was significantly elevated in A. mellifera at 48 h after exposure to imidacloprid, but no significant change was observed in A. cerana. AChE was downregulated in both bee species at three different time points during clothianidin exposure, and GST activities were upregulated in both species exposed to clothianidin. Different patterns of immune-related gene expression and enzymatic activities implied distinct detoxification and immune responses of A. cerana and A. mellifera to imidacloprid and clothianidin. © 2017 Elsevier Inc.",2017///,2017,10.1016/j.pestbp.2017.06.010,140,,1,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021136502&doi=10.1016%2fj.pestbp.2017.06.010&partnerID=40&md5=cba6fe0fe7d18def05deb6181a79e2cf,Scopus,,,,,0,,1,6
115,JOUR,Sulfoxaflor effects depend on the interaction with other pesticides and Nosema ceranae infection in the honey bee (Apis mellifera),"['Urueña, Á.', 'Blasco-Lavilla, N.', 'De la Rúa, P.']",Ecotoxicology and Environmental Safety,"Honey bees health is compromised by many factors such as the use of agrochemicals in agriculture and the various diseases that can affect them. Multiple studies have shown that these factors can interact, producing a synergistic effect that can compromise the viability of honey bees. This study analyses the interactions between different pesticides and the microsporidium Nosema ceranae and their effect on immune and detoxification gene expression, sugar consumption and mortality in the Iberian western honey bee (Apis mellifera iberiensis). For this purpose, workers were infected with N. ceranae and subjected to a sugar-water diet with field concentrations of the pesticides sulfoxaflor, azoxystrobin and glyphosate. Increased sugar intake and altered immune and cytochrome P450 gene expression were observed in workers exposed to sulfoxaflor and infected with N. ceranae. None of the pesticides affected Nosema spore production in honey bee gut. Of the three pesticides tested (alone or in combination) only sulfoxaflor increased mortality in honey bees. Taken together, our results suggest that the effects of sulfoxaflor were attenuated in contact with other pesticides, and that Nosema infection leads to increase sugar intake in sulfoxaflor-exposed bees. Overall, this underlines the importance of studying the interaction between different stressors to understand their overall impact not only on honey bee but also on wild bees health. © 2023 The Authors",2023///,2023,10.1016/j.ecoenv.2023.115427,264,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170102765&doi=10.1016%2fj.ecoenv.2023.115427&partnerID=40&md5=f2260686df7f9c4ba8a5b22ea071ba0b,Scopus,"['agricultural chemical', 'Agrochemicals', 'animal', 'Animals', 'Apis mellifera', 'Apis mellifera iberiensis', 'Article', 'azoxystrobin', 'bacterial reproduction', 'bacterial spore', 'bee', 'Bees', 'chemical pest control', 'controlled study', 'cytochrome P450', 'detoxification', 'diet', 'gastrointestinal tract', 'gene expression', 'Gene expression', 'glyphosate', 'health', 'honey bee gut', 'honeybee', 'Iberian western honey bee', 'immune response', 'immunity', 'Microsporidia', 'mortality', 'Mortality', 'nonhuman', 'Nosema', 'Nosema ceranae', 'nosemosis', 'pesticide', 'Pesticides', 'sugar', 'sugar intake', 'sugar-water diet', 'sulfoxaflor', 'Sulfoxaflor', 'unclassified drug', 'water', 'worker (insect)']",,,,0,upregulated the expression of CYP6AS3,1,7
204,JOUR,"Interactions between sublethal doses of thiamethoxam and Nosema ceranae in the honey bee, Apis mellifera","['Liu, Z.', 'Li, S.', 'Li, H.']",Journal of Apicultural Research,"Both Nosema ceranae and insecticides are adversely affecting honey bees. How both factors affect gene expression and honey bee survival are well studied. However, only a few studies dealt with the interactions of the two factors. Here we studied the effects of both, when alone and in combination, on honey bee survival and expression changes of immune and detoxification genes. Newly emerged bees were randomly assigned four different treatments: control bees, bees exposed to thiamethoxam, bees exposed to thiamethoxam and then infected with Nosema, and bees infected with N.ceranae only. When combined with Nosema, thiamethoxam caused a significant reduction in survival from the control, but this reduction is not significantly different from N. ceranae alone. Exposure to thiamethoxam caused significantly increased expressions compared to the control for the genes of abaecin, apidaecin and hymenoptacin, but significantly decreased expression for the defensin gene. When the two factors were combined, the expression patterns were similar to N.ceranae infection alone (apidaecin, defencin and hymenoptaecin), except abaecin, which was increased compared to Nosema infected bees. For detoxification genesCCE8 and CYP315A1, thiamethoxam caused significantly increased gene expression but Nosema caused significantly decreased expression. When combined, the two factors did not show a further increase in Mortality compared to Nosema infection alone. Our study shows a clear combined effect of thiamethoxam and Nosema, but mainly in worker mortality and very little effect on gene expression. This study highlights the importance of observing mortality when studying the effect of insecticide on gene expression. © 2021 International Bee Research Association.",2021///,2021,10.1080/00218839.2021.1880760,60,5,717,725,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101747938&doi=10.1080%2f00218839.2021.1880760&partnerID=40&md5=10900653651bde373f78e5729d7b6ccd,Scopus,"['neonicotinoid', 'Beekeeping', 'detoxifying gene', 'immunity gene', 'microsporidian']",,,,0,,1,8
240,JOUR,Sublethal effects of Isoclast™ Active (50% sulfoxaflor water dispersible granules) on larval and adult worker honey bees (Apis mellifera L.),"['Li, J.', 'Zhao, L.', 'Qi, S.', 'Zhao, W.', 'Xue, X.', 'Wu, L.', 'Huang, S.']",Ecotoxicology and Environmental Safety,"Sulfoxaflor is a novel sulfoximine insecticide which is widely used to control crop pests. Risk assessments have reported its high toxicity to pollinators. However, sulfoxaflor is not persistent in the environment and few studies have addressed its negative effects on larval and newly emerged honeybees at environmentally relevant concentrations. In the present study, the sublethal effects of a sulfoxaflor commercial product, Isoclast™ Active, were evaluated in the laboratory using larvae and newly emerged worker honeybees. The results of 96-h acute toxicity showed that Isoclast is moderately toxic to adult bees, and it could induce significant death and growth failure of larvae after continuous dietary intake. In addition, Isoclast induced significant changes in antioxidative (SOD, CAT), lipid peroxidation (POD, LPO, MDA), detoxification (GST, GR, GSH) and signal transduction-related (AChE, ACh) enzymes or products both in larvae and adult honey bees under residue levels. Here we firstly reported the lethal and sublethal effects of commercial sulfoxaflor to honeybees’ larvae and young workers. All these findings revealed the potential risks of sulfoxaflor residue in environment to honey bees, and may also to other pollinators. This is a laboratory mimic studies, and further studies are still needed to investigate the risks and in-depth mechanisms of sulfoxaflor to bees in field. © 2021",2021///,2021,10.1016/j.ecoenv.2021.112379,220,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107134308&doi=10.1016%2fj.ecoenv.2021.112379&partnerID=40&md5=c26adb8bc8af11f7151eeb12d6de864a,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'insecticide', 'Insecticides', 'pollination', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'Pollination', 'risk assessment', 'sublethal effect', 'Apis mellifera', 'concentration (parameter)', 'drug effect', 'environmental exposure', 'Environmental Exposure', 'honeybee', 'toxicity', 'pyridine derivative', 'Pyridines', 'sulfoxaflor', 'Sulfoxaflor', 'Sulfur Compounds', 'sulfur derivative', 'survival rate', 'larva', 'Larva', 'adult', 'sublethal concentration', 'catalase', 'Honeybee', 'unclassified drug', 'water', 'adverse event', 'chemical analysis', 'acetylcholinesterase', 'enzyme activity', 'diet', 'Diet', 'physiological stress', 'crop pest', 'risk factor', 'glutathione transferase', 'oxidative stress', 'superoxide dismutase', 'Oxidative stress', 'Oxidative Stress', 'Water', 'malonaldehyde', 'lipid peroxidation', 'enzyme analysis', 'Adult toxicity', 'Larval toxicity', 'peroxidase']",,,,0,,1,9
216,JOUR,Exposure of honey bee larvae to thiamethoxam and its interaction with Nosema ceranae infection in adult honey bees,"['Tesovnik, T.', 'Zorc, M.', 'Ristanić, M.', 'Glavinić, U.', 'Stevanović, J.', 'Narat, M.', 'Stanimirović, Z.']",Environmental Pollution,"During their lifetime honey bees (Apis mellifera) rarely experience optimal conditions. Sometimes, a simultaneous action of multiple stressors, natural and chemical, results in even greater effect than of any stressor alone. Therefore, integrative investigations of different factors affecting honey bees have to be carried out. In this study, adult honey bees exposed to thiamethoxam in larval and/or adult stage and infected with Nosema ceranae were examined. Newly emerged bees from colonies, non-treated or treated with thiamethoxam, were organized in six groups and kept in cages. Thiamethoxam treated bees were further exposed to either thiamethoxam or Nosema (groups TT and TN), or simultaneously to both (group TTN). Newly emerged bees from non-treated colonies were exposed to Nosema (group CN). From both, treated and non-treated colonies two groups were organized and further fed only with sugar solution (groups C and TC). Here, we present the expression profile of 19 genes in adult worker honey bees comprising those involved in immune, detoxification, development and apoptosis response. Results showed that gene expression patterns changed with time and depended on the treatment. In group TC at the time of emergence the majority of tested genes were downregulated, among which nine were significantly altered. The same gene pattern was observed on day six, where the only significantly upregulated gene was defensin-1. On day nine most of analyzed genes in all experimental groups showed upregulation compared to control group, where upregulation of antimicrobial peptide genes abaecin, defensin-1 and defensin-2 was significant in groups TT and TTN. On day 15 we observed a similar pattern of expression in groups TC and TT exposed to thiamethoxam only, where most of the detoxification genes were downregulated. Additionally RNA loads of Nosema and honey bee viruses were recorded. We detected a synergistic interaction of thiamethoxam and Nosema, reflected in lowest honey bee survival. © 2019 The Authors",2020///,2020,10.1016/j.envpol.2019.113443,256,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075423718&doi=10.1016%2fj.envpol.2019.113443&partnerID=40&md5=6a30a31a3909efd7ca6ce595f48fb616,Scopus,,,,,0,"There was significant downregulation of four detoxification genes (PKA-R1, CYP6AS14, CYP4G11 and CYP306A1) ",1,10
