record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,url,name_of_database,keywords,issn,accession_number,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
616,JOUR,Toxicity and nicotinic acetylcholine receptor interaction of imidacloprid and its metabolites in Apis mellifera (Hymenoptera: Apidae),"['Nauen, R.', 'Ebbinghaus-Kintscher, U.', 'Schmuck, R.']",Pest Management Science,"Acute oral and contact toxicity tests of imidacloprid, an insecticide acting agonistically on nicotinic acetylcholine receptors (nAChR), to adult honeybees, Apis mellifera L var carnica, were carried out by seven different European research facilities. Results indicated that the 48-h oral LD50 of imidacloprid is between 41 and >81 ng per bee, and the contact LD50 between 49 and 102 ng per bee. The ingested amount of imidacloprid-containing sucrose solution decreased with increasing imidacloprid concentrations and may be attributed to dose-related sub-lethal intoxication symptoms or to antifeedant responses. Some previously reported imidacloprid metabolites occurring at low levels in planta after seed dressing, ie olefine-, 5-OH- and 4,5-OH-imidacloprid, showed lower oral LD50 values (>36, >49 and 159ng per bee, respectively) compared with the concurrently tested parent molecule (41ng per bee). The urea metabolite and 6-chloronicotinic acid (6-CNA) exhibited LD50 values of >99 500 and >121 500ng per bee, respectively. The pharmacological profile of the [3H]imidacloprid binding site in honeybee head membrane preparations is consistent with that anticipated for a nAChR. IC50 values for the displacement of [3H]imidacloprid by several metabolites such as olefine, 5-OH-, 4,5-OH-imidacloprid, urea and 6-CNA were 0.45, 24, 6600, > 100 000, and > 100 000nM, respectively. Displacement of [3H]imidacloprid by imidacloprid revealed an IC50 value of 2.9nM, thus correlating well with the observed acute oral toxicity of the compounds in honeybees. Neurons isolated from the antennal lobe of A mellifera and subjected to whole-cell voltage clamp electrophysiology responded to the application of 100 μM acetylcholine with a fast inward current of between 30 and 1600 pA at -70mV clamp potential. Imidacloprid and two of the metabolites (olefine- and 5-OH-imidacloprid) acted agonistically on these neurons, whereas the others did not induce currents at test conencentrations up to 3 mM. The electrophysiological data revealed Hill coefficients of approximately 1, indicating a single binding site responsible for an activation of the receptor and no direct cooperativity or allosteric interaction with a second binding site. © 2001 Society of Chemical Industry.",2001///,2001,10.1002/ps.331,57,7,577,586,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034943098&doi=10.1002%2fps.331&partnerID=40&md5=fac70b3532284540063e9866867d0f79,Scopus,,,,,1,,1,1
691,JOUR,Study on the mode of action between Apis mellifera (α8)2(β1)3 nAChR and typical neonicotinoids versus flupyradifurone with different bee-toxic levels,"['Shuai, J.', 'Wang, X.', 'Li, G.', 'Kong, Y.', 'Li, W.', 'Li, Z.', 'Cheng, J.']",Journal of Molecular Graphics and Modelling,"The health of bee populations worldwide is affected by multiple factors, of which neonicotinoids are considered to be a main reason. Although most neonicotinoids are highly toxic to bees, some of them are relatively safe. To explore the molecular mechanism of these differences in toxicity, homology modelling, molecular docking and molecular dynamics simulations were applied to study the interactions between Apis mellifera (α8)2(β1)3 nAChR and high bee-toxic neonicotinoid (imidacloprid, IMI), medium bee-toxic (thiacloprid, THI) and low bee-toxic butenolides (flupyradifurone, FPF). It was observed that three major interactions were similar across all systems, including water-bridge networks, π-π interactions and the polar interactions between the electron-withdrawing pharmacophores and the receptor. The calculated binding free energy was similar between IMI and THI. While FPF was the lowest bee-toxic, it displayed the strongest binding free energy value, the additional C–H⋯O H-bonds with Arg80 and Trp179 were the main reason. The bee toxicities of neonicotinoids and other nAChR modulators are not only determined by receptor affinities, but also by other factors (for example physicochemical properties and metabolic detoxification). All influencing factors should be fully considered in the future design of new eco-friendly insecticides that are safe for bees. © 2022 Elsevier Inc.",2022///,2022,10.1016/j.jmgm.2022.108177,114,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127756641&doi=10.1016%2fj.jmgm.2022.108177&partnerID=40&md5=761868774c5cfe42501acaf24fd7f21c,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'imidacloprid', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pollinator', 'Article', 'controlled study', 'nonhuman', 'Apis mellifera', 'honeybee', 'pyridine derivative', 'Pyridines', 'Imidacloprids', 'chemistry', 'Toxicity', 'thiacloprid', 'Thiacloprid', 'unclassified drug', 'LD50', 'Multiple factors', 'Detoxification', '4-Butyrolactone', 'flupyradifurone', 'gamma butyrolactone', 'molecular docking', 'Molecular Docking Simulation', 'receptor affinity', 'synaptic transmission', 'molecular dynamics', 'Binding energy', 'Molecular dynamics', 'Free energy', 'Mode of action', 'decomposition', 'chemical bond', 'drug structure', 'ligand binding', 'Physicochemical properties', '(α8)2(β1)3 nAChR', 'Binding free energy', 'Binding properties', 'financial management', 'immunoprecipitation', 'pharmacophore', 'root mean squared error', 'Toxic levels']",,,,1,,1,2
657,JOUR,Toxicological Effect and Molecular Mechanism of the Chiral Neonicotinoid Dinotefuran in Honeybees,"['Zhang, Q.', 'Fu, L.', 'Cang, T.', 'Tang, T.', 'Guo, M.', 'Zhou, B.', 'Zhu, G.', 'Zhao, M.']",Environmental Science and Technology,"With the increasing demand for pollinating services, the wellness of honeybees has received widespread attention. Recent evidence indicated honeybee health might be posed a potential threat by widely used neonicotinoids worldwide. However, little is known about the molecular mechanism of these insecticides in honeybees especially at an enantiomeric level. In this study, we selected two species of bees, Apis mellifera (A. mellifera) and Apis cerana (A. cerana), to assess the toxicity and molecular mechanism of neonicotinoid dinotefuran and its enantiomers. The results showed that S-dinotefuran was more toxic than rac-dinotefuran and R-dinotefuran to honeybees by oral and contact exposures as much as 114 times. A. cerana was more susceptible to highly toxic enantiomer S-dinotefuran. S-dinotefuran induced the immune system response in A. cerana after 48 h exposure and significant changes were observed in the neuronal signaling of A. mellifera under three forms of dinotefuran exposure. Moreover, molecular docking also revealed that S-dinotefuran formed more hydrogen bonds than R-dinotefuran with nicotinic acetylcholine receptor, indicating the higher toxicity of S-dinotefuran. Data provided here show that R-dinotefuran may be a safer alternative to control pests and protect pollinators than rac-dinotefuran. © 2021 American Chemical Society",2022///,2022,10.1021/acs.est.1c05692,56,2,1104,1112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122740969&doi=10.1021%2facs.est.1c05692&partnerID=40&md5=b66ad3c5eb863fcd6b67a8268cbb6efe,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'ecotoxicology', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pest control', 'animal experiment', 'Article', 'controlled study', 'neonicotinoid pesticide', 'nonhuman', 'Apis mellifera', 'environmental exposure', 'guanidine derivative', 'Guanidines', 'honeybee', 'toxicity', 'nicotinic receptor', 'adult', 'acute toxicity', 'chemistry', 'lifespan', 'mortality', 'Toxicity', 'toxicity testing', 'toxicology', 'Health risks', 'vitellogenin', 'LD50', 'bioassay', 'messenger RNA', 'Apis cerana', 'ecotoxicity', 'acetylcholinesterase', 'enzyme activity', 'immune system', 'hydrogen bond', 'molecular docking', 'dinotefuran', 'Molecular Docking Simulation', 'animal model', 'Dinotefuran enantiomer', 'Dinotefuran', 'genetic transcription', 'molecular analysis', 'signal transduction', 'chirality', 'Enantiomers', 'protein content', 'enantiomer', 'Hydrogen bonds', 'mRNA expression level', 'dinotefuran enantiomers', 'Effect mechanism', 'enantiomeric ratio', 'Enantiomerics', 'molecular mechanism', 'Molecular mechanism', 'Potential threats', 'Toxicological effects']",,,,1,,1,3
560,JOUR,Enantioselective Olfactory Effects of the Neonicotinoid Dinotefuran on Honey Bees (Apis mellifera L.),"['Liu, S.', 'Liu, Y.', 'He, F.', 'Zhang, H.', 'Li, X.', 'Tan, H.']",Journal of Agricultural and Food Chemistry,"Sublethal exposure to neonicotinoids affects honey bee olfaction, but few studies have investigated the sublethal effects of the enantioselective neonicotinoid dinotefuran on honey bee olfaction. This study assessed the sublethal olfactory toxicity of dinotefuran enantiomers to honey bees. Compared to R-dinotefuran, S-dinotefuran had higher acute oral toxicity, sucrose sensitivity effects, octopamine concentrations, lower learning ability, and memory effects on honey bees. High-throughput circular RNA sequencing of the honey bee brain revealed that R-dinotefuran caused more gene regulatory changes than S-dinotefuran. Gene ontology enrichment and Kyoto Encyclopedia of Genes and Genomes pathway analyses demonstrated that the SERCA, Kca, and Maxik genes may be related to the enantioselective effects of dinotefuran isomers on honey bee olfaction. These results indicated that the current ecotoxicological safety knowledge about chiral dinotefuran effects on honey bees should be amended. © 2019 American Chemical Society.",2019///,2019,10.1021/acs.jafc.9b04851,67,43,12105,12116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074157299&doi=10.1021%2facs.jafc.9b04851&partnerID=40&md5=f81dd2acd10a4005f46177e2157fa33e,Scopus,,,,,0,,1,4
773,JOUR,Modeling disruption of Apis mellifera (honey bee) odorant-binding protein function with high-affinity binders,"['Mayack, BK']",JOURNAL OF MOLECULAR RECOGNITION,"Chemical toxins pose a great threat to honey bee health because they affect memory and cognition, diminish immunity, and increase susceptibility to infection, resulting in decreased colony performance, reproduction, and survival. Although the behavioral effects of sub-lethal chemical exposure on honey bees have been intensively studied, how xenobiotics affect olfaction, at the molecular level, still needs to be elucidated. In the present work, in silico tools, such as molecular docking, binding free energy calculations, and molecular dynamics simulations are used to predict if environmental chemicals have stronger binding affinities to honey bee antennal odorant-binding protein 14 (OBP14) than the representative floral odors citralva, eugenol, and the fluorescent probe 1-N-phenylnaphthylamine. Based on structural analysis, 21 chemicals from crop pesticides, household appliances, cosmetics, food, public health-related products, and other sources, many of which are pervasive in the hive environment, have higher binding affinities than the floral odors. These results suggest that chemical exposures are likely to interfere with the honey bee's sense of smell and this disruptive mechanism may be responsible for the lower associative learning and memory based on olfaction found in bees exposed to pesticides. Moreover, bees mainly rely on olfactory cues to perceive their environment and orient themselves as well as to discriminate and identify their food, predators, nestmates, and diseased individuals that need to be removed with hygienic behavior. In summary, sub-lethal exposure to environmental toxins can contribute to colony collapse in several ways from the disruption of proper olfaction functioning.",2023/05//,2023,10.1002/jmr.3008,36,5,,,,,,0952-3499,WOS:000943001100001,,0,,1,5
281,JOUR,Interactive effects of dinotefuran and Nosema ceranae on the survival status and gut microbial community of honey bees,"['Liu, L.', 'Shi, M.', 'Wu, Y.', 'Xie, X.', 'Li, S.', 'Dai, P.', 'Gao, J.']",Pesticide Biochemistry and Physiology,"Growing evidences have shown that the decline in honey bee populations is mainly caused by the combination of multiple stressors. However, the impacts of parasitic Nosema ceranae to host fitness during long-term pesticide exposure-induced stress is largely unknown. In this study, the effects of chronic exposure to a sublethal dose of dinotefuran, in the presence or absence of N. ceranae, was examined in terms of survival, food consumption, detoxification enzyme activities and gut microbial community. The interaction between dinotefuran and Nosema ceranae on the survival of honey bee was synergistic. Co-exposure to dinotefuran and N. ceranae led to less food consumption and greater changes of enzyme activities involved in defenses against oxidative stress. Particularly, N. ceranae and dinotefuran-N. ceranae co-exposure significantly impacted the gut microbiota structure and richness in adult honey bees, while dinotefuran alone did not show significant alternation of core gut microbiota compared to the control group. We herein demonstrated that chronical exposure to dinotefuran decreases honey bee's survival but is not steadily associated with the gut microbiota dysbiosis; by contrast, N. ceranae parasitism plays a dominant role in the combination in influencing the gut microbial community of the host honey bee. Our findings provide a comprehensive understanding of combinatorial effects between biotic and abiotic stressors on one of the most important pollinators, honey bees. © 2024",2024///,2024,10.1016/j.pestbp.2024.105808,200,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184571066&doi=10.1016%2fj.pestbp.2024.105808&partnerID=40&md5=6fed0eb899a740e69912d6b07b347777,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'Apis mellifera', 'guanidine derivative', 'Guanidines', 'Nosema', 'intestine flora', 'dinotefuran', 'Dinotefuran', 'Nosema ceranae', 'Gastrointestinal Microbiome', 'Gut microbiota']",,,,0,,1,6
631,JOUR,Insights into the degradation and toxicity difference mechanism of neonicotinoid pesticides in honeybees by mass spectrometry imaging,"['Zhang, Y', 'Chen, D', 'Du, MY', 'Ma, LL', 'Li, P', 'Qin, R', 'Yang, JR', 'Yin, ZB', 'Wu, XZ', 'Xu, HH']",SCIENCE OF THE TOTAL ENVIRONMENT,"Honeybees are essential for the pollination of a wide variety of crops and flowering plants, whereas they are confronting decline around the world due to the overuse of pesticides, especially neonicotinoids. The mechanism behind the negative impacts of neonicotinoids on honeybees has attracted considerable interest, yet it remains unknown due to the limited insights into the spatiotemporal distribution of pesticides in honeybees. Herein, we demonstrated the use of matrix-assisted laser desorption/ionization mass spectrometry imaging (MALDIMSI) for the spatiotemporal visualization of neonicotinoids, such as N-nitroguanidine (dinotefuran) and Ncyanoamidine (acetamiprid) compounds, administered by oral application or direct contact, in the whole-body section of honeybees. The MSI results revealed that both dinotefuran and acetamiprid can quickly penetrate various biological barriers and distribute within the whole-body section of honeybees, but acetamiprid can be degraded much faster than dinotefuran. The degradation rate of acetamiprid is significantly decreased when piperonyl butoxide (PBO) is applied, whereas that of dinotefuran remains almost unchanged. These two factors might contribute to the fact that dinotefuran affords a higher toxicity to honeybees than acetamiprid. Moreover, the toxicity and degradation rate of acetamiprid can be affected by co-application with tebuconazole. Taken together, the results presented here indicate that the discrepant toxicity between dinotefuran and acetamiprid does not lie in the difference in their of various barriers of but in the degradation rate of neonicotinoid pesticides within honeybee tissues. Moreover, new perspectives are given to better understand the causes of the current decline in honeybee populations posed by insecticides, providing guidelines for the precise use of conventional agrochemicals and the rational design of novel pesticide candidates. (C) 2021 Elsevier B.V. All rights reserved.",2021/06/20/,2021,10.1016/j.scitotenv.2021.145170,774,,,,,,"['animal', 'Animals', 'bee', 'Bees', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'acetamiprid', 'animal experiment', 'Article', 'controlled study', 'neonicotinoid pesticide', 'nonhuman', 'pesticide', 'Pesticides', 'Apis mellifera', 'honeybee', 'toxicity', 'nicotinic receptor', 'adult', 'acute toxicity', 'Toxicity', 'toxicity testing', 'Agricultural chemicals', 'animal tissue', 'cytochrome P450', 'Flowering plants', 'mass spectrometry', 'synergism', 'piperonyl butoxide', 'Population statistics', 'Magnoliophyta', 'dinotefuran', 'chemical structure', 'young adult', 'Degradation', 'Mass spectrometry', 'tebuconazole', 'Drug products', 'Honeybees', 'geographic distribution', 'spatiotemporal analysis', 'degradation', 'matrix-assisted laser desorption-ionization mass spectrometry', 'Mass Spectrometry', 'Desorption', 'Rational design', 'image analysis', 'Mass-spectrometry imaging', 'Biological barrier', 'Degradation rate', 'Mass spectrometry imaging', 'Matrix-assisted laser desorption/ionization mass spectrometry', 'Spatio-temporal visualizations', 'Spatiotemporal distributions', 'Synergy effect', 'visualization']",0048-9697,WOS:000641162000005,,0,,1,7
825,JOUR,Imidacloprid effects on acetylcholinesterase and nicotinic acetylcholine receptor in Apis mellifera. Experimental and molecular modeling approaches,"['Ali, H.M.', 'Abdel-Aty, B.', 'El-Sayed, W.', 'Mariy, F.M.', 'Hegazy, G.M.', 'Mohamed, R.A.', 'Zoghly, H.M.']",Chemosphere,"Although the neonicotinoid insecticides have good selectivity towards insects rather than vertebrates, they have severe effects on honeybee production and pollination activities. Therefore, the effects of imidacloprid (IMI), the most used neonicotinoid, on the two main bioreceptors, acetylcholinesterase (AChE) and nicotinic acetylcholine receptor alpha subunit (nAChRα1) of honeybees were examined to identify their roles in honeybee toxicity and possible binding sites which assist in selecting and designing neonicotinoids. In vivo, IMI showed a high inhibitory effect on AChE (IC50 5.63 mg/L); however, the effect was much lower in vitro experiment (IC50 719 mg/L). This result induced us to examine the IMI effect on AChE gene expression which revealed that the AChE-2 gene expression was severely affected by IMI explaining the observed high enzyme inhibition. In addition, although toxicity increased by increasing exposure to IMI (LC50 2.9 mg/L after 4h and 0.75 mg/L after 48h), AChE was not elevated (IC50 5.63 and 5.52 mg/L respectively). Besides, Despite resuming most enzyme activity (77% during 2 h and 84.14% after 4 h), a high mortality level was observed with LC50 2.9 mg/L. These results reinforced that the observed high toxicity is a multifactor process. Accordingly, Molecular modeling and docking of IMI into honeybee AChE and nAChRα1were also performed to examine their possible interactions and identify the important binding sites. Results models indicated that the first two binding sites in AChE were found in the esteratic subunit in the active site explaining the observed in vitro inhibition. In nAChRα1, four of the highest five free energy binding sites are located in the large TM3-TM4 loop and one in the extracellular loops. Consequently, the present work revealed that IMI toxicity is attributed to various factors including direct interaction with both AChE and nAChRα1 as well as downregulating AChE-2 gene expression. © 2024 Elsevier Ltd",2024///,2024,10.1016/j.chemosphere.2024.141899,356,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189431305&doi=10.1016%2fj.chemosphere.2024.141899&partnerID=40&md5=0d59fc4d5808c83501fe2317b4746c96,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'imidacloprid', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pollination', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'Apis mellifera', 'drug effect', 'honeybee', 'toxicity', 'nicotinic receptor', 'Imidacloprids', 'mortality', 'Toxicity', 'gene expression', 'down regulation', 'Honeybee', 'unclassified drug', 'animal tissue', 'in vitro study', 'metabolism', 'LC50', 'Gene expression', 'genetics', 'Receptors, Nicotinic', 'insect protein', 'nAChR', 'acetylcholinesterase', 'Acetylcholinesterase', 'enzyme activity', 'Nicotinic acetylcholine', 'Models, Molecular', 'molecular docking', 'molecular model', 'binding site', 'Insect Proteins', 'Molecular Docking Simulation', 'Genes expression', 'AChE', 'animal model', 'NAChR', 'in vivo study', 'enzyme', 'nervous system', 'Binding energy', 'Alfa subunit', 'Alpha subunit', 'Binding sites', 'Binding Sites', 'Binding-sites', 'enzyme active site', 'Enzyme activity', 'enzyme inhibition', 'Enzyme inhibition', 'experimental toxicity', 'Free energy', 'Molecular modeling', 'nicotinic receptor alpha1', 'Transmembranes']",,,,0,,1,8
462,JOUR,Molecular Effects of Neonicotinoids in Honey Bees (Apis mellifera),"['Christen, V.', 'Mittner, F.', 'Fent, K.']",Environmental Science and Technology,"Neonicotinoids are implicated in the decline of bee populations. As agonists of nicotinic acetylcholine receptors, they disturb acetylcholine receptor signaling leading to neurotoxicity. Several behavioral studies showed the link between neonicotinoid exposure and adverse effects on foraging activity and reproduction. However, molecular effects underlying these effects are poorly understood. Here we elucidated molecular effects at environmental realistic levels of three neonicotinoids and nicotine, and compared laboratory studies to field exposures with acetamiprid. We assessed transcriptional alterations of eight selected genes in caged honey bees exposed to different concentrations of the neonicotinoids acetamiprid, clothianidin, imidacloporid, and thiamethoxam, as well as nicotine. We determined transcripts of several targets, including nicotinic acetylcholine receptor α 1 and α 2 subunit, the multifunctional gene vitellogenin, immune system genes apidaecin and defensin-1, stress-related gene catalase and two genes linked to memory formation, pka and creb. Vitellogenin showed a strong increase upon neonicotinoid exposures in the laboratory and field, while creb and pka transcripts were down-regulated. The induction of vitellogenin suggests adverse effects on foraging activity, whereas creb and pka down-regulation may be implicated in decreased long-term memory formation. Transcriptional alterations occurred at environmental concentrations and provide an explanation for the molecular basis of observed adverse effects of neonicotinoids to bees. (Figure Presented). © 2016 American Chemical Society.",2016///,2016,10.1021/acs.est.6b00678,50,7,4071,4081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963935984&doi=10.1021%2facs.est.6b00678&partnerID=40&md5=ce1ddc83f06cfd726d4e2093a893298c,Scopus,,,,,0,,1,9
451,JOUR,Binary mixtures of neonicotinoids show different transcriptional changes than single neonicotinoids in honeybees (Apis mellifera),"['Christen, V.', 'Bachofer, S.', 'Fent, K.']",Environmental Pollution,"Among the many factors responsible for the decline of bee populations are plant protection products such as neonicotinoids. In general, bees are exposed to not only one but mixtures of such chemicals. At environmental realistic concentrations neonicotinoids may display negative effects on the immune system, foraging activity, learning and memory formation of bees. Neonicotinoids induce alterations of gene transcripts such as nicotinic acetylcholine receptor (nAChR) subunits, vitellogenin, genes of the immune system and genes linked to memory formation. While previous studies focused on individual compounds, the effect of neonicotinoid mixtures in bees is poorly known. Here we investigated the effects of neonicotinoids acetamiprid, clothianidin, imidacloprid and thiamethoxam as single compounds, and binary mixtures thereof in honeybees. We determined transcriptional changes of nAChR subunits and vitellogenin in the brain of experimentally exposed honeybees after exposure up to 72 h. Exposure concentrations were selected on the basis of lowest effect concentrations of the single compounds. Transcriptional induction of nAChRs and vitellogenin was strongest for thiamethoxam, and weakest for acetamiprid. To a large extent, binary mixtures did not show additive transcriptional inductions but they were less than additive. Our data suggest that the joint transcriptional activity of neonicotinoids cannot be explained by concentration addition. The in vivo effects are not only governed by agonistic interaction with nAChRs alone, but are more complex as a result of interactions with other pathways as well. Further studies are needed to investigate the physiological joint effects of mixtures of neonicotinoids and other plant protection products on bees to better understand their joint effects. © 2016 Elsevier Ltd",2017///,2017,10.1016/j.envpol.2016.10.105,220,,1264,1270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999648368&doi=10.1016%2fj.envpol.2016.10.105&partnerID=40&md5=a474edd83a460346afb01361a49d6299,Scopus,,,,,0,,1,10
