record_id,﻿record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,issn,accession_number,keywords,tertiary_authors,secondary_authors,url,name_of_database,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
287,713,JOUR,Population growth and insecticide residues of honey bees in tropical agricultural landscapes,"['Buchori, D.', 'Rizali, A.', 'Priawandiputra, W.', 'Sartiami, D.', 'Johannis, M.']",Diversity,"Global decline of pollinators, especially bees, has been documented in many countries. Several causes such as land-use change and agricultural intensification are reported to be the main drivers of the decline. The objective of this study was to investigate the effect of land use on honey bee and stingless bee populations. Research was conducted in Bogor and Malang to compare between two different geographical areas. Managed bees such as honey bees (Apis cerana and A. mellifera) and stingless bees (Tetragonula laeviceps) were investigated to examine the effect of agricultural intensification. Field experiments were conducted by placing beehives in selected habitats (i.e., beekeeper gardens, forests areas, and agriculture areas). Population growth and neonicotinoid residue analysis of bees in different hive locations were measured to study the effect of habitat type. Population growth of bees represents the forager abundance and colony weight. Based on the analysis, we found that habitat type affected forager abundance and colony weight of honey bees (p < 0.05), although the patterns were different between species, region, as well as season. Forests could support the stingless bee colony better than agriculture and home garden habitats. Insecticide (neonicotinoid) was barely recorded in both honey bees and stingless bees. ¬© 2019 by the authors.",2020///,2020,10.3390/d12010001,12.0,1,,,,,"['agricultural intensification', 'agricultural land', 'Agriculture', 'Apis cerana', 'Apis mellifera', 'Apoidea', 'environmental disturbance', 'Forests', 'home garden', 'Home garden', 'honeybee', 'insecticide', 'land use change', 'Meliponinae', 'Neonicotinoid', 'pesticide residue', 'population growth', 'Tetragonula laeviceps', 'tropical forest']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078663694&doi=10.3390%2fd12010001&partnerID=40&md5=adea08e06d4526ffcbd6c834676eae1a,Scopus,,1,,1,1
448,644,JOUR,Population decline in a ground-nesting solitary squash bee (Eucera pruinosa) following exposure to a neonicotinoid insecticide treated crop (Cucurbita pepo),"['Willis Chan, D.S.', 'Raine, N.E.']",Scientific Reports,"Insect pollinators are threatened by multiple environmental stressors, including pesticide exposure. Despite being important pollinators, solitary ground-nesting bees are inadequately represented by pesticide risk assessments reliant almost exclusively on honeybee ecotoxicology. Here we evaluate the effects of realistic exposure via squash crops treated with systemic insecticides (Admire-imidacloprid soil application, FarMore FI400-thiamethoxam seed-coating, or Coragen-chlorantraniliprole foliar spray) for a ground-nesting bee species (Hoary squash bee,¬†Eucera pruinosa) in a 3-year semi-field experiment. Hoary squash bees provide essential pollination services to pumpkin and squash crops and commonly nest within cropping areas increasing their risk of pesticide exposure from soil, nectar, and pollen. When exposed to a crop treated at planting with soil-applied imidacloprid, these bees initiated 85% fewer nests, left 5.3 times more pollen unharvested, and produced 89% fewer offspring than untreated controls. No measurable impacts on bees from exposure to squash treated with thiamethoxam as a seed-coating or foliage sprayed with chlorantraniliprole were found. Our results demonstrate important sublethal effects of field-realistic exposure to a soil-applied neonicotinoid (imidacloprid) on bee behaviour and reproductive success. Soil must be considered a potential route of pesticide exposure in risk assessments, and restrictions on soil-applied insecticides may be justified, to mitigate impacts on ground-nesting solitary bee populations and the crop pollination services they provide. ¬© 2021, The Author(s).",2021///,2021,10.1038/s41598-021-83341-7,11.0,1,,,,,"['animal', 'Animals', 'bee', 'Bees', 'Canada', 'crop', 'Crops, Agricultural', 'drug effect', 'environment', 'Environment', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'pollen', 'Pollen', 'population density', 'Population Density']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101276239&doi=10.1038%2fs41598-021-83341-7&partnerID=40&md5=f57f8a9b81b8c45d85d8afc83465b601,Scopus,,1,,1,2
531,787,JOUR,Thiamethoxam: Long-term effects following honey bee colony-level exposure and implications for risk assessment,"['Thompson, H.', 'Overmyer, J.', 'Feken, M.', 'Ruddle, N.', 'Vaughan, S.', 'Scorgie, E.', 'Bocksch, S.', 'Hill, M.']",Science of the Total Environment,"Neonicotinoid insecticides have been used in a wide range of crops through seed treatment, soil and foliar applications and a large database exists on both their lethal and sub-lethal effects on honey bees under controlled laboratory conditions. However, colony-level studies on the effects of neonicotinoids in field studies are limited, primarily due to their complexity and the resources required. This paper reports the combined results of two large-scale colony-feeding studies, each with 6 weeks of continuous dosing of 12 colonies per treatment (24 control) to 12.5, 25, 37.5, 50 or 100 ng thiamethoxam/g sucrose solution. Exposure continued beyond dosing with residues present in stored nectar and bee-bread. The studies were conducted in an area with limited alternative forage and colonies were required to forage for pollen and additional nectar The studies provide colony-level endpoints: significant effects (reductions in bees, brood) were observed after exposure to the two highest dose rates, colony loss occurred at the highest dose rate, but colonies were able to recover (2‚Äì3 brood cycles after the end of dosing) after dosing with 50 ng thiamethoxam/g sucrose. No significant colony-level effects were observed at lower dose rates. The data reported here support the conclusions of previous colony-level crop-based field studies with thiamethoxam, in which residues in pollen and nectar were an order of magnitude below the colony-level NOEC of 37.5 ng thiamethoxam/g sucrose. The feeding study data are also compared to the outcomes of regulatory Tier 1 risk assessments conducted using guidance provided by the USA, Canada, Brazil and the EU regulatory authorities. We propose an adaptation of the European chronic adult bee risk assessment that takes into account the full dataset generated in laboratory studies while still providing an order of magnitude of safety compared with the colony feeding study NOEC. ¬© 2018 Elsevier B.V.",2019///,2019,10.1016/j.scitotenv.2018.11.003,654.0,,60,71,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056237606&doi=10.1016%2fj.scitotenv.2018.11.003&partnerID=40&md5=bbef8fd5346466fdb0cdd3bc81dbf2f0,Scopus,,1,,1,3
291,976,JOUR,Neonicotinoid pesticide reduces bumble bee colony growth and queen production,"['Whitehorn, P.R.', ""O'Connor, S."", 'Wackers, F.L.', 'Goulson, D.']",Science,"Growing evidence for declines in bee populations has caused great concern because of the valuable ecosystem services they provide. Neonicotinoid insecticides have been implicated in these declines because they occur at trace levels in the nectar and pollen of crop plants. We exposed colonies of the bumble bee Bombus terrestris in the laboratory to field-realistic levels of the neonicotinoid imidacloprid, then allowed them to develop naturally under field conditions. Treated colonies had a significantly reduced growth rate and suffered an 85% reduction in production of new queens compared with control colonies. Given the scale of use of neonicotinoids, we suggest that they may be having a considerable negative impact on wild bumble bee populations across the developed world.",2012///,2012,10.1126/science.1215025,336.0,6079,351,352,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859988257&doi=10.1126%2fscience.1215025&partnerID=40&md5=7380df61ac59312eb6ef29bc2d3cae40,Scopus,,1,,1,4
489,893,JOUR,Sub-lethal effects of dietary neonicotinoid insecticide exposure on honey bee queen fecundity and colony development,"['Wu-Smart, J.', 'Spivak, M.']",Scientific Reports,"Many factors can negatively affect honey bee (Apis mellifera L.) health including the pervasive use of systemic neonicotinoid insecticides. Through direct consumption of contaminated nectar and pollen from treated plants, neonicotinoids can affect foraging, learning, and memory in worker bees. Less well studied are the potential effects of neonicotinoids on queen bees, which may be exposed indirectly through trophallaxis, or food-sharing. To assess effects on queen productivity, small colonies of different sizes (1500, 3000, and 7000 bees) were fed imidacloprid (0, 10, 20, 50, and 100 ppb) in syrup for three weeks. We found adverse effects of imidacloprid on queens (egg-laying and locomotor activity), worker bees (foraging and hygienic activities), and colony development (brood production and pollen stores) in all treated colonies. Some effects were less evident as colony size increased, suggesting that larger colony populations may act as a buffer to pesticide exposure. This study is the first to show adverse effects of imidacloprid on queen bee fecundity and behavior and improves our understanding of how neonicotinoids may impair short-Term colony functioning. These data indicate that risk-mitigation efforts should focus on reducing neonicotinoid exposure in the early spring when colonies are smallest and queens are most vulnerable to exposure. ¬© The Author(s) 2016.",2016///,2016,10.1038/srep32108,6.0,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984690386&doi=10.1038%2fsrep32108&partnerID=40&md5=e4a56e5fa82ba7e8148aa6852c92504d,Scopus,,1,,1,5
506,437,JOUR,Single and combined exposure to 'bee safe' pesticides alter behaviour and offspring production in a ground-nesting solitary bee (Xenoglossa pruinosa),"['Rondeau, S.', 'Raine, N.E.']",Proceedings of the Royal Society B: Biological Sciences,"Mounting evidence supporting the negative impacts of exposure to neonicotinoids on bees has prompted the registration of novel 'bee-friendly' insecticides for agricultural use. Flupyradifurone (FPF) is a butenolide insecticide that shares the same mode of action as neonicotinoids and has been assessed to be 'practically non-toxic to adult honeybees' using current risk assessment procedures. However, these assessments overlook some routes of exposure specific to wild bees, such as contact with residues in soil for ground-nesters. Co-exposure with other pesticides may also lead to detrimental synergistic effects. In a fully crossed experiment, we assessed the possible lethal and sublethal effects of chronic exposure to two pesticides used on Cucurbita crops, the insecticide Sivanto Prime (FPF) and the fungicide Quadris Top (azoxystrobin and difenoconazole), alone or combined, on solitary ground-nesting squash bees (Xenoglossa pruinosa). Squash bees exposed to Quadris Top collected less pollen per flower visit, while Sivanto-exposed bees produced larger offspring. Pesticide co-exposure induced hyperactivity in female squash bees relative to both the control and single pesticide exposure, and reduced the number of emerging offspring per nest compared to individual pesticide treatments. This study demonstrates that 'low-toxicity' pesticides can adversely affect squash bees under field-realistic exposure, alone or in combination.  ¬© 2024 The Authors.",2024///,2024,10.1098/rspb.2023.2939,291.0,2019,,,,,"['4-Butyrolactone', 'adult', 'animal experiment', 'Animals', 'Apidae', 'article', 'bee', 'Bees', 'butenolide', 'controlled study', 'difenoconazole', 'drug toxicity', 'exposure', 'female', 'Female', 'field-realistic exposure', 'flower', 'flupyradifurone', 'fungicide', 'ground nester', 'ground-nesting bees', 'honeybee', 'hyperactivity', 'insecticide', 'Insecticides', 'lethality', 'long term exposure', 'neonicotinoid', 'Neonicotinoids', 'nesting', 'nesting behavior', 'nonhuman', 'pesticide', 'Pesticides', 'pollen', 'pollution exposure', 'progeny', 'Pyridines', 'Pyrimidines', 'reproduction', 'risk assessment', 'SBI fungicide', 'squash', 'squash bee', 'Strobilurins', 'synergism', 'synergy']",,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188760879&doi=10.1098%2frspb.2023.2939&partnerID=40&md5=8b2d04aee813bdd81148ffa39070a88f,Scopus,,0,,1,6
554,844,JOUR,Effects of neonicotinoid imidacloprid exposure on bumble bee (Hymenoptera: Apidae) queen survival and nest initiation,"['Wu-Smart, J.', 'Spivak, M.']",Environmental Entomology,"Neonicotinoids are highly toxic to insects and may systemically translocate to nectar and pollen of plants where foraging bees may become exposed. Exposure to neonicotinoids can induce detrimental sublethal effects on individual and colonies of bees and may have long-term impacts, such as impaired foraging, reduced longevity, and reduced brood care or production. Less well-studied are the potential effects on queen bumble bees that may become exposed while foraging in the spring during colony initiation. This study assessed queen survival and nest founding in caged bumble bees [Bombus impatiens (Cresson) (Hymenoptera: Apidae)] after chronic (18-d) dietary exposure of imidacloprid in syrup (1, 5, 10, and 25 ppb) and pollen (0.3, 1.7, 3.3, and 8.3 ppb), paired respectively. Here we show some mortality in queens exposed at all doses even as low as 1 ppb, and, compared with untreated queens, significantly reduced survival of treated queens at the two highest doses. Queens that survived initial imidacloprid exposure commenced nest initiation; however, they exhibited dose-dependent delay in egg-laying and emergence of worker brood. Furthermore, imidacloprid treatment affected other parameters such as nest and queen weight. This study is the first to show direct impacts of imidacloprid at field-relevant levels on individual B. impatiens queen survival and nest founding, indicating that bumble bee queens are particularly sensitive to neonicotinoids when directly exposed. This study also helps focus pesticide risk mitigation efforts and highlights the importance of reducing exposure rates in the early spring when bumble bee queens, and other wild bees are foraging and initiating nests. ¬© The Author(s) 2017. Published by Oxford University Press on behalf of Entomological Society of America. All rights reserved.",2018///,2018,10.1093/ee/nvx175,47.0,1,55,62,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042213569&doi=10.1093%2fee%2fnvx175&partnerID=40&md5=be1d20d071c5e4be2a1c263d3d288271,Scopus,,0,,1,7
530,827,JOUR,Thiamethoxam honey bee colony feeding study: Linking effects at the level of the individual to those at the colony level,"['Overmyer, J.', 'Feken, M.', 'Ruddle, N.', 'Bocksch, S.', 'Hill, M.', 'Thompson, H.']",Environmental Toxicology and Chemistry,"Neonicotinoid insecticides have been used globally on a wide range of crops through seed treatment as well as soil and foliar applications and have been increasingly studied in relation to the potential risk to bees because of their detection in pollen and nectar of bee-attractive crops. The present article reports the results of laboratory studies (10-d adult and 22-d larval toxicity studies assessing the chronic toxicity of thiamethoxam to adult honey bees and larvae, respectively) and a colony feeding study, with 6 wk of exposure in an area with limited alternative forage, to provide a prewintering colony-level endpoint. The endpoints following exposure of individuals in the laboratory (10-d adult chronic no-observed-effect concentration [NOEC] for mortality 117 Œºg thiamethoxam/kg sucrose solution, 141 Œºg thiamethoxam/L sucrose solution; 22-d larval chronic NOEC 102 Œºg thiamethoxam/kg diet) are compared with those generated at the colony level, which incorporates sublethal effects (no-observed-adverse-effect concentration [NOAEC] 50 Œºg thiamethoxam/L sucrose solution, 43 Œºg thiamethoxam/kg sucrose solution). The data for sucrose-fed honey bee colonies support the lack of effects identified in previous colony-level field studies with thiamethoxam. However, unlike these field studies demonstrating no effects, colony feeding study data also provide a threshold level of exposure likely to result in adverse effects on the colony in the absence of alternative forage, and a basis by which to evaluate the potential risk of thiamethoxam residues detected in pollen, nectar, or water following treatment of bee-attractive crops. Environ Toxicol Chem 2018;37:816‚Äì828. ¬© 2017 SETAC. ¬© 2017 SETAC",2018///,2018,10.1002/etc.4018,37.0,3,816,828,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042501711&doi=10.1002%2fetc.4018&partnerID=40&md5=e00bbfc2469000dd7b4561720bb0f18a,Scopus,,0,,1,8
175,811,JOUR,Effects of neonicotinoid insecticide exposure and monofloral diet on nest-founding bumblebee queens,"['Leza, M.', 'Watrous, K.M.', 'Bratu, J.', 'Woodard, S.H.']",Proceedings of the Royal Society B: Biological Sciences,"Bumblebees are among the world‚Äôs most important groups of pollinating insects in natural and agricultural ecosystems. Each spring, queen bumblebees emerge from overwintering and initiate new nests, which ultimately give rise to workers and new reproductives later in the season. Nest initiation and survival are thus key drivers of both bumblebee pollination services and population dynamics. We performed the first laboratory experiment with the model bumblebee species Bombus impatiens that explores how early nesting success is impacted by the effects of temporary or more sustained exposure to sublethal levels of a neonicotinoid-type insecticide (imidacloprid at 5 ppb in nectar) and by reliance on a monofloral pollen diet, two factors that have been previously implicated in bumblebee decline. We found that queens exhibited increased mortality and dramatically reduced activity levels when exposed to imidacloprid, as well as delayed nest initiation and lower brood numbers in the nest, but partially recovered from these effects when they only received early, temporary exposure. The effects of pollen diet on individual queen-and colony-level responses were overshadowed by effects of the insecticide, although a monofloral pollen diet alone was sufficient to negatively impact brood production. These findings speak to the sensitivity of queen bumblebees during the nest initiation phase of the colony cycle, with implications for how queens and their young nests are uniquely impacted by exposure to threats such as pesticide exposure and foraging habitat unsuitability. ¬© 2018 The Author(s) Published by the Royal Society. All rights reserved.",2018///,2018,10.1098/rspb.2018.0761,285.0,1880,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048541756&doi=10.1098%2frspb.2018.0761&partnerID=40&md5=b465376ebf6298a72a2029767490540b,Scopus,,0,,1,9
101,289,JOUR,Impact of Chronic Neonicotinoid Exposure on Honeybee Colony Performance and Queen Supersedure,"['Sandrock, C', 'Tanadini, M', 'Tanadini, LG', 'Fauser-Misslin, A', 'Potts, SG', 'Neumann, P']",PLOS ONE,"Background: Honeybees provide economically and ecologically vital pollination services to crops and wild plants. During the last decade elevated colony losses have been documented in Europe and North America. Despite growing consensus on the involvement of multiple causal factors, the underlying interactions impacting on honeybee health and colony failure are not fully resolved. Parasites and pathogens are among the main candidates, but sublethal exposure to widespread agricultural pesticides may also affect bees. Methodology/Principal Findings: To investigate effects of sublethal dietary neonicotinoid exposure on honeybee colony performance, a fully crossed experimental design was implemented using 24 colonies, including sister-queens from two different strains, and experimental in-hive pollen feeding with or without environmentally relevant concentrations of thiamethoxam and clothianidin. Honeybee colonies chronically exposed to both neonicotinoids over two brood cycles exhibited decreased performance in the short-term resulting in declining numbers of adult bees (-28%) and brood (-13%), as well as a reduction in honey production (-29%) and pollen collections (-19%), but colonies recovered in the medium-term and overwintered successfully. However, significantly decelerated growth of neonicotinoid-exposed colonies during the following spring was associated with queen failure, revealing previously undocumented long-term impacts of neonicotinoids: queen supersedure was observed for 60% of the neonicotinoid-exposed colonies within a one year period, but not for control colonies. Linked to this, neonicotinoid exposure was significantly associated with a reduced propensity to swarm during the next spring. Both short-term and long-term effects of neonicotinoids on colony performance were significantly influenced by the honeybees' genetic background. Conclusions/Significance: Sublethal neonicotinoid exposure did not provoke increased winter losses. Yet, significant detrimental short and long-term impacts on colony performance and queen fate suggest that neonicotinoids may contribute to colony weakening in a complex manner. Further, we highlight the importance of the genetic basis of neonicotinoid susceptibility in honeybees which can vary substantially.",2014/08/01/,2014,10.1371/journal.pone.0103592,9.0,8,,,1932-6203,WOS:000339819800055,,,,,,,0,,1,10
