record_id,﻿type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,url,name_of_database,keywords,issn,accession_number,short_title,asreview_prior,exported_notes_1,included,asreview_ranking
4,JOUR,Sublethal exposure to thiamethoxam and pyraclostrobin affects the midgut and Malpighian tubules of the stingless bee Frieseomelitta varia (Hymenoptera: Apidae: Meliponini),"['da Silva, J.A.', 'Farder-Gomes, C.F.', 'Barchuk, A.R.', 'Malaspina, O.', 'Nocelli, R.C.F.']",Ecotoxicology,"The stingless bee Frieseomelitta varia Lepeletier 1836 (Hymenoptera: Apidae) is an essential pollinator in natural and agricultural ecosystems in the Neotropical region. However, these bees may be exposed to pesticides during foraging, which can affect both individuals and their colonies. One example comes from the use of pyraclostrobin (a fungicide) and thiamethoxam (an insecticide) for pest control in pepper crops, which F. varia visits. This study aimed to evaluate the isolated and combined sublethal effects of thiamethoxam (TMX) (0.000543 ng a.i./¬µL) and pyraclostrobin (PYR) (1.5 ng i.a./¬µL) on the morphology of the midgut and Malpighian tubules of F. varia workers. Results showed that both pesticides, regardless of the exposure time (through feeding during 48 h or 96 h), disturbed the morphology of the analyzed organs. Specifically, F. varia exposed orally to sublethal concentrations of thiamethoxam and pyraclostrobin, either alone or in combination, exhibited a higher rate of damage to the midgut (e.g., vacuolization, apocrine secretion, and cellular elimination) compared to the bees in the control groups, both after 48 h and 96 h of exposure. In Malpighian tubules, vacuolation is the only damage present. As the observed morphological alterations likely compromise the excretion and absorption functions, exposure to pyraclostrobin and thiamethoxam may lead to disturbances at both the individual and colony levels. These results highlight the urgent need for a future reassessment of the safety of fungicides and insecticides regarding their potential effects on bee populations. ¬© The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",2024///,2024,10.1007/s10646-024-02786-4,33,8,875,883,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198358059&doi=10.1007%2fs10646-024-02786-4&partnerID=40&md5=ff6ad40cd9da9997ffce27d0367ee700,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'Hymenoptera', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pollinator', 'animal experiment', 'Article', 'controlled study', 'exposure', 'foraging behavior', 'nonhuman', 'pesticide', 'pollution exposure', 'sublethal effect', 'drug effect', 'physiology', 'thiamethoxam', 'Neonicotinoid', 'stingless bee', 'worker (insect)', 'feeding', 'Thiamethoxam', 'sublethal concentration', 'unclassified drug', 'animal tissue', 'midgut', 'fungicide', 'morphology', 'pyrachlostrobin', 'pyraclostrobin', 'strobilurin', 'Strobilurins', 'Fungicides, Industrial', 'cell vacuole', 'agricultural ecosystem', 'absorption', 'time', 'Morphological damages', 'Neotropical bees', 'Pesticides mixtures', 'Strobirulin', 'Worker bee', 'Malpighian tubule', 'excretion', 'apocrine gland', 'digestive system disease', 'Frieseomelitta varia', 'Malpighian Tubules', 'neotropical bee', 'strobirulin']",,,,1,,1,1
5,JOUR,Cytotoxic effects of thiamethoxam in the midgut and malpighian tubules of Africanized Apis mellifera (Hymenoptera: Apidae),"['Catae, A.F.', 'Roat, T.C.', 'De Oliveira, R.A.', 'Ferreira Nocelli, R.C.', 'Malaspina, O.']",Microscopy Research and Technique,"Due to its expansion, agriculture has become increasingly dependent on the use of pesticides. However, the indiscriminate use of insecticides has had additional effects on the environment. These products have a broad spectrum of action, and therefore the insecticide affects not only the pests but also non-target insects such as bees, which are important pollinators of agricultural crops and natural environments. Among the most used pesticides, the neonicotinoids are particularly harmful. One of the neonicotinoids of specific concern is thiamethoxam, which is used on a wide variety of crops and is toxic to bees. Thus, this study aimed to analyze the effects of this insecticide in the midgut and Malpighian tubule cells of Africanized Apis mellifera. Newly emerged workers were exposed until 8 days to a diet containing a sublethal dose of thiamethoxam equal to 1/10 of LC50 (0.0428 ng a.i./l L of diet). The bees were dissected and the organs were processed for transmission electron microscopy. The results showed that thiamethoxam is cytotoxic to midgut and Malpighian tubules. In the midgut, the damage was more evident in bees exposed to the insecticide on the first day. On the eighth day, the cells were ultrastructurally intact suggesting a recovery of this organ. The Malpighian tubules showed pronounced alterations on the eighth day of exposure of bees to the insecticide. This study demonstrates that the continuous exposure to a sublethal dose of thiamethoxam can impair organs that are used during the metabolism of the insecticide. ¬© 2014 Wiley Periodicals, Inc.",2014///,2014,10.1002/jemt.22339,77,4,274,281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896317005&doi=10.1002%2fjemt.22339&partnerID=40&md5=52d578be248c256349e4f0308aa95ff2,Scopus,,,,,1,,1,2
9,JOUR,"Effects of sublethal doses of imidacloprid in malpighian tubules of africanized Apis mellifera (Hymenoptera, Apidae)","['De Almeida Rossi, C.', 'Roat, T.C.', 'Tavares, D.A.', 'Cintra-Socolowski, P.', 'Malaspina, O.']",Microscopy Research and Technique,"In Brazil, imidacloprid is a widely used insecticide on agriculture and can harm bees, which are important pollinators. The active ingredient imidacloprid has action on the nervous system of the insects. However, little has been studied about the actions of the insecticide on nontarget organs of insects, such as the Malpighian tubules that make up the excretory and osmoregulatory system. Hence, in this study, we evaluated the effects of chronic exposure to sublethal doses of imidacloprid in Malpighian tubules of Africanized Apis mellifera. In the tubules of treated bees, we found an increase in the number of cells with picnotic nuclei, the lost of part of the cell into the lumen, and a homogenization of coloring cytoplasm. Furthermore, we observed the presence of cytoplasmic vacuolization. We confirmed the increased occurrence of picnotic nuclei by using the Feulgan reaction, which showed the chromatin compaction was more intense in the tubules of bees exposed to the insecticide. We observed an intensification of the staining of the nucleus with Xylidine Ponceau, further verifying the cytoplasmic negative regions that may indicate autophagic activity. Additionally, immunocytochemistry experiments showed TUNEL positive nuclei in exposed bees, implicating increased cell apoptosis after chronic imidacloprid exposure. In conclusion, our results indicate that very low concentrations of imidacloprid lead to cytotoxic activity in the Malpighian tubules of exposed bees at all tested times for exposure and imply that this insecticide can alter honey bee physiology. ¬© 2013 Wiley Periodicals, Inc.",2013///,2013,10.1002/jemt.22199,76,5,552,558,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875932526&doi=10.1002%2fjemt.22199&partnerID=40&md5=095fa40511ee3488e63a065d4d6c8361,Scopus,,,,,1,,1,3
390,JOUR,Field rates of Sivanto‚Ñ¢ (flupyradifurone) and Transform¬Æ (sulfoxaflor) increase oxidative stress and induce apoptosis in honey bees (Apis mellifera L.),"['Chakrabarti, P.', 'Carlson, E.A.', 'Lucas, H.M.', 'Melathopoulos, A.P.', 'Sagili, R.R.']",PLoS ONE,"Pesticide exposures can have detrimental impacts on bee pollinators, ranging from immediate mortality to sub-lethal impacts. Flupyradifurone is the active ingredient in Sivanto‚Ñ¢ and sulfoxaflor is the active ingredient in Transform¬Æ. They are both relatively new insecticides developed with an intent to reduce negative effects on bees, when applied to bee-attractive crops. With the growing concern regarding pollinator health and pollinator declines, it is important to have a better understanding of any potential negative impacts, especially sublethal, of these pesticides on bees. This study reports novel findings regarding physiological stress experienced by bees exposed to field application rates of these two insecticides via a Potter Tower sprayer. Two contact exposure experiments were conducted‚Äîa shorter 6-hour study and a longer 10-day study. Honey bee mortality, sugar syrup and water consumption, and physiological responses (oxidative stress and apoptotic protein assays) were assessed in bees exposed to Sivanto‚Ñ¢ and Transform¬Æ, and compared to bees in control group. For the longer, 10-day contact exposure experiment, only the Sivanto‚Ñ¢ group was compared to the control group, as high mortality recorded in the sulfoxaflor treatment group during the shorter contact exposure experiment, made the latter group unfeasible to test in the longer 10-days experiment. In both the studies, sugar syrup and water consumptions were significantly different between treatment groups and controls. The highest mortality was observed in Transform¬Æ exposed bees, followed by the Sivanto‚Ñ¢ exposed bees. Estimates of reactive oxygen/nitrogen species indicated significantly elevated oxidative stress in both pesticide treatment groups, when compared to controls. Caspase-3 protein assays, an indicator of onset of apoptosis, was also significantly higher in the pesticide treatment groups. These differences were largely driven by post exposure duration, indicating sublethal impacts. Further, our findings also emphasize the need to revisit contact exposure impacts of Sivanto‚Ñ¢, given the sub-lethal impacts and mortality observed in our long-term (10-day) contact exposure experiment. ¬© 2020 Chakrabarti et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2020///,2020,10.1371/journal.pone.0233033,15,5,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085155291&doi=10.1371%2fjournal.pone.0233033&partnerID=40&md5=181e48c99f48bf9aa4dc1ca4ca092cd9,Scopus,,,,,1,,1,4
423,JOUR,"Acute oral toxicity, apoptosis, and immune response in nurse bees (Apis mellifera) induced by flupyradifurone","['Gao, J', 'Guo, Y', 'Chen, J', 'Diao, QY', 'Wang, Q', 'Dai, PL', 'Zhang, L', 'Li, WM', 'Wu, YY']",FRONTIERS IN PHYSIOLOGY,"The potential toxicity of flupyradifurone (FPF) to honey bees has been a subject of controversy in recent years. Understanding the effect of pesticides on nurse bees is important because the fitness of nurse bees is critical for in-hive activities, such as larval survival and performing hive maintenance. In order to evaluate the acute oral toxicity of flupyradifurone on nurse bees, flupyradifurone at five different concentrations was selected to feed both larvae and nurse bees. Our results showed that nurse bees were more sensitive to flupyradifurone than larvae (LD50 of the acute oral toxicity of flupyradifurone was 17.72 mu g a.i./larva and 3.368 mu g a.i./nurse bee). In addition, the apoptotic rates of neurons in mushroom bodies of nurse bees were significantly induced by flupyradifurone at sublethal concentrations (8 mg/L, 20 mg/L, and 50 mg/L) and the median lethal concentration LC50 (125 mg/L). The expression of immune-related genes (Hsp90, Toll-8/Tollo, and defensin) was significantly changed in exposed nurse bees at the field-realistic concentration of flupyradifurone. However, three detoxifying enzyme genes (CYP9Q1, -2, and -3) were not affected by pesticide exposure. Our data suggest that although flupyradifurone had a relatively lower acute oral toxicity than many other common pesticides, exposures to the field-realistic and other sublethal concentrations of flupyradifurone still have cytotoxicity and immune-responsive effects on nurse bees. Therefore, flupyradifurone should be considered for its application in crops.",2023/03/28/,2023,10.3389/fphys.2023.1150340,14,,,,,,,1664-042X,WOS:000967662800001,,1,,1,5
295,JOUR,Interaction between Thiamethoxam and Deformed Wing Virus Type A on Wing Characteristics and Expression of Immune and Apoptosis Genes in Apis mellifera,"['Phokasem, P.', 'Mookhploy, W.', 'Krongdang, S.', 'Sinpoo, C.', 'Chantawannakul, P.']",Insects,"Honey bees are economically important insects for crop pollination. They play a significant role as pollinators of wild plants and agricultural crops and produce economical products, such as honey, royal jelly, wax, pollen, propolis, and venom. Despite their ecological and economical importance, the global honey bee population is in decline due to factors including pathogens, parasites, intensive agriculture, and pesticides. Moreover, these factors may be interlinked and exacerbate the loss of honey bees. This study aimed to investigate the interaction between a pesticide, thiamethoxam, and deformed wing virus type A (DWV-A) to honey bees and the effects on survival rate, wing characteristics, and expression of immune and apoptosis genes in Apis mellifera. We described the potential interaction between thiamethoxam and DWV-A on honey bee wing characteristics, DWV-A loads, and the expressions of immune (defensin, abaecin, and hymenoptaecin) and apoptosis genes (buffy, apaf1, caspase3-like, caspase8-like, and caspase9-like). Honey bee larvae were fed with three different thiamethoxam doses (0.001, 1.4, and 14.3 ng/¬µL of the diet). Then, thiamethoxam-treated white-eyed pupae were injected with 107 copy numbers/honey bee of the DWV-A genome. The interaction between thiamethoxam and DWV-A caused a high mortality rate, crippled wings in newly emerged adult honey bees (100%), and resulted in induced expression of hymenoptaecin gene compared to the control group, while downregulation of caspase8-like, caspase9-like genes compared to the DWV injection group. Therefore, the potential interaction between thiamethoxam and DWV-A might have a deleterious effect on honey bee lifespan. The results from this study could be used as a tool to combat DWV-A infection and mitigate pesticide usage to alleviate the decrease in the honey bee population. ¬© 2022 by the authors. Licensee MDPI, Basel, Switzerland.",2022///,2022,10.3390/insects13060515,13,6,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132309232&doi=10.3390%2finsects13060515&partnerID=40&md5=9fa08829359b8a22b54c933b1b5aca48,Scopus,"['thiamethoxam', 'apoptosis', 'pesticides', 'DWV-A', 'immune', 'pathogens']",,,,1,,1,6
20,JOUR,Acute oral exposure to imidacloprid induces apoptosis and autophagy in the midgut of honey bee Apis mellifera workers,"['Carneiro, L.S.', 'Martinez, L.C.', 'Oliveira, A.H.D.', 'Cossolin, J.F.S.', 'Resende, M.T.C.S.D.', 'Gon√ßalves, W.G.', 'Medeiros-Santana, L.', 'Serr√£o, J.E.']",Science of the Total Environment,"The honey bee Apis mellifera is an important pollinator that increases the yield and quality of crops. In recent years, honey bee populations have declined in some parts of the world, which has been associated with several causes, including pesticides used in agriculture. Neonicotinoids are neurotoxic insecticides widely used in the world with systemic action mode contaminating nectar and pollen that may be consumed by bees. This study evaluated the side effects of imidacloprid in the midgut of A. mellifera after acute oral exposure. Toxicity, histopathology, cytotoxicity, and expression of autophagy-related gene atg1 were evaluated in honey bee workers orally exposed to imidacloprid. The estimated imidacloprid LC50 was 1.44 mg L‚àí1. The midgut epithelium of bees fed on imidacloprid LC50 has the occurrence of cytoplasm vacuoles, enlarged intercellular spaces, disorganization of the striated border, and nuclear pyknosis, with an organ injury index that increases with time exposure. The midgut digestive cells of treated bees have apical protrusions, damaged mitochondria, and autophagosomes that were characterized for content with organelle debris and high expression of atg1. These features indicate the occurrence of high cell death in the midgut of workers exposed to imidacloprid, which may affect the digestibility the physiology of the insect. ¬© 2022 Elsevier B.V.",2022///,2022,10.1016/j.scitotenv.2021.152847,815,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122518968&doi=10.1016%2fj.scitotenv.2021.152847&partnerID=40&md5=a0d3f8abc46175107907c4279512d628,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'imidacloprid', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pollinator', 'animal experiment', 'Article', 'Cell proliferation', 'controlled study', 'nonhuman', 'pollution exposure', 'Apis mellifera', 'toxicity', 'Food products', 'Imidacloprids', 'worker (insect)', 'Honey bee', 'gene expression', 'short term exposure', 'Imidacloprid', 'apoptosis', 'Apoptosis', 'Cell death', 'gene', ""Workers'"", 'animal tissue', 'midgut', 'LC50', 'Exposed to', 'histopathology', 'ecotoxicity', 'cytoplasm', 'Bee', 'physiological response', 'Oral exposure', 'cytotoxicity', 'cell death', 'Midgut', 'disorders of mitochondrial functions', 'Cytotoxicity', 'Autophagy', 'autophagy (cellular)', 'atg1 gene', 'autophagosome', 'autophagy']",,,,1,,1,7
580,JOUR,Sperm parameters of honeybee drones exposed to imidacloprid,"['Ciereszko, A', 'Wilde, J', 'Dietrich, GJ', 'Siuda, M', 'Bak, B', 'Judycka, S', 'Karol, H']",APIDOLOGIE,"The objective of this study was to evaluate the effects of chronical exposure of honeybee drones to environmental (5 ppb) and non-environmental concentration (200 ppb) of imidacloprid (IMD) on sperm concentration, motility, viability, and mitochondrial membrane potential measured in semen obtained from 180 drones originating from 18 colonies. The results demonstrate that IMD exposure did not affect sperm concentration; however, there were significant differences in concentration within colonies. IMD exposure was associated with reductions in sperm motility, which also varied within colonies. Statistically significant interactions between IMD exposure and colony were found for active mitochondria and sperm viability. Our results strongly suggest that neonicotinoids can negatively affect honeybee drone sperm quality. It is important to emphasize that IMD actions can be strongly modulated according to the colony.",2017/03//,2017,10.1007/s13592-016-0466-2,48,2,0044-8435,WOS:000397819400010,211,222,,,,,1,,1,8
98,JOUR,Sperm viability and gene expression in honey bee queens (Apis mellifera) following exposure to the neonicotinoid insecticide imidacloprid and the organophosphate acaricide coumaphos,"['Chaimanee, V.', 'Evans, J.D.', 'Chen, Y.', 'Jackson, C.', 'Pettis, J.S.']",Journal of Insect Physiology,"Honey bee population declines are of global concern. Numerous factors appear to cause these declines including parasites, pathogens, malnutrition and pesticides. Residues of the organophosphate acaricide coumaphos and the neonicotinoid insecticide imidacloprid, widely used to combat Varroa mites and for crop protection in agriculture, respectively, have been detected in wax, pollen and comb samples. Here, we assess the effects of these compounds at different doses on the viability of sperm stored in the honey bee queens' spermatheca. Our results demonstrate that sub-lethal doses of imidacloprid (0.02 ppm) decreased sperm viability by 50%, 7 days after treatment. Sperm viability was a downward trend (about 33%) in queens treated with high doses of coumaphos (100 ppm), but there was not significant difference. The expression of genes that are involved in development, immune responses and detoxification in honey bee queens and workers exposed to chemicals was measured by qPCR analysis. The data showed that expression levels of specific genes were triggered 1 day after treatment. The expression levels of P450 subfamily genes, CYP306A1, CYP4G11 and CYP6AS14 were decreased in honey bee queens treated with low doses of coumaphos (5 ppm) and imidacloprid (0.02 ppm). Moreover, these two compounds suppressed the expression of genes related to antioxidation, immunity and development in queens at day 1. Up-regulation of antioxidants by these compounds in worker bees was observed at day 1. Coumaphos also caused a repression of CYP306A1 and CYP4G11 in workers. Antioxidants appear to prevent chemical damage to honey bees. We also found that DWV replication increased in workers treated with imidacloprid. This research clearly demonstrates that chemical exposure can affect sperm viability in queen honey bees. ¬© 2016 Elsevier Ltd.",2016///,2016,10.1016/j.jinsphys.2016.03.004,89,,1,8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960857417&doi=10.1016%2fj.jinsphys.2016.03.004&partnerID=40&md5=33b4203b1a0bd361e5b24a1bfbf0fc22,Scopus,,,,,1,,1,9
10,JOUR,"Can the exposure of Apis mellifera (Hymenoptera, Apiadae) larvae to a field concentration of thiamethoxam affect newly emerged bees?","['Friol, P.S.', 'Catae, A.F.', 'Tavares, D.A.', 'Malaspina, O.', 'Roat, T.C.']",Chemosphere,"The use of insecticides on crops can affect non-target insects, such as bees. In addition to the adult bees, larvae can be exposed to the insecticide through contaminated floral resources. Therefore, this study aimed to investigate the possible effects of the exposure of A. mellifera larvae to a field concentration of thiamethoxam (0.001 ng/ŒºL thiamethoxam) on larval and pupal survival and on the percentage of adult emergence. Additionally, its cytotoxic effects on the digestive cells of midgut, Malpighian tubules cells and Kenyon cells of the brain of newly emerged A. mellifera bees were analyzed. The results showed that larval exposure to this concentration of thiamethoxam did not influence larval and pupal survival or the percentage of adult bee emergence. However, this exposure caused ultra-structural alterations in the target and non-target organs of newly emerged bees. The digestive cell of bees that were exposed to the insecticide exhibited a basal labyrinth without long and thin channels and compromised mitochondria. In Malpighian tubules cells, disorganized basal labyrinth, dilated mitochondria with a deformed shape and a loss of cristae, and disorganized microvilli were observed. The results showed that the exposed bees presented Kenyon cells with alterations in the nucleus and mitochondria. These alterations indicate possible tissue degeneration, demonstrating the cytotoxicity of thiamethoxam in the target and non-target organs of newly emerged bees. Such results suggest cellular organelle impairment that can compromise cellular function of the midgut cells, Malpighian tubules cells and Kenyon cells, and, consequently, can compromise the longevity of the bees of the whole colony. ¬© 2017 Elsevier Ltd",2017///,2017,10.1016/j.chemosphere.2017.06.113,185,,56,66,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021633006&doi=10.1016%2fj.chemosphere.2017.06.113&partnerID=40&md5=a3ffa05696820a4980782f2e334eba3b,Scopus,,,,,0,,1,10
