record_id,type_of_reference,title,authors,secondary_title,abstract,date,year,doi,volume,number,start_page,end_page,url,name_of_database,keywords,issn,accession_number,short_title,asreview_prior,exported_notes_1,included,asreview_ranking,
394,JOUR,Brain morphophysiology of Africanized bee Apis mellifera exposed to sublethal doses of imidacloprid,"['De Almeida Rossi, C.', 'Roat, T.C.', 'Tavares, D.A.', 'Cintra-Socolowski, P.', 'Malaspina, O.']",Archives of Environmental Contamination and Toxicology,"Several synthetic substances are used in agricultural areas to combat insect pests; however, the indiscriminate use of these products may affect nontarget insects, such as bees. In Brazil, one of the most widely used insecticides is imidacloprid, which targets the nervous system of insects. Therefore, the aim of this study was to evaluate the effects of chronic exposure to sublethal doses of imidacloprid on the brain of the Africanized Apis mellifera. The organs of both control bees and bees exposed to insecticide were subjected to morphological, histochemical and immunocytochemical analysis after exposure to imidacloprid, respectively, for 1, 3, 5, 7, and 10 days. In mushroom bodies of bees exposed to imidacloprid concentrations of LD50/10 and in optic lobes of bees exposed to imidacloprid concentrations of LD 50/10, LD50/100, and LD50/50, we observed the presence of condensed cells. The Feulgen reaction revealed the presence of some cells with pyknotic nuclei, whereas Xylidine Ponceau stain revealed strongly stained cells. These characteristics can indicate the occurrence of cell death. Furthermore, cells in mushroom bodies of bees exposed to imidacloprid concentrations of LD50/10 appeared to be swollen. Cell death was confirmed by immunocytochemical technique. Therefore, it was concluded that sublethal doses of imidacloprid have cytotoxic effects on exposed bee brains and that optic lobes are more sensitive to the insecticide than other regions of the brain. © 2013 Springer Science+Business Media New York.",2013///,2013,10.1007/s00244-013-9897-1,65,2,234,243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880324906&doi=10.1007%2fs00244-013-9897-1&partnerID=40&md5=21b9151258751d044482545e9fc87ac8,Scopus,,,,,1,,1,1,
432,JOUR,Insecticide exposure during brood or early-adult development reduces brain growth and impairs adult learning in bumblebees,"['Smith, DB', 'Arce, AN', 'Rodrigues, AR', 'Bischoff, PH', 'Burris, D', 'Ahmed, F', 'Gill, RJ']",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"For social bees, an understudied step in evaluating pesticide risk is how contaminated food entering colonies affects residing offspring development and maturation. For instance, neurotoxic insecticide compounds in food could affect central nervous system development predisposing individuals to become poorer task performers later-in-life. Studying bumblebee colonies provisioned with neonicotinoid spiked nectar substitute, we measured brain volume and learning behaviour of 3 or 12-day old adults that had experienced in-hive exposure during brood and/or early-stage adult development. Micro-computed tomography scanning and segmentation of multiple brain neuropils showed exposure during either of the developmental stages caused reduced mushroom body calycal growth relative to unexposed workers. Associated with this was a lower probability of responding to a sucrose reward and lower learning performance in an olfactory conditioning test. While calycal volume of control workers positively correlated with learning score, this relationship was absent for exposed workers indicating neuropil functional impairment. Comparison of 3- and 12-day adults exposed during brood development showed a similar degree of reduced calycal volume and impaired behaviour highlighting lasting and irrecoverable effects from exposure despite no adult exposure. Our findings help explain how the onset of pesticide exposure to whole colonies can lead to lag-effects on growth and resultant dysfunction.",2020/03/11/,2020,10.1098/rspb.2019.2442,287,1922,,,,,,0962-8452,WOS:000521569300001,,1,,1,2,
689,JOUR,"Sublethal doses of imidacloprid and pyraclostrobin impair fat body of solitary bee Tetrapedia diversipes (Klug, 1810)","['Conceição de Assis, J.', 'Eduardo da Costa Domingues, C.', 'Tadei, R.', 'Inês da Silva, C.', 'Soares Lima, H.M.', 'Decio, P.', 'Silva-Zacarin, E.C.M.']",Environmental Pollution,"Solitary bees present greater species diversity than social bees. However, they are less studied than managed bees, mainly regarding the harmful effects of pesticides present in agroecosystems commonly visited by them. This study aimed to evaluate the effect of residual doses of imidacloprid and pyraclostrobin, alone and in combination, on the fat body (a multifunctional organ) of the neotropical solitary bee Tetrapedia diversipes by means of morphological and histochemical evaluation of oenocytes and trophocytes. Males and females of newly-emerged adults were submitted to bioassays of acute topical exposure. Experimental groups were essayed: control (CTR), solvent control (ACT), imidacloprid (IMI, 0.0028 ng/μL), pyraclostrobin (PYR, 2.7 ng/μL) and imidacloprid + pyraclostrobin (I + P). The data demonstrated that the residual doses applied in T. diversipes adults are sublethal at 96 h. Both oenocytes and trophocytes cells responded to topical exposure to the pesticides, showing morphological changes. In the IMI group, the bee oenocytes showed the greatest proportion of vacuolization and altered nuclei. The pyraclostrobin exposure increased the intensity of PAS-positive labeling (glycogen) in trophocytes. This increase was also observed in the I + P group. Changes in energy reserve (glycogen) of trophocytes indicate a possible mobilization impairment of this neutral polysaccharide to the hemolymph, which can compromise the fitness of exposed individuals. Also, changes in oenocytes can compromise the detoxification function performed by the fat body. This is the first study to show sublethal effects in neotropical solitary bees and highlight the importance of studies with native bees. © 2022 Elsevier Ltd",2022///,2022,10.1016/j.envpol.2022.119140,304,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126832056&doi=10.1016%2fj.envpol.2022.119140&partnerID=40&md5=3729d548adcc2a598568c2085d641e33,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'ecotoxicology', 'imidacloprid', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'animal experiment', 'Article', 'controlled study', 'female', 'nonhuman', 'pesticide', 'Pesticides', 'pollen', 'sublethal effect', 'survival analysis', 'Imidacloprids', 'adult', 'Neonicotinoid', 'sublethal dose', 'male', 'unclassified drug', 'animal tissue', 'nontarget organism', 'body fat', 'Fat body', 'Fat Body', 'fungicide', 'morphology', 'pyrachlostrobin', 'pyraclostrobin', 'strobilurin', 'Strobilurins', 'trophocyte', 'bioassay', 'Female', 'Sublethal dose', 'detoxification', 'Detoxification', 'hemolymph', 'qualitative analysis', 'biological marker', 'cell structure', 'cell vacuole', 'cells by function', 'fat pad', 'oenocyte', 'agricultural ecosystem', 'Neotropical Region', 'quantitative analysis', 'glycogen', 'Harmful effects', 'Neotropical bee', 'polysaccharide', 'histochemistry', 'Glycogen', 'Oenocyte', 'Oenocytes', 'Strobilurin', 'Topical exposures', 'Trophocytes']",,,,1,,1,3,
627,JOUR,"Exposure to sublethal concentrations of imidacloprid, pyraclostrobin, and glyphosate harm the behavior and fat body cells of the stingless bee Scaptotrigona postica","['Farder-Gomes, C.F.', 'Grella, T.C.', 'Malaspina, O.', 'Nocelli, R.F.C.']",Science of the Total Environment,"Pesticide use in agriculture threatens non-target insects such as bees. Considering the ecological and economic relevance of native bees, such as Scaptotrigona postica, and the insufficient studies on the effects of pesticides on their behavior and physiology, improving the current knowledge on this issue is essential. Therefore, this study investigated the sublethal effects of imidacloprid, pyraclostrobin, and glyphosate on the behavior and fat body cells of S. postica. Pesticide ingestion decreased the walking distance and mean velocity of bees compared to the control and solvent control groups. The oenocytes of the control groups were spherical, with central nuclei containing decondensed chromatin, and the trophocytes presented irregular morphology, with cells varying in shape and the cytoplasm filled with vacuoles and granules. However, bees exposed to pesticides showed extensive cytoarchitectural disruption in the fat body, such as vacuolization and shape changes in oenocytes and altered nuclei morphology in trophocytes. Moreover, pesticide exposure increased the number of atypical oenocytes and altered trophocytes, except for the PYR group, which showed a lower number of atypical oenocytes. Caspase-positive labeling significantly increased in all exposed bee groups. Alternatively, TLR4 labeling was significantly decreased in the exposed groups compared to the control groups. There was a significant increase in HSP90 immunolabeling in all exposed groups compared to the control. These findings reinforce the importance of research on the sublethal effects of low pesticide concentrations on key neotropical pollinators and prove that these toxic substances can impair their detoxification and immune defense. © 2023 Elsevier B.V.",2024///,2024,10.1016/j.scitotenv.2023.168072,907,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175094565&doi=10.1016%2fj.scitotenv.2023.168072&partnerID=40&md5=0e49e41638f2caecbc9cbb9bf47c7524,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'ecotoxicology', 'imidacloprid', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'pollinator', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'pesticide', 'Pesticides', 'Sublethal effects', 'velocity', 'Imidacloprids', 'Eco-toxicology', 'Ecotoxicology', 'Neotropics', 'stingless bee', 'sublethal concentration', 'glyphosate', 'Herbicides', 'animal cell', 'apoptosis', 'Apoptosis', 'Cell death', 'unclassified drug', 'Glyphosates', 'Pollinators', 'Pollinator', 'Ecology', 'antibody labeling', 'body fat', 'cell', 'Control groups', 'Fat Body', 'fungicide', 'heat shock protein 90', 'Morphology', 'pyrachlostrobin', 'pyraclostrobin', 'toll like receptor 4', 'trophocyte', 'detoxification', 'Detoxification', 'Atypicals', 'caspase', 'cell granule', 'cell structure', 'cell vacuole', 'cells by function', 'chromatin', 'cytoplasm', 'fat', 'Fat body cells', 'fat pad', 'immune system', 'Immune system', 'immunity', 'Labelings', 'oenocyte', 'Pesticide use', 'Scaptotrigona postica', 'solvent', 'walking distance']",,,,1,,1,4,
592,JOUR,Sublethal exposure to thiamethoxam and pyraclostrobin affects the midgut and Malpighian tubules of the stingless bee Frieseomelitta varia (Hymenoptera: Apidae: Meliponini),"['da Silva, J.A.', 'Farder-Gomes, C.F.', 'Barchuk, A.R.', 'Malaspina, O.', 'Nocelli, R.C.F.']",Ecotoxicology,"The stingless bee Frieseomelitta varia Lepeletier 1836 (Hymenoptera: Apidae) is an essential pollinator in natural and agricultural ecosystems in the Neotropical region. However, these bees may be exposed to pesticides during foraging, which can affect both individuals and their colonies. One example comes from the use of pyraclostrobin (a fungicide) and thiamethoxam (an insecticide) for pest control in pepper crops, which F. varia visits. This study aimed to evaluate the isolated and combined sublethal effects of thiamethoxam (TMX) (0.000543 ng a.i./µL) and pyraclostrobin (PYR) (1.5 ng i.a./µL) on the morphology of the midgut and Malpighian tubules of F. varia workers. Results showed that both pesticides, regardless of the exposure time (through feeding during 48 h or 96 h), disturbed the morphology of the analyzed organs. Specifically, F. varia exposed orally to sublethal concentrations of thiamethoxam and pyraclostrobin, either alone or in combination, exhibited a higher rate of damage to the midgut (e.g., vacuolization, apocrine secretion, and cellular elimination) compared to the bees in the control groups, both after 48 h and 96 h of exposure. In Malpighian tubules, vacuolation is the only damage present. As the observed morphological alterations likely compromise the excretion and absorption functions, exposure to pyraclostrobin and thiamethoxam may lead to disturbances at both the individual and colony levels. These results highlight the urgent need for a future reassessment of the safety of fungicides and insecticides regarding their potential effects on bee populations. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",2024///,2024,10.1007/s10646-024-02786-4,33,8,875,883,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198358059&doi=10.1007%2fs10646-024-02786-4&partnerID=40&md5=ff6ad40cd9da9997ffce27d0367ee700,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'Hymenoptera', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pollinator', 'animal experiment', 'Article', 'controlled study', 'exposure', 'foraging behavior', 'nonhuman', 'pesticide', 'pollution exposure', 'sublethal effect', 'drug effect', 'physiology', 'thiamethoxam', 'Neonicotinoid', 'stingless bee', 'worker (insect)', 'feeding', 'Thiamethoxam', 'sublethal concentration', 'unclassified drug', 'animal tissue', 'midgut', 'fungicide', 'morphology', 'pyrachlostrobin', 'pyraclostrobin', 'strobilurin', 'Strobilurins', 'Fungicides, Industrial', 'cell vacuole', 'agricultural ecosystem', 'absorption', 'time', 'Morphological damages', 'Neotropical bees', 'Pesticides mixtures', 'Strobirulin', 'Worker bee', 'Malpighian tubule', 'excretion', 'apocrine gland', 'digestive system disease', 'Frieseomelitta varia', 'Malpighian Tubules', 'neotropical bee', 'strobirulin']",,,,1,,1,5,
498,JOUR,Cytotoxic effects of thiamethoxam in the midgut and malpighian tubules of Africanized Apis mellifera (Hymenoptera: Apidae),"['Catae, A.F.', 'Roat, T.C.', 'De Oliveira, R.A.', 'Ferreira Nocelli, R.C.', 'Malaspina, O.']",Microscopy Research and Technique,"Due to its expansion, agriculture has become increasingly dependent on the use of pesticides. However, the indiscriminate use of insecticides has had additional effects on the environment. These products have a broad spectrum of action, and therefore the insecticide affects not only the pests but also non-target insects such as bees, which are important pollinators of agricultural crops and natural environments. Among the most used pesticides, the neonicotinoids are particularly harmful. One of the neonicotinoids of specific concern is thiamethoxam, which is used on a wide variety of crops and is toxic to bees. Thus, this study aimed to analyze the effects of this insecticide in the midgut and Malpighian tubule cells of Africanized Apis mellifera. Newly emerged workers were exposed until 8 days to a diet containing a sublethal dose of thiamethoxam equal to 1/10 of LC50 (0.0428 ng a.i./l L of diet). The bees were dissected and the organs were processed for transmission electron microscopy. The results showed that thiamethoxam is cytotoxic to midgut and Malpighian tubules. In the midgut, the damage was more evident in bees exposed to the insecticide on the first day. On the eighth day, the cells were ultrastructurally intact suggesting a recovery of this organ. The Malpighian tubules showed pronounced alterations on the eighth day of exposure of bees to the insecticide. This study demonstrates that the continuous exposure to a sublethal dose of thiamethoxam can impair organs that are used during the metabolism of the insecticide. © 2014 Wiley Periodicals, Inc.",2014///,2014,10.1002/jemt.22339,77,4,274,281,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896317005&doi=10.1002%2fjemt.22339&partnerID=40&md5=52d578be248c256349e4f0308aa95ff2,Scopus,,,,,1,,1,6,
621,JOUR,"Exposure of the stingless bee Melipona scutellaris to imidacloprid, pyraclostrobin, and glyphosate, alone and in combination, impair its walking activity and fat body morphology and physiology","['Farder-Gomes, CF', 'de Oliveira, MA', 'Malaspina, O', 'Nocelli, RFC']",ENVIRONMENTAL POLLUTION,"The stingless bee Melipona scutellaris performs buzz pollination, effectively pollinating several wild plants and crops with economic relevance. However, most research has focused on honeybees, leaving a significant gap in studies concerning native species, particularly regarding the impacts of pesticide combinations on these pollinators. Thus, this study aimed to evaluate the sublethal effects of imidacloprid (IMD), pyraclostrobin (PYR), and glyphosate (GLY) on the behavior and fat body cell morphology and physiology of M. scutellaris . Foragers were orally exposed to the different pesticides alone and in combination for 48 h. Bees fed with contaminated solution walked less, moved slower, presented morphological changes in the fat body, including vacuolization, altered cell shape and nuclei morphology, and exhibited a higher count of altered oenocytes and trophocytes. In all exposed groups, alone and in combination, the number of cells expressing caspase-3 increased, but the TLR4 number of cells expressing decreased compared to the control groups. The intensity of HSP70 immunolabeling increased compared to the control groups. However, the intensity of the immunolabeling of HSP90 decreased in the IMD, GLY, and I + G (IMD + GLY) groups but increased in I +P -exposed bees (IMD + PYR). Alternatively, exposure to PYR and P + G (PYR + GLY) did not affect the immunolabeling intensity. Our findings demonstrate the hazardous effects and environmental consequences of isolated and combined pesticides on a vital neotropical pollinator. Understanding how pesticides impact the fat body can provide crucial insights into the overall health and survival of native bee populations, which can help develop more environmentally friendly approaches to agricultural practices.",2024/05/01/,2024,10.1016/j.envpol.2024.123783,348,,,,,,"['animal', 'Animals', 'bee', 'Bees', 'Hymenoptera', 'imidacloprid', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'Nitro Compounds', 'nitro derivative', 'pollination', 'pollinator', 'animal experiment', 'Article', 'nonhuman', 'pesticide', 'Pesticides', 'Pollination', 'pollution exposure', 'sublethal effect', 'forager', 'physiology', 'Sublethal effects', 'Imidacloprids', 'stingless bee', 'toxicology', 'immunohistochemistry', 'walking', 'glyphosate', 'Glyphosate', 'Herbicides', 'caspase 3', 'Cell death', 'unclassified drug', 'Glyphosates', 'animal tissue', 'behavior', 'Physiology', 'agricultural management', 'antibody labeling', 'body fat', 'cell', 'Control groups', 'economic aspect', 'Fat body', 'Fat Body', 'fungicide', 'heat shock protein 70', 'heat shock protein 90', 'histology', 'Immune defense', 'immune response', 'Immunolabelling', 'LC50', 'melipona scutellaris', 'microscopy', 'morphology', 'Morphology', 'pyrachlostrobin', 'pyraclostrobin', 'strobilurin', 'Strobilurins', 'toll like receptor 4', 'Toxicology', 'trophocyte', 'Walking', 'Walking activity']",0269-7491,WOS:001215480900001,,1,,1,7,
334,JOUR,Thiacloprid impairs honeybee worker learning and memory with inducing neuronal apoptosis and downregulating memory-related genes,"['Li, A.', 'Yin, L.', 'Ke, L.', 'Diao, Q.-Y.', 'Wu, Y.', 'Dai, P.', 'Liu, Y.-J.']",Science of the Total Environment,"Neonicotinoids are among the most widely used insecticides in the world and are recognized as a potential cause of pollinator decline. Previous studies have demonstrated that the neonicotinoid thiacloprid has adverse effects on foraging and memory behaviors. However, there is no direct evidence linking thiacloprid-induced neuronal cell damage in the brains of honeybees to learning and memory dysfunction. Adult honeybee (Apis mellifera L.) workers were chronically exposed to sub-lethal concentrations of thiacloprid. We discovered that thiacloprid negatively affected their survival, food consumption, and body weight. In addition, sucrose sensitivity and memory performance were impaired. We evaluated the apoptosis of honeybee brain cells using TUNEL (Terminal deoxynucleotidyl transferase-mediated digoxigenin-dUTP-biotin nick-end labeling) and Caspase-3 assays, which revealed that thiacloprid increases the dose-dependent apoptosis of neurons in the mushroom bodies (MB) and antennal lobes (AL). We also determined the abnormal transcripts of multiple genes, including vitellogenin (Vg), immune system genes (apidaecin and catalase), and memory-associated genes (pka, creb, Nmdar1, Dop2, Oa1, Oa-2R, and Oa-3R). These results indicate that exposure to sublethal concentrations of thiacloprid cause abnormal expression of memory-related genes and apoptosis of brain cells in the AL and MB, which may contribute to the memory disorder induced by thiacloprid exposure. © 2023 Elsevier B.V.",2023///,2023,10.1016/j.scitotenv.2023.163820,885,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156154224&doi=10.1016%2fj.scitotenv.2023.163820&partnerID=40&md5=0d54d625ba5cc173cbdc088f9fc39bb5,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'animal experiment', 'Article', 'controlled study', 'nonhuman', 'Apis mellifera', 'honeybee', 'learning', 'Learning', 'memory disorder', 'sucrose', 'survival', 'adult', 'worker (insect)', 'mushroom body', 'sublethal concentration', 'thiacloprid', 'Adverse effect', 'animal cell', 'antenna (organ)', 'antennal lobe', 'Antennal lobes', 'apidaecin gene', 'apoptosis', 'Apoptosis', 'biotin', 'body mass', 'body weight', 'brain cell', 'Brain cells', 'caspase 3', 'catalase', 'Cell death', 'creb gene', 'digoxigenin', 'DNA nucleotidylexotransferase', 'Dop2 gene', 'down regulation', 'enzyme assay', 'food consumption', 'food intake', 'Food supply', 'gene', 'Genes', 'Honeybee', 'Learning and memory', 'learning disorder', 'long term exposure', 'memory related gene', 'Mushroom bodies', 'neuroapoptosis', 'Neuronal apoptosis', 'Neurons', 'Nmdar1 gene', 'Oa 2R gene', 'Oa 3R gene', 'Oa1 gene', 'pka gene', 'pollution effect', 'polypeptide antibiotic agent', 'recall', 'Thiacloprid', 'TUNEL assay', 'unclassified drug', 'Vg gene', 'vitellogenin', ""Workers'""]",,,,1,,1,8,
596,JOUR,A food-ingested sublethal concentration of thiamethoxam has harmful effects on the stingless bee Melipona scutellaris,"['Miotelo, L.', 'Mendes dos Reis, A.L.', 'Rosa-Fontana, A.', 'Karina da Silva Pachú, J.', 'Malaquias, J.B.', 'Malaspina, O.', 'Roat, T.C.']",Chemosphere,"In recent years, the importance of bee's biodiversity in the Neotropical region has been evidencing the relevance of including native bees in risk assessments. Therefore, the sublethal effects of the insecticide thiamethoxam on the survival and morphological parameters of the stingless bee Melipona scutellaris were investigated in the present study. Cells from both non-target organs (Malpighian tubules and midgut) and target organs (brain) were analyzed for morphological alterations using light microscopy and transmission electron microscopy. The findings showed that when M. scutellaris foragers were exposed to a sublethal concentration of thiamethoxam (LC50/100 = 0.000543 ng a. i./μL), longevity was not reduced but brain function was affected, even with the non-target organs attempting to detoxify. The cellular damage in all the organs was mostly reflected in irregular nuclei shape and condensed chromatin, indicating cell death. The most frequent impairments in the Malpighian tubules were loss of microvilli, disorganization of the basal labyrinth, and cytoplasmic loss. These characteristics are related to an attempt by the cells to increase the excretion process, probably because of the high number of toxic molecules that reach the Malpighian tubules and need to be secreted. In general, damages that compromise the absorption of nutrients, excretion, memory, and learning processes, which are essential for the survival of M. scutellaris, were found. The present results also fill in gaps on how these bees respond to thiamethoxam exposure and will be useful in future risk assessments for the conservation of bee biodiversity. © 2021 Elsevier Ltd",2022///,2022,10.1016/j.chemosphere.2021.132461,288,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116484814&doi=10.1016%2fj.chemosphere.2021.132461&partnerID=40&md5=31d8336ddda71a7c0722080520f8578a,Scopus,"['animal', 'Animals', 'bee', 'Bees', 'human', 'insecticide', 'Insecticides', 'neonicotinoid', 'Neonicotinoids', 'pollinator', 'Article', 'Cell proliferation', 'controlled study', 'nonhuman', 'Risk assessment', 'Risks assessments', 'sublethal effect', 'foraging', 'Sublethal effects', 'survival', 'concentration (composition)', 'thiamethoxam', 'Meliponinae', 'Neonicotinoid', 'stingless bee', 'longevity', 'Longevity', 'Thiamethoxam', 'mushroom body', 'sublethal concentration', 'animal cell', 'Cell death', 'food intake', 'Mushroom bodies', 'pollution effect', 'LD50', 'Lethal Dose 50', 'Pollinators', 'midgut', 'Pollinator', 'microscopy', 'detoxification', 'biodiversity', 'Biodiversity', 'chromatin', 'High resolution transmission electron microscopy', 'Light transmission', 'transmission electron microscopy', 'Basidiomycota', 'absorption', 'Neotropical Region', 'kenyon cell', 'morphological trait', 'Mushroom body', 'biochemical oxygen demand', 'brain function', 'brush border', 'cell damage', 'cell death', 'chromatin condensation', 'digestive system', 'Digestive System', 'endocrine cell', 'Harmful effects', 'inner ear', 'lethal time', 'Malpighian tubule', 'Malpighian tubules', 'Melipona scutellaris', 'microvillus', 'Midgut', 'mitochondrion', 'nuclear shape', 'target organ', 'Target organs']",,,,0,,1,9,
658,JOUR,"Effects of sublethal doses of imidacloprid in malpighian tubules of africanized Apis mellifera (Hymenoptera, Apidae)","['De Almeida Rossi, C.', 'Roat, T.C.', 'Tavares, D.A.', 'Cintra-Socolowski, P.', 'Malaspina, O.']",Microscopy Research and Technique,"In Brazil, imidacloprid is a widely used insecticide on agriculture and can harm bees, which are important pollinators. The active ingredient imidacloprid has action on the nervous system of the insects. However, little has been studied about the actions of the insecticide on nontarget organs of insects, such as the Malpighian tubules that make up the excretory and osmoregulatory system. Hence, in this study, we evaluated the effects of chronic exposure to sublethal doses of imidacloprid in Malpighian tubules of Africanized Apis mellifera. In the tubules of treated bees, we found an increase in the number of cells with picnotic nuclei, the lost of part of the cell into the lumen, and a homogenization of coloring cytoplasm. Furthermore, we observed the presence of cytoplasmic vacuolization. We confirmed the increased occurrence of picnotic nuclei by using the Feulgan reaction, which showed the chromatin compaction was more intense in the tubules of bees exposed to the insecticide. We observed an intensification of the staining of the nucleus with Xylidine Ponceau, further verifying the cytoplasmic negative regions that may indicate autophagic activity. Additionally, immunocytochemistry experiments showed TUNEL positive nuclei in exposed bees, implicating increased cell apoptosis after chronic imidacloprid exposure. In conclusion, our results indicate that very low concentrations of imidacloprid lead to cytotoxic activity in the Malpighian tubules of exposed bees at all tested times for exposure and imply that this insecticide can alter honey bee physiology. © 2013 Wiley Periodicals, Inc.",2013///,2013,10.1002/jemt.22199,76,5,552,558,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875932526&doi=10.1002%2fjemt.22199&partnerID=40&md5=095fa40511ee3488e63a065d4d6c8361,Scopus,,,,,0,,1,10,
