record_id,title,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT,asreview_prior,exported_notes_1,included,asreview_ranking
8,Application of predefined doses of neonicotinoid containing dusts in field trials and acute effects on honey bees,JOUR,"['Pistorius, J.', 'Wehner, A.', 'Kriszan, M.', 'Bargen, H.', 'Knäbe, S.', 'Klein, O.', 'Frommberger, M.', 'Stähler, M.', 'Heimbach, U.']",Bulletin of Insectology,"This study explored the effects of insecticidal dusts on honey bee colonies (Apis mellifera L.) after exposure to a priori defined dose under field conditions. For this purpose two different rates of abraded seed dust, containing active substance Clothianidin, were applied on flowering Phacelia tanacetifolia Bentham during bee-flight with a purpose-built dust applicator. We observed dose-related high acute effects on bee mortality at both application rates, 0.25 and 1.0 g a.s. Clothianidin in dust per ha, resulting in up to 4.3 and 17 fold higher mortality compared to pre-application level and an overall increase of mortality during the 7 days exposure period of 2.0 and 9.8 fold. In dead bees, residues detected between both rates appliedwere up to 2.6 fold higher in the 1.0 g a.s. Clothianidin dust exposure scenario. On day 7, residues up to 28 μg Clothianidin/kg were detected in bee bread of stored Phacelia pollen. The findings of high effects at chosen rates highlight the need to include specific dust drift field trials for seed treatment products with highly toxic insecticides in risk assessment used in crops with potential dust abrasion and emission from seeds. Further work is required to determine appropriate application rates in further semi-field and field testing that reflect field realistic drift exposure levels. © 2015, Universita degli Studi di Bologna, Department of Agroenvironmental Sciences and Technologies. All Rights Reserved.",2015,,68,,0,,0.0,,,0.0,,,,,,,,,1,,1,1
44,Effects of the Neonicotinoid Imidacloprid on the Feeding Behavior of Melipona quadrifasciata anthidioides Lep.,JOUR,"['Costa, LGD', 'Barchuk, AR', 'Teixeira, IRD']",REVISTA AGROGEOAMBIENTAL,"Even though meliponines are among the greatest pollinating agents in Neotropical ecosystems, the populations of these bees are in decline due to anthropic actions, such as the indiscriminate use of pesticides. Neonicotinoids, such as Imidacloprid, are used in many crops and have been shown to be one of the pesticides groups with the most damaging effects on the health of bee colonies. The goals of this work were (1) to evaluate the ability of Melipona quadrifasciata, a native Brazilian stingless bee species, to detect the presence of Imidacloprid in artificial diets, and (2) to evaluate how this insecticide may affect their behavior. For this purpose, behavioral experiments were carried out in observation arenas where artificial flowers containing different concentrations of Imidacloprid (0%, 1%, 5%, 10%, and 20%) were made available to forager bees and their choice and behavior were registered. Our results showed that bee choices were not affected by the different concentrations of Imidacloprid, even at extremely high doses in the flowers (20%). It was also found that the presence of this insecticide interfered with the communication between individuals as a result of reduced antennation events. Both findings, the apparent inability of bees to detect the presence of the insecticide and the change in behavior caused by the exposition to the volatilized product, may rapidly lead to colony losses in nature.",2020,10.18406/2316-1817v12n120201411,12,,0,0.0,,,,0.0,,,,,,0.0,0.0,0.0,1,,1,2
39,Effects of neonicotinoid dust from maize seed-dressing on honeybees,CONF,"['Sgolastra, F', 'Renzi, T', 'Draghetti, S', 'Sciò, C', 'Medrzycki, P', 'Lodesani, M', 'Maini, S', 'Porrini, C']",HAZARDS OF PESTICIDES TO BEES: 11TH INTERNATIONAL SYMPOSIUM OF THE ICP-PR BEE PROTECTION GROUP,,2012,10.5073/jka.2012.437.012,437,,0,,,0.0,,,0.0,,0.0,,,,0.0,,0,,1,3
132,Results of a comprehensive field research programme with the systemic insecticide imidacloprid (Gaucho®),CONF,"['Curé, G', 'Schmidt, HW', 'Schmuck, R']",HAZARDS OF PESTICIDES TO BEES,"Gaucho (R) is a registered trademark for plant protection products which contain the chloronicotinyl insecticide imidacloprid and which are used for seed dressing, e.g. on sunflower seed. Sunflower seed are treated with 0.7 mg a.i./grain which is equivalent to 50 a.i./ha at a planting density of 70,000 plants/ha. In 3 tunnel and 8 field tests it was examined whether this seeddressing could have an influence on honeybees at the time of flowering. Residue analysis of flowers and honeybees were performed to determine the exposure of these pollinating insects during flowering. The residue levels were then compared with effect concentrations as determined in controlled feeding experiments. In none of the 3 tunnel and 8 field tests did the seeddressing with imidacloprid affect the vitality, the foraging activity or the behaviour of the honeybees. From these results it can be reliably concluded that a seeddressing of sunflower seed with imidacloprid has no biological relevance for honeybees. Pollen and nectar of sunflower plants were analysed for the presence of imidacloprid and its relevant metabolites. No quantifiable residue levels were found at a limit of quantitation of 10 ppb. In the controlled feeding experiments under field conditions, no adverse effects were observed on bees fed with spiked sugar solution up to 20 ppb imidacloprid. At higher concentrations (50-100 ppb) honeybees only reduced transitorily the foraging activity which indicates that honeybees realise the presence of imidacloprid at these levels. When these results are compared with the residue levels found in the relevant parts of the, sunflower plants it is evident that the findings of the tunnel and field tests are fully confirmed and that no adverse effects on honeybees must be expected from the use of Gauch (R) in sunflowers.",2001,,,,0,,,,,,,,,,,,,,0,,1,4
34,Effects of Gaucho® seed coating on bumblebees visiting sunflower,CONF,"['Taséi, JN', 'Ripault, G', 'Rivault, E']",HAZARDS OF PESTICIDES TO BEES,"The systemic insecticide Gaucho (R) (imidacloprid) was suspected of affecting honeybees and bumblebees when used as a seed treatment of sunflower crops, flower attractiveness, homing behaviour and colony development being supposed to be modified. Our experiments with Bombus terrestris, aimed, at comparing the behaviour of workers foraging on treated and control plants and the homing rate of colonies placed either in a treated or control field. In greenhouse, workers visited blooming heads of treated and control plants at the same rate and the mean duration of their visits was similar. In field colonies sunflower was visited by 98 % of nectar foragers and 26-29 % of pollen gatherers. After 9 days, 23 % and 33 % of the marked foragers did not return to hives in the control and treated field respectively. In both fields, workers significantly drifted from the centre to the extremities of the colony rows. During the 26-day period under field and laboratory conditions the population increase rate of the 20 colonies was identical. The queen production in both fields was also identical. We concluded that Gaucho (R) seed dressing of sunflower seed coating of sunflower does not affect the foraging and homing behaviour of B. terrestris and its colony development.",2001,,,,0,,,,,,,,,,,,,,0,,1,5
147,"Sub-lethal effects of imidacloprid on bumblebees, Bombus terrestris (Hymenoptera: Apidae), during a laboratory feeding test",JOUR,"['Tasei, JN', 'Lerin, J', 'Ripault, G']",PEST MANAGEMENT SCIENCE,"A laboratory feeding test was conducted on queenless micro-colonies of three bumblebee workers (Bombus terrestris L) to study the effects of low doses of imidacloprid on pollen and syrup consumption, worker survival, brood size and larval development. Two doses were used: D1=10 mu g PLL kg-l in syrup and 6 mu g AI kg(-1) in pollen; D2 was 2.5 times higher in syrup and 2.7 higher in pollen. During 85 days 27, 30 and 29 micro-colonies were reared for control, D1 and D2 treatments respectively. Food consumption was not affected by either dose. During the 5-day pre-oviposition period the mean insecticide intake was 4.8 ng per day per worker in treatment D2. Both doses slightly but significantly affected worker survival rate by 10% during the first month, without any dose-effect relationship. Brood production was significantly reduced in D1 treatment and larval ejection by workers was significantly lower in D1 and D2 than in control. No significant effect of D1 and D2 treatments on the duration of larval development was revealed. No residue could be detected in workers still alive after 85 days. It was concluded that the survival rate and reproductive capacity of B terrestris was not likely to be affected by prolonged ingestion of nectar produced by sunflower after seed-dressing treatment with imidacloprid (Gaucho), since honey or pollen collected by honeybees foraging treated sunflower never revealed concentrations of imidacloprid higher than 10 mu g kg(-1). (C) 2000 Society of Chemical Industry.",2000,10.1002/1526-4998(200009)56:9<784::AID-PS208>3.0.CO;2-T,56,,0,0.0,,,0.0,,,,,,,0.0,0.0,,0,,1,6
19,Clearance of ingested neonicotinoid pesticide (imidacloprid) in honey bees (Apis mellifera) and bumblebees (Bombus terrestris),JOUR,"['Cresswell, J.E.', 'Robert, F.-X.L.', 'Florance, H.', 'Smirnoff, N.']",Pest Management Science,"BACKGROUND: Bees in agricultural landscapes are exposed to dietary pesticides such as imidacloprid when they feed from treated mass-flowering crops. Concern about the consequent impact on bees makes it important to understand their resilience. In the laboratory, the authors therefore fed adult worker bees on dosed syrup (125 μg L-1 of imidacloprid, or 98 μg kg-1) either continuously or as a pulsed exposure and measured their behaviour (feeding and locomotory activity) and whole-body residues. RESULTS: On dosed syrup, honey bees maintained much lower bodily levels of imidacloprid than bumblebees (<0.2 ng versus 2.4 ng of imidacloprid per bee). Dietary imidacloprid did not affect the behaviour of honey bees, but it reduced feeding and locomotory activity in bumblebees. After the pulsed exposure, bumblebees cleared bodily imidacloprid after 48 h and recovered behaviourally. CONCLUSION: The differential behavioural resilience of the two species can be attributed to the observed differential in bodily residues. The ability of bumblebees to recover may be environmentally relevant in wild populations that face transitory exposures from the pulsed blooming of mass-flowering crops. © 2013 Society of Chemical Industry.",2014,10.1002/ps.3569,70,,0,0.0,,,0.0,,,,,,,0.0,0.0,,0,,1,7
164,The impact of chronic exposure to field-level thiamethoxam on sunflower visitation and yield for Apis cerana,JOUR,"['Ma, C.', 'Chen, S.', 'Li, J.', 'Shi, X.', 'Zou, Y.', 'Luo, S.']",Apidologie,"Thiamethoxam (TMX) is one of the most widely used neonicotinoid insecticides. However, it is unclear how TMX alters the flower-visiting behavior and seed production of Apis cerana in sunflowers. We conducted cage experiments to study the impact of chronic exposure (10 days) to TMX at sublethal concentrations of 2.4 μg/kg and 10 μg/kg on the number of flower visits per minute, seed setting percentage, 100-seed weight, and seed yield in sunflowers. Bees treated with TMX demonstrated a significantly lower number of flower visits per minute compared with the control group. Although we did not observe a significant difference in yield parameters between TMX treatments and the control group, a positive correlation was observed between yield and the bees’ flower visitation rate. Our study highlights the concern that exposure to field-level concentrations of TMX could pose a threat to the pollination services provided by A. cerana for other crops and wildflowers. © 2023, INRAE, DIB and Springer-Verlag France SAS, part of Springer Nature.",2024,10.1007/s13592-023-01052-6,55,0.0,0,,0.0,,,0.0,,,,,,,0.0,,0,,1,8
78,Interaction between Varroa destructor and imidacloprid reduces flight capacity of honeybees,JOUR,"['Blanken, L.J.', 'van Langevelde, F.', 'van Dooremalen, C.']",Proceedings of the Royal Society B: Biological Sciences,"Current high losses of honeybees seriously threaten crop pollination. Whereas parasite exposure is acknowledged as an important cause of these losses, the role of insecticides is controversial. Parasites and neonicotinoid insecticides reduce homing success of foragers (e.g. by reduced orientation), but it is unknown whether they negatively affect flight capacity. We investigated how exposing colonies to the parasitic mite Varroa destructor and the neonicotinoid insecticide imidacloprid affect flight capacity of foragers. Flight distance, time and speed of foragers were measured in flight mills to assess the relative and interactive effects of high V. destructor load and a field-realistic, chronic sub-lethal dose of imidacloprid. Foragers from colonies exposed to high levels of V. destructor flew shorter distances, with a larger effect when also exposed to imidacloprid. Bee body mass partly explained our results as bees were heavier when exposed to these stressors, possibly due to an earlier onset of foraging. Our findings contribute to understanding of interacting stressors that can explain colony losses. Reduced flight capacity decreases the food-collecting ability of honeybees and may hamper the use of precocious foraging as a coping mechanism during colony (nutritional) stress. Ineffective coping mechanisms may lead to destructive cascading effects and subsequent colony collapse. © 2015 The Author(s) Published by the Royal Society. All rights reserved.",2015,10.1098/rspb.2015.1738,282,,0,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,,0,,1,9
35,Effects of bee density and sublethal imidacloprid exposure on cluster temperatures of caged honey bees,JOUR,"['Meikle, W.G.', 'Adamczyk, J.J.', 'Weiss, M.', 'Gregorc, A.']",Apidologie,"Survivorship, syrup consumption, and cluster temperatures of honey bees were kept in hoarding cages with different numbers of bees. Cages with either 50, 100, 150, or 200 bees each were monitored over 4–6 weeks in incubators with 12h/12h 30° C/15° C temperature cycles to induce clustering. Survivorship and syrup consumption rates per bee were not different among the bee density groups, but cluster temperatures were. Cluster temperatures ranged from 0.45°C above incubator temperature in the 50 bee cages to 4.05° C in the 200 bee cages over the 1st 7 days, with each additional bee adding on average 0.02° C to cluster temperature. In another set of experiments, cages were established with about 200 bees each, and imidacloprid added to the syrup at 0, 5, 20, and 100 ppb. Imidacloprid in the syrup did not affect bee survivorship but it did reduce syrup consumption per bee, with bees fed 100 ppb imidacloprid syrup consuming on average 631 mg per bee over 28 days while average consumption among the other groups ranged from 853 to 914 mg. Cluster temperature was affected by imidacloprid treatment: bees fed 5 ppb imidacloprid syrup had higher cluster temperatures over the 1st 10 days, 4.17° C above incubator temperature, than either bees fed 100 ppb syrup or control (2.35 and 3.19° C, respectively). © 2018, The Author(s).",2018,10.1007/s13592-018-0585-z,49,,0,,0.0,0.0,,,,,,,,,,,0,,1,10
