title,record_id,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT,asreview_prior,exported_notes_1,included,asreview_ranking
4.13 Synergistic effects between variety of insecticides and an EBI fungicide combinations on bumble bees (Bombus terrestris L.),1049,CONF,"['Raimets, R', 'Mänd, M', 'Cresswell, JE']",HAZARDS OF PESTICIDES TO BEES,"In recent year's severe decline in honey bees as well as in bumble bee populations have been observed all over the world. Pesticides have been proposed as one of the main cause of pollinators decline. Several studies show that variety of pesticides co-exist in environment and also in bee products at the same time and might therefore synergise. Fipronil, cypermethrin, thiamethoxam and imidacloprid are agriculturally well known and used insecticides as well as fungicide imazalil. EBI fungicides like imazalil are functioning as detoxification inhibitor tools in insects. Thereby, the fungicide and insecticide co-occurrence might lead to synergy in bees. The cocktail-effects between insecticides and fungicides are still little studied. Aim of this study was to assess the impact of previously mentioned pesticides and their mixtures impact on bumble bee longevity and feeding rate. The bumblebee (Bombus terrestris L.) were fed with syrup containing different single pesticides and their combinations. Bees mortality and feeding rate was daily monitored. Here we show that 3 of these insecticides are synergising with fungicide and due that causing significant decrease in bumble bees longevity and feeding rate. The results from this experiment allows us to suppose that EBI fungicide imazalil inhibits the detoxification processes in bees and due that toxicity of insecticides increases. Although fungicides are considered as quite safe to bees when used appropriately and alone but in combination with insecticides might lead to faster individual death. Several studies have demonstrated impacts of single pesticides on bees, but yet there is a lack of data of synergistic effects. Future research should focus on synergistic effects of environmentally relevant doses of EBI fungicides and insecticides on pollinators longevity and physiology.",2018,"10.5073/jka.2018,462.052",462,,0,1.0,,,1.0,,,,0.0,0.0,,0.0,0.0,,,,,
5.1 Large-scale monitoring of effects of clothianidin dressed OSR seeds on pollinating insects in Northern Germany: Effects on large earth bumblebees (Bombus terrestris),365,CONF,"['Sterk, G', 'Peters, B', 'Gao, ZL', 'Zumkier, U']",HAZARDS OF PESTICIDES TO BEES,"beta-cyfluthrin / kg seed) on the development, reproduction and behaviour of large earth bumblebees (Bombus terrestris) as part of a large scale monitoring field study in Northern Germany, where OSR is usually cultivated at 25-33% of the arable land. For both reference and test site, six study locations were selected and ten bumblebee hives were placed at each location. In each site, three locations were directly adjacent to OSR fields, three locations were situated 400 m apart from the nearest OSR field. The development of colonies was monitored from the begin of OSR blossom in April until June 2014. Pollen from returning foragers was analysed for its composition and residue content. At the end of OSR blossom hives were removed from the study sites and eventually dissected assessing young queens as well as the undeveloped queen brood cells. An average of 44% of OSR pollen was found in the pollen loads of bumblebees indicating that 0513 was a major resource for the colonies. Colony development in terms of hive weight and the number of workers showed a typical course no statistically significant differences were found between the sites. Reproductive output (young queens and queen brood) cells was comparatively high and not negatively affected by the exposure to treated OSR. In summary, Elado (R)-dressed OSR did not cause any detrimental effects on the development or reproduction of bumblebee colonies.",2018,10.5073/jka.2018.462.054,462,,0,0.0,,0.0,,,,,,,,1.0,,,,,,
A Combined LD50 for Agrochemicals and Pathogens in Bumblebees (Bombus terrestris [Hymenoptera: Apidae]),20,JOUR,"['Siviter, H', 'Matthews, AJ', 'Brown, MJF']",ENVIRONMENTAL ENTOMOLOGY,"Neonicotinoid insecticides are the most commonly used insecticide in the world and can have significant sub-lethal impacts on beneficial insects, including bumblebees, which are important pollinators of agricultural crops and wild-flowers. This has led to bans on neonicotinoid use in the EU and has resulted in repeated calls for the agrochemical regulatory process to be modified. For example, there is increasing concern about 1) the underrepresentation of wild bees, such as bumblebees, in the regulatory process, and 2) the failure to determine how agrochemicals, such as neonicotinoids, interact with other commonly occurring environmental stressors, such as parasites. Here, we modify an OECD approved lethal dose (LD50) experimental design and coexpose bumblebees (Bombus terrestris) to the neonicotinoid thiamethoxam and the highly prevalent trypanosome parasite Crithidia bombi, in a fully crossed design. We found no difference in the LD50 of thiamethoxam on bumblebees that had or had not been inoculated with the parasite (Crithidia bombi). Furthermore, thiamethoxam dosage did not appear to influence the parasite intensity of surviving bumblebees, and there was no effect of either parasite or insecticide on sucrose consumption. The methodology used demonstrates how existing ring-tested experimental designs can be effectively modified to include other environmental stressors such as parasites. Moving forward, the regulatory process should implement methodologies that assess the interactions between agrochemicals and parasites on non-Apis bees and, in cases when this is not practical, should implement post-regulatory monitoring to better understand the real-world consequences of agrochemical use.",2022,10.1093/ee/nvab139,51,,0,0.0,,,,1.0,,,,,,0.0,,,,,,
A Comparison of Pollen and Syrup Exposure Routes in Bombus impatiens (Hymenoptera: Apidae) Microcolonies: Implications for Pesticide Risk Assessment,564,JOUR,"['Weitekamp, C.A.', 'Koethe, R.W.', 'Lehmann, D.M.']",Environmental Entomology,"Bumble bees are important pollinators for both native plants and managed agricultural systems. Accumulating evidence has shown that pesticides, including neonicotinoids, can have a range of adverse effects on bumble bee health. Most laboratory studies that assess the effects of chronic neonicotinoid exposure on bumble bees use syrup as the delivery vehicle, rather than pollen. However, in the field, it is likely that bumble bees are exposed to neonicotinoids in both nectar (syrup) and pollen. To examine the potential for different effects based on the vehicle, we compared two studies of chronic exposure to the neonicotinoid acetamiprid in Bombus impatiens microcolonies. We examined correlations between microcolony endpoints and identified associations between the timing of colony pollen and syrup consumption and drone production. Furthermore, in line with previous results, we found that average drone weight was affected at a range of doses only when microcolonies were exposed to acetamiprid via pollen. In general, our analyses point to the importance of the treatment vehicle and suggest that critical effects on developing brood could be missed when neonicotinoid exposure occurs only through syrup.  © 2022 Published by Oxford University Press on behalf of Entomological Society of America.",2022,10.1093/ee/nvac026,51,,0,0.0,,0.0,0.0,,,,,,,1.0,,,,,,
A Four-Year Field Program Investigating Long-Term Effects of Repeated Exposure of Honey Bee Colonies to Flowering Crops Treated with Thiamethoxam,963,JOUR,"['Pilling, E.', 'Campbell, P.', 'Coulson, M.', 'Ruddle, N.', 'Tornier, I.']",PLoS ONE,"Neonicotinoid residues in nectar and pollen from crop plants have been implicated as one of the potential factors causing the declines of honey bee populations. Median residues of thiamethoxam in pollen collected from honey bees after foraging on flowering seed treated maize were found to be between 1 and 7 μg/kg, median residues of the metabolite CGA322704 (clothianidin) in the pollen were between 1 and 4 μg/kg. In oilseed rape, median residues of thiamethoxam found in pollen collected from bees were between <1 and 3.5 μg/kg and in nectar from foraging bees were between 0.65 and 2.4 μg/kg. Median residues of CGA322704 in pollen and nectar in the oilseed rape trials were all below the limit of quantification (1 μg/kg). Residues in the hive were even lower in both the maize and oilseed rape trials, being at or below the level of detection of 1 μg/kg for bee bread in the hive and at or below the level of detection of 0.5 μg/kg for hive nectar, honey and royal jelly samples. The long-term risk to honey bee colonies in the field was also investigated, including the sensitive overwintering stage, from four years consecutive single treatment crop exposures to flowering maize and oilseed rape grown from thiamethoxam treated seeds at rates recommended for insect control. Throughout the study, mortality, foraging behavior, colony strength, colony weight, brood development and food storage levels were similar between treatment and control colonies. Detailed examination of brood development throughout the year demonstrated that colonies exposed to the treated crop were able to successfully overwinter and had a similar health status to the control colonies in the following spring. We conclude that these data demonstrate there is a low risk to honey bees from systemic residues in nectar and pollen following the use of thiamethoxam as a seed treatment on oilseed rape and maize. © 2013 Pilling et al.",2013,10.1371/journal.pone.0077193,8,,0,0.0,0.0,,0.0,,,,,,1.0,1.0,,,,,,
A Locomotor Deficit Induced by Sublethal Doses of Pyrethroid and Neonicotinoid Insecticides in the Honeybee Apis mellifera,149,JOUR,"['Charreton, M', 'Decourtye, A', 'Henry, M', 'Rodet, G', 'Sandoz, JC', 'Charnet, P', 'Collet, C']",PLOS ONE,"The toxicity of pesticides used in agriculture towards non-targeted organisms and especially pollinators has recently drawn the attention from a broad scientific community. Increased honeybee mortality observed worldwide certainly contributes to this interest. The potential role of several neurotoxic insecticides in triggering or potentiating honeybee mortality was considered, in particular phenylpyrazoles and neonicotinoids, given that they are widely used and highly toxic for insects. Along with their ability to kill insects at lethal doses, they can compromise survival at sublethal doses by producing subtle deleterious effects. In this study, we compared the bee's locomotor ability, which is crucial for many tasks within the hive (e.g. cleaning brood cells, feeding larvae...), before and after an acute sublethal exposure to one insecticide belonging to the two insecticide classes, fipronil and thiamethoxam. Additionally, we examined the locomotor ability after exposure to pyrethroids, an older chemical insecticide class still widely used and known to be highly toxic to bees as well. Our study focused on young bees (day 1 after emergence) since (i) few studies are available on locomotion at this stage and (ii) in recent years, pesticides have been reported to accumulate in different hive matrices, where young bees undergo their early development. At sublethal doses (SLD48h, i.e. causing nomortality at 48h), three pyrethroids, namely cypermethrin (2.5 ng/bee), tetramethrin (70 ng/bee), tau-fluvalinate (33 ng/bee) and the neonicotinoid thiamethoxam (3.8 ng/bee) caused a locomotor deficit in honeybees. While the SLD48h of fipronil (a phenylpyrazole, 0.5 ng/bee) had no measurable effect on locomotion, we observed high mortality several days after exposure, an effect that was not observed with the other insecticides. Although locomotor deficits observed in the sublethal range of pyrethroids and thiamethoxam would suggest deleterious effects in the field, the case of fipronil demonstrates that toxicity evaluation requires information on multiple endpoints (e.g. long term survival) to fully address pesticides risks for honeybees. Pyrethroid-induced locomotor deficits are discussed in light of recent advances regarding their mode of action on honeybee ion channels and current structure-function studies.",2015,10.1371/journal.pone.0144879,10,,0,,1.0,,1.0,,,,,,,,0.0,,,,,
A Pediococcus strain to rescue honeybees by decreasing Nosema ceranae- and pesticide-induced adverse effects,721,JOUR,"['Peghaire, E.', 'Moné, A.', 'Delbac, F.', 'Debroas, D.', 'Chaucheyras-Durand, F.', 'El Alaoui, H.']",Pesticide Biochemistry and Physiology,"Honeybees ensure a key ecosystemic service by pollinating many agricultural crops and wild plants. However, since few decades, managed bee colonies have declined worldwide. This phenomenon is considered to be multifactorial, with a strong emphasis on both parasites and pesticides. Infection by the parasite Nosema ceranae and exposure to pesticides can contribute to adverse effects, resulting in a perturbation of the honeybee physiology. We thus hypothesized that probiotic treatment could be promising to treat or prevent these disturbances. The aim of this study was to evaluate the effects of probiotics on N. ceranae-infected and intoxicated honeybees (by the insecticide thiamethoxam and the fungicide boscalid). For this purpose, experiments were conducted with five probiotics. Among them, Pediococcus acidilactici (PA) showed the best protective effect against the parasite and pesticides. PA significantly improved the infected honeybee lifespan as prophylactic and curative treatments (respectively 2.3 fold and 1.7 fold). Furthermore, the exposure to pesticides induced an increase of honeybee mortality compared with the control group (p < .001) that was restored by the PA treatment. Despite its beneficial effect on honeybee lifespan, the PA administration did not induce changes in the gut bacterial communities (neither in abundance or diversity). N. ceranae and the pesticides were shown to deregulate genes involved in honeybee development (vitellogenin), immunity (serine protease 40, defensin) and detoxification system (glutathione peroxidase-like 2, catalase), and these effects were corrected by the PA treatment. This study highlights the promising use of PA to protect honeybees from both pathogens and pesticides. © 2019 Elsevier Inc.",2020,10.1016/j.pestbp.2019.11.006,163,,0,1.0,,,,0.0,,,1.0,1.0,,0.0,,,,,,
A RAPID AND EASY BIOASSAY METHOD FOR STINGLESS BEES TETRAGONULA TRAVANCORICA SHANAS AND FASEEH,249,JOUR,"['Vineetha, V.', 'Chellappan, M.', 'Pathrose, B.']",Indian Journal of Entomology,"An attempt was made to develop an effective bioassay method for toxicological studies for the stingless bee, Tetragonula travancorica Shanas and Faseeh. The developed bioassay employed stingless bees sampled from the forest area with no history of past insecticide exposure and vegetable ecosystem having frequeninsecticide exposure with insecticides viz., chlorantraniliprole and thiamethoxam. A residual film bioassay using pre-treated conical flasks and transferring the bees to the treated flasks in the field itself was easy and less time-consuming. Stingless bees survived for 12 hours in the control flasks with the bioassay method III. Whereas mortality was significantly low in bioassay method I and II within 3h and 6h, respectivelyChlorantraniliprole was less toxic (LC50 – 10.98 ppm to 17.30 ppm) to stingless bees than thiamethoxam (LC50 – 0.30 ppm to 0.78 ppm). Thiamethoxam was highly toxic (LC50 – 0.30 ppm to 0.37 ppm) to bees from the forest ecosystem, whereas bees in the vegetable ecosystem were more tolerant (LC50 – 0.67 ppm to 0.78 ppm). The findings may help carry out ecotoxicology and risk assessment studies in stingless beesa key pollinator of many crops, more rapidly and easily. © 2023, The Entomological Society of India. All rights reserved.",2023,10.55446/IJE.2022.582,85,,0,0.0,,1.0,,1.0,,,0.0,,,0.0,,,,,,
A Spinosad-Based Formulation Reduces the Survival and Alters the Behavior of the Stingless Bee Plebeia lucii,688,JOUR,"['Marques, R.D.', 'Lima, M.A.P.', 'Bernardes, R.C.']",Neotropical Entomology,"The decline in bee populations worldwide has been associated with the use of pesticides in crop systems where these insects forage. The use of biopesticides, like spinosad, is preferred as an alternative method to control pests, because it is considered safer to non-target insects. In this study, we evaluated the lethal and sublethal effects of the spinosad-based formulation Tracer® on foragers of the stingless bee Plebeia lucii Moure (Apidae: Meliponini). Groups of bees were fed a pure diet (negative control) or a diet at different concentrations of spinosad. Positive control groups consisted of bees orally exposed to a diet with the neonicotinoid imidacloprid. Next, flight behavior, body mass, and respiration rate were evaluated in surviving bees. The results showed that bees´ survival was reduced by all concentrations of spinosad, when compared with the negative control. Bee locomotion—walking and flight—was reduced in accordance with the increase in spinosad concentrations; however, body mass and respiration rate were not altered. Our results show that the use of Tracer® in ecosystems visited by P. lucii can reduce forager bee survival and reduce their locomotion, generating a negative impact on pollination services provided by these bees. © 2020, Sociedade Entomológica do Brasil.",2020,10.1007/s13744-020-00766-x,49,,0,,1.0,,,0.0,,,0.0,0.0,,,0.0,0.0,,,,
A Sublethal Concentration of Sulfoxaflor Has Minimal Impact on Buff-Tailed Bumblebee (Bombus terrestris) Locomotor Behaviour under Aversive Conditioning,489,JOUR,"['James, L.', 'Reynolds, A.M.', 'Mellor, I.R.', 'Davies, T.G.E.']",Toxics,"Pesticide exposure has been cited as a key threat to insect pollinators. Notably, a diverse range of potential sublethal effects have been reported in bee species, with a particular focus on effects due to exposure to neonicotinoid insecticides. Here, a purpose-built thermal–visual arena was used in a series of pilot experiments to assess the potential impact of approximate sublethal concentrations of the next generation sulfoximine insecticide sulfoxaflor (5 and 50 ppb) and the neonicotinoid insecticides thiacloprid (500 ppb) and thiamethoxam (10 ppb), on the walking trajectory, navigation and learning abilities of the buff-tailed bumblebee (Bombus terrestris audax) when subjected to an aversive conditioning task. The results suggest that only thiamethoxam prevents forager bees from improving in key training parameters (speed and distanced travelled) within the thermal visual arena. Power law analyses further revealed that a speed–curvature power law, previously reported as being present in the walking trajectories of bumblebees, is potentially disrupted under thiamethoxam (10 ppb) exposure, but not under sulfoxaflor or thiacloprid exposure. The pilot assay described provides a novel tool with which to identify subtle sublethal pesticide impacts, and their potential causes, on forager bees, that current ecotoxicological tests are not designed to assess. © 2023 by the authors.",2023,10.3390/toxics11030279,11,,0,1.0,1.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,
