title,record_id,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT,asreview_prior,exported_notes_1,included,asreview_ranking
A semi-field study to evaluate effects of sulfoxaflor on honey bee (Apis mellifera),848,JOUR,"['Cheng, Y.', 'Bu, Y.', 'Tan, L.', 'Wu, W.', 'Li, J.', 'Zhou, J.', 'Zhai, A.', 'Shan, Z.']",Bulletin of Insectology,"A semi-field study was conducted to investigate the effect of sulfoxaflor on honey bees and the residues in matrices after being used on cucumber. A suspension of 22% sulfoxaflor concentration was applied on cucumber at full bloom, at the rates of 75 g a.i./ha and 100 g a.i./ha, both with 2 applications at 6-day interval. Colonies were introduced into the tunnels one day after the first application, then mortality and behaviour of the test bees were observed and recorded every day. Cucumber flowers were taken and analysed for sulfoxaflor residues. The second application occurred 6 days later, then, observations of mortality and behaviour were conducted for 5 days, and then the colonies were removed from the tunnels and transported back to the apiary for 14 days additional observation. Besides, general conditions of the colonies were assessed before and after exposure, at the end of the field study. After being introduced into the tunnels, the colonies stabilized after 3 days’ adaption. During the exposure period, sulfoxaflor showed lethal toxicity on bees, but the effect was less than that caused by dimethoate. After being removed from the tunnels, the mortalities of all groups fluctuated at a low level, indicating that sulfoxaflor had no long-term lethal effect on bees. During the whole exposure period, sulfoxaflor had no effect on the flight intensity of the bees. Meanwhile, sulfoxaflor had no obvious adverse effect on the strength and the condition of the test colonies. Residue analysis showed that: on the days of application, the residue of sulfoxaflor in cucumber flower was between 5.004 mg/kg and 5.832 mg/kg. After the applications, the residue of sulfoxaflor reduced gradually, until the 6th day after the first application, the residue reduced to 0.100~0.198 mg/kg, until the 5th day after the second application, the residue reduced to 0.155~0.304 mg/kg. © 2018, Department of Agricultural and Food Sciences. All rights reserved.",2018,,71,,0,0.0,,,0.0,,,,0.0,,,1.0,,,,,,
ACUTE ORAL TOXICITY OF NEONICOTINOIDS ON DIFFERENT HONEY BEE STRAINS,1029,JOUR,"['Laurino, D', 'Manino, A', 'Patetta, A', 'Ansaldi, M', 'Porporato, M']",REDIA-GIORNALE DI ZOOLOGIA,"Neonicotinoids are a class of relatively new insecticides, designed in the '80s, characterized by their excellent feedback, since they are highly systemic and with long-term persistence. These insecticides, however, show very strong toxicity to pollinating insects and in particular to the honey bee, besides causing also other effects which are often not easily identifiable, such as behavioural disturbances, orientation difficulties, and impairment of social activities. During the past few years, in many countries, alarming bee mortality rates were recorded. In some cases this was clearly due to the use of neonicotinoids either for seed dressing or crop spraying. It was therefore considered appropriate to test on three strains of Apis mellifera of Piedmontese origin and referable to A. in. ligustica in the laboratory both the acute oral toxicity of Imidacloprid, which had been, in use for many years, and Clothianidin and Thiametoxam, only more recently introduced in Italy. To reach this aim, methods developed at the Di.Va.P.R.A. and applied in several previous studies, were used. Commercial products were used throughout the tests. They were tested at the recommended concentration for field treatments. When mortality was higher in the tested bees than in the untreated ones, the active ingredients were tested at gradually decreasing concentrations so as to reach a mortality not significantly different from that found in the untreated controls. The LD(50) calculated for Clothianidin and Thiametoxam were lower than for imidacloprid; the differences between the honey bee strains for the same active ingredient were slight.",2010,,93,,0,0.0,0.0,,,1.0,,,,,,0.0,,,,,,
ATTRACTIVENESS AND TOXICITY OF IMIDACLOPRID AND DELTAMETHRIN INSECTICIDES AGAINST Tetragonula laeviceps SMITH (Hymenoptera: Apidae: Meliponini),463,JOUR,"['Mubin, N.', 'Audia, B.H.', 'Nurulalia, L.']",Journal of the International Society for Southeast Asian Agricultural Sciences,"Tetragonula laeviceps is one of the bees that plays an essential role in pollinating plants. Currently, the existence of bee populations is in danger of decreasing. One of the reasons was the inappropriate use of pesticides. The pesticide groups that influence bee behavior and mortality are neonicotinoid and pyrethroid. This study sought to determine the attractiveness and toxic effect of imidacloprid (neonicotinoid) and deltamethrin (pyrethroid) insecticides on T. laeviceps. The experiments were conducted on May to July 2022 at Insect Physiology and Toxicology Laboratory, Department of Plant Protection, Faculty of Agriculture, Bogor Agricultural University. The olfactory response of T. laeviceps was carried out using a Y-tube olfactometer with odor sources including imidacloprid (200 ppm), deltamethrin (12.5 ppm), mineral water and honey. Toxicity bioassays of T. laeviceps were carried out by topical, residual, and oral applications at five insecticide concentrations. Bees were more attracted to honey and water than imidacloprid 200 ppm or deltamethrin 12.5 ppm, while the attractiveness between imidacloprid 200 ppm and deltamethrin 12.5 ppm did not show a significant difference. The toxic effect of imidacloprid on T. laeviceps was greater than deltamethrin for the three different bioassays of insecticides. These two active ingredients were classified as highly toxic (LD50 <2 μg/bee) based on EPA classification. The implication of these results is the farmer should not spray the insecticide particularly imidacloprid and deltamethrin on their chili plantation during flowering stages. © 2023, International Society for Southeast Asian Agricultural Sciences. All rights reserved.",2023,,29,,0,,0.0,1.0,,,,,,,,,,,,,,
"Acute lethal effect of the commercial formulation of the insecticides Imidacloprid, Spinosad y Thiocyclam hidrogenoxalate in Bombus atratus (Hymenoptera: Apidae) workers",22,JOUR,"['Jiménez, DR', 'Cure, JR']",REVISTA DE BIOLOGIA TROPICAL,"The effect of insecticides on bees has gained great attention, however, there are few studies that explore this issue on Neotropical bees. Bombus atratus is a neotropical species broadly distributed in Colombia and is considered an important pollinator of both Andean ecosystems and agroecosystems. However, as for many wild bees species, the effect of insecticides on B. atratus is unknow. In this study we determined the acute median lethal dose (LD50) of commercial formulations of insecticides Imidacloprid, Spinosad and Thiocyclam hydrogen oxalate, widely used in Colombia to control several pests of important crops. The LD50 was carried out by oral and contact routes, following and modifying the EPPO and OECD guidelines to perform LD50 on A. mellifera. We evaluated five doses for each route and insecticide, in a total of 25 medium-size workers for each dose by duplicate. Mortality was registered at 24, 48 and 72 hours after the experiment; and data were analyzed with the Probit regression model. For Imidacloprid, contacts and oral LD50 were 0.048 mu g/bee and 0.010 mu g/bee, respectively. For Thiocyclam hydrogen oxalate, topical and oral LD50 were 0.244 mu g/bee and 0.056 mu g/bee, respectively. For Spinosad, the oral LD50 corresponded to 0.28 mu g/bee; it was not possible to establish the LD50 for the contact route. The Hazard Quotient (HQ) and Index of Relative Toxicity indicated that all three active ingredients are highly toxic. We discussed the risk of the insecticides use on B. atratus, considering their chemical nature.",2016,,64,,0,,0.0,1.0,,1.0,,,,,,,0.0,,,,,
Assessment of sensitivity level of honeybee (Apis mellifera) to neonicotinoid insecticides,801,JOUR,"['Imran, M.', 'Naseem, T.', 'Iqbal, A.', 'Mahmood, K.', 'Sheikh, U.A.A.']",Asian Journal of Agriculture and Biology,"Declining population of honeybee day by day is the major threat, and this decline is due to variety of stressors. As honeybees are considered most important pollinators of our managed and wild corps, we investigated the effect of neonicotinoids; acetamiprid, imidacloprid, thiacloprid and clothianidin on honeybees by ingestion and contact method. Finding of this study showed that among these neonicotinoids, imidacloprid and thiacloprid were most toxic insecticides with 100% mortality at realistic field doses by ingestion method with sugar solution as a substitute of nectar after the exposure of 3hrs. Honeybee's workers exposed with insecticides mixed pollen grains showed that imidacloprid and clothianidin were most toxic as compared to other insecticides at recommended field dose with 100% mortality and minimum mortality with 60% was observed at thiacloprid field dose after 3hrs exposure. The results of contact toxicity showed that all four insecticides were most toxic with wet filter paper with 100% mortality at recommend field dose after the exposure of 3hr, and with dry filter paper imidacloprid and thiacloprid showed 100% mortality and acetamiprid and clothianidin with 53.3% mortality after the exposure of 3hrs at field dose. Overall conclusion from the present study indicates that from these four insecticides imidacloprid was the most toxic as compared to all others on both ingestion and contact method at recommended field dose. © 2018. All Rights Reserved.",2018,,6,,0,0.0,,,1.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,
Comparative toxicity of certain insecticides against apis cerana indica under semi field and laboratory conditions,983,JOUR,"['Jeyalakshmi, T.', 'Shanmugasundaram, R.', 'Saravanan, M.', 'Geetha, S.', 'Mohan, S.S.', 'Goparaju, A.', 'Balakrishna Murthy, R.']",Pestology,"Comparative toxicity of certain insecticides viz., Thiamethoxam 25%WG Cypermethrin 10% EC, Imidacloprid 17.8% SL Clothianidin 50% WDG at three dose levels under semi-field condition with the acute toxicity at laboratory condition (LD 50). Studies were conducted to the Indian honey bee, Apis cerana indica. Three replicates for each dose level were maintained for both semi field and laboratory experiments. In the semi field study, treated sunflowers were brought under laboratory condition at different time points after spray in the field and bees were exposed. Simultaneously, acute contact toxicity was performed for the same set of insecticides by dosing the bees with different test concentrations. Mortality was observed at 24 hours after exposure for both the tests. The toxicity order of the insecticides on honeybee when assessed under semi field condition was Clothianidin > Imidacloprid > Cypermethrin > Thiamethoxam. The order of toxicity based on acute toxicity experiments conducted under laboratory conditions was Clothianidin > Thiamethoxam > Imidacloprid > Cypermethrin.",2011,,35,,0,0.0,,,,1.0,,,0.0,,,1.0,,,,,,
Ecotoxicological QSAR Modeling of Organophosphorus and Neonicotinoid Pesticides,478,CHAP,"['Bora, A', 'Crisan, L', 'Borota, A', 'Funar-Timofei, S', 'Ilia, G']",ECOTOXICOLOGICAL QSARS,"Organophosphorus and neonicotinoid pesticides are important agrochemicals used worldwide. The beginning of the quantitative structure-activity/toxicity relationship (QSAR/QSTR) field, after the 1960s, is related to the study of the organophosphorus pesticide activity. QSARs have been recognized as an important research direction in the field of medicinal, analytical chemistry, toxicology, pharmaceutical, and environmental chemistry. The main aim of QSAR/QSTR models is to find reliable relationships between the biological activity/toxicity and the experimental or theoretical compound molecular descriptors, to design new structures with improved target properties and safety profile. In this chapter, successful QSAR models are presented for the ecotoxicological data of organophosphorus and neonicotinoid pesticides. In particular, QSAR models for organophosphorus aquatic and terrestrial organism ecotoxicity; for the neonicotinoid toxicity against the honeybees, Musca domestica L., American cockroach, and aphids (Aphis craccivora and Myzus persicae); and for the inhibition ability of acetylcholinesterase and other enzymes by organophosphorus pesticides are presented. The literature data indicate a large variety of QSAR approaches employed in these published studies. In case of organophosphorus pesticides, many available ecotoxicity data for human beings and animals were employed in the computational studies. For the neonicotinoid pesticides a limited number of QSAR models were reported, especially due to the lack of the degradability and aquatic organism toxicity data. The ligand-based combined with structure-based approaches remain a powerful tool in the design of new environment-friendly and less toxic organophosphorus and neonicotinoid pesticides.",2020,,,,0,0.0,0.0,0.0,,0.0,,,0.0,1.0,,0.0,,,,,,
Effect of insecticides on mustard aphid (Lipaphis erysimi) Kalt. and their toxicity to the beneficial insects,353,JOUR,"['Khan, S.', 'Bhadauria, N.S.', 'Shrivastava, V.K.']","Ecology, Environment and Conservation","Eight chemical insecticides Dimethoate, Acephate, Chilorantraniliprote, Acetamiprid, Oxydemeton-methyl, Imidacloprid, Thiamethoxam, Diafenthiuron and Neem leaves extract 5% were tested against musturd aphid and their toxicity effect on beneficial insects in the department of Entomology College of agriculture, R.V.S.K.V.V. Gwalior. Imidacloprid was found most effective against mustard aphid followed by Thiamethoxam and Dimethoate. Among chemical insecticide Acetamiprid was found less toxic to D. rapae followed by acephate. Diafenthiuron was less toxic to coccinellid beetle followed by acephate and Acetamiprid. Acephate less toxic to honey bee follwed by Diafenthiuron and Acetamiprid. Neem leaves extract 5% was found less toxic to D. rapae, Coccinellid beetle and pollinator (Honey bee) in comparison to chemical insecticides. Maximum grain yield was obtained in Imidacloprid followed by Thiamethoxam and Acetamiprid. Copyright © EM International.",2016,,22,,0,0.0,,,,1.0,,,0.0,,,0.0,0.0,,,,,
Effect of some insecticides on acetylcholinesterase activity of giant honey bee (Apis dorsata F.),126,JOUR,"['Rathee, N.', 'Deswal, S.', 'Nehra, K.S.']",Annals of Biology,"Responses in the activity of enzyme systems are used as biomarkers to assess the lethal effect of insecticides on non-target insects and human beings. The comparative effect of 11 commonly used insecticides was examined on workers of Apis dorsata F. for the inhibition of head acetylcholinesterase activity. Different samples of bees were fed with different concentrations of insecticides in sugar-water solution and the inhibitory effects were studied in terms of percentage inhibition in the head tissue of the honey bees. It was revealed that all the organophosphates inhibited AChE at the normal recommended concentration. Chlorpyriphos, methyl-parathion and triazophos proved to be the most potent inhibitors causing an inhibition in the range of 91 to 98% under different feeding methods. Thiodicarb inhibited the enzyme to a level where apparent signs of poisoning could be visible, whereas carbosulfan did not prove to be anticholinesterase in action. Diflubenzuron, flufenoxuron and azadirachtin also proved to be non-anticholinesterase in their action. Imidacloprid also proved to be inhibitory in action (66% inhibition) under contact toxicity mode of application.",2015,,31,,0,,0.0,0.0,,,,,0.0,0.0,,,1.0,,,,,
Effect of spinosad on honey bees (Hymenoptera: Apidae) in Guatemala,32,JOUR,"['Spencer, JP', 'Ibarra, J', 'Rendón, PA']",SOUTHWESTERN ENTOMOLOGIST,"A field evaluation of the effects of aerially applied spinosad bait spray (Success 0.02 CB(TM)), used by the area-wide Mediterranean fruit fly, Ceratitis capitata (Wiedemann) eradication program in Guatemala, on honey bees, Apis mellifera Linnaeus, and hive activity was conducted during the 2000 spray season. The parameters monitored were adult bee mortality, brood size, pollen reserves, panels of honey, panels of adults, and hive weight. Statistical analysis of the data revealed no significant differences between parameters in the treated and control area, demonstrating that there were no deleterious effects on the bee population due to the spinosad applications.",2003,,28,,0,0.0,,0.0,,,,,0.0,,,1.0,0.0,,,,,
"Effects of a neonicotinoid seed treatment in winter oilseed rape (active substance clothianidin) on colony development, longevity, and development of hypopharyngeal glands of honey bees (Apis mellifera L.) in field, semi-field and cage tests.",38,CONF,"['Blum, E', 'Illies, I', 'Härtel, S', 'Pistorius, J']",HAZARDS OF PESTICIDES TO BEES: 12TH INTERNATIONAL SYMPOSIUM OF THE ICP-PR BEE PROTECTION GROUP,,2015,,450,,0,,,,,0.0,,,,,,,1.0,,,,,
Effects of neonicotinoid dust from maize seed-dressing on honey bees,989,JOUR,"['Sgolastra, F.', 'Renzi, T.', 'Draghetti, S.', 'Medrzycki, P.', 'Lodesani, M.', 'Maini, S.', 'Porrini, C.']",Bulletin of Insectology,"In Northern Italy from 2000 to 2008, many spring bee mortalities were clearly linked to sowing of maize seeds dressed with insecticides. In the present study, we investigated the effects on honey bees of clothianidin derived from maize seed-dressing (Poncho®) in laboratory (test by indirect contact) and in semi-field conditions. Despite the reduction of dust dispersion due to the application of the best available sowing techniques (pneumatic seeder equipped with deflector, improvement of seed-dressing quality) our results showed negative effects on honey bees at individual level. In semi-field study, no effect was observed at the colony level despite the high bee mortality rate for 2-3 days after dust application. However, we can expect a colony decline and low honey production if this high forager mortality rate lasts for longer than 10 days. Such a situation is possible if the sowing period lasts several days as in the Po Valley, where the landscape is characterized by extended maize cultivation. Specific methodologies to assess the effects of dust have never been included in the official guidelines for the evaluation of side-effects of plant protection products on honey bees. For this reason, suitable and standardized methods for testing in laboratory and in semi-field conditions the effects on honey bees of contaminated dust dispersed during sowing were evaluated.",2012,,65,,0,0.0,,1.0,,,,,,,,0.0,,,,,,
