title,record_id,type_of_reference,authors,secondary_title,abstract,year,doi,volume,commu_AB,commu_RP,indiv_AB,indiv_RP,letha_ER,letha_ES,letha_NN,letha_RP,molec_AH,molec_AJ,molec_EA,popul_CB,popul_RP,subin_RP,subin_RT
A New Approach for Detecting Sublethal Effects of Neonicotinoids on Bumblebees Using Optical Sensor Technology,322,JOUR,"['Chatzaki, V', 'Montoro, M', 'El-Rashid, R', 'Jensen, AB', 'Lecocq, A']",INSECTS,"Among insects, bees are important pollinators, providing many vital ecosystem services. The recent pollinator decline is threatening both their diversity and abundance. One of the main drivers of this decline is the extensive use of pesticides. Neonicotinoids, one of the most popular groups of pesticides, can be toxic to bees. In fact, numerous studies have found that neonicotinoids can cause sublethal effects, which can impair the biology, physiology, and colony survival of the bees. Yet, there are still knowledge gaps, and more research is needed to better understand the interaction between neonicotinoids and bees, especially in the field. A new optical sensor, which can automatically identify flying insects using machine learning, has been created to continuously monitor insect activity in the field. This study investigated the potential use of this sensor as a tool for monitoring the sublethal effects of pesticides on bumblebees. Bombus terrestris workers were orally exposed to field-realistic doses of imidacloprid. Two types of exposures were tested: acute and chronic. The flight activity of pesticide-exposed and non-exposed bumblebees was recorded, and the events of the insect flights recorded by the sensor were used in two ways: to extract the values of the wingbeat frequency and to train machine learning models. The results showed that the trained model was able to recognize differences between the events created by pesticide-exposed bumblebees and the control bumblebees. This study demonstrates the possibility of the optical sensor for use as a tool to monitor bees that have been exposed to sublethal doses of pesticides. The optical sensor can provide data that could be helpful in managing and, ideally, mitigating the decline of pollinators from one of their most major threats, pesticides.",2023,10.3390/insects14080713,14,,0,0.0,,,0.0,,,,,,,0.0,,0.0
A pragmatic approach to assess the exposure of the honey bee (apis mellifera) when subjected to pesticide spray,39,JOUR,"['Poquet, Y.', 'Bodin, L.', 'Tchamitchian, M.', 'Fusellier, M.', 'Giroud, B.', 'Lafay, F.', 'Buleté, A.', 'Tchamitchian, S.', 'Cousin, M.', 'Pélissier, M.', 'Brunet, J.-L.', 'Belzunces, L.P.']",PLoS ONE,"Plant protection spray treatments may expose non-target organisms to pesticides. In the pesticide registration procedure, the honey bee represents one of the non-target model species for which the risk posed by pesticides must be assessed on the basis of the hazard quotient (HQ). The HQ is defined as the ratio between environmental exposure and toxicity. For the honey bee, the HQ calculation is not consistent because it corresponds to the ratio between the pesticide field rate (in mass of pesticide/ha) and LD50 (in mass of pesticide/bee). Thus, in contrast to all other species, the HQ can only be interpreted empirically because it corresponds to a number of bees/ha. This type of HQ calculation is due to the difficulty in transforming pesticide field rates into doses to which bees are exposed. In this study, we used a pragmatic approach to determine the apparent exposure surface area of honey bees submitted to pesticide treatments by spraying with a Pottertype tower. The doses received by the bees were quantified by very efficient chemical analyses, which enabled us to determine an apparent surface area of 1.05 cm2/bee. The apparent surface area was used to calculate the exposure levels of bees submitted to pesticide sprays and then to revisit the HQ ratios with a calculation mode similar to that used for all other living species. X-tomography was used to assess the physical surface area of a bee, which was 3.27 cm2/bee, and showed that the apparent exposure surface was not overestimated. The control experiments showed that the toxicity induced by doses calculated with the exposure surface area was similar to that induced by treatments according to the European testing procedure. This new approach to measure risk is more accurate and could become a tool to aid the decision-making process in the risk assessment of pesticides. © 2014 Poquet et al.",2014,10.1371/journal.pone.0113728,9,,0,,0.0,0.0,,,,,0.0,,,,0.0,
A real-time imaging system for multiple honey bee tracking and activity monitoring,90,JOUR,"['Ngo, T.N.', 'Wu, K.-C.', 'Yang, E.-C.', 'Lin, T.-T.']",Computers and Electronics in Agriculture,"This study presents a real-time imaging system for monitoring honey bee activity by counting the honey bees entering and exiting the beehive. Images are continuously acquired at the beehive entrance, and the honey bees in the images are segmented and detected using the background subtraction method. Tracking of honey bees is achieved using an integrated Kalman Filter and Hungarian algorithm tracking method. The tracking algorithm was used to determine the incoming and outgoing activity of individual honey bees with an automatic counting accuracy of 93.9 ± 1.1% in comparison with manual counting. The in-and-out activity and environmental information from sensors were transmitted to a remote server via a 4G LTE router for later analyses. To evaluate and demonstrate the performance of the system, the imaging systems were installed in multiple beehives, and designed experiments were carried out. The experiments involved long-term monitoring to assess the pesticide effects on honey bee behaviors by treating the beehives with different concentrations of imidacloprid pesticides. Using the in-and-out activities information collected, indices were further derived and analyzed. The information obtained from the experiments was used to assess the health conditions of the honey bee colonies monitored. Different measurement results such as hourly and daily frequencies of honey bees’ in-and-out activity under different conditions were presented. The developed imaging system is cost effective and can be used as a useful tool for long-term monitoring of the health and activity of honey bee colonies and to further analyze behavior traits of honey bees. © 2019 Elsevier B.V.",2019,10.1016/j.compag.2019.05.050,163,,0,,0.0,,,0.0,,,0.0,,,,,
"AN ASSESSMENT OF HONEYBEE COLONY MATRICES, APIS MELLIFERA (HYMENOPTERA APIDAE) TO MONITOR PESTICIDE PRESENCE IN CONTINENTAL FRANCE",233,JOUR,"['Chauzat, MP', 'Martel, AC', 'Cougoule, N', 'Porta, P', 'Lachaize, J', 'Zeggane, S', 'Aubert, M', 'Carpentier, P', 'Faucon, JP']",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,The frequency of occurrence and relative concentration of 44 pesticides in apicultural (Apis mellifera) matrices collected from five French locations (24 apiaries) were assessed from 2002 to 2005 The number and nature of the pesticides investigated varied with the matrices examined-living honeybees pollen loads honey and beeswax Pollen loads and beeswax had the highest frequency of pesticide occurrence among the apiary matrices examined in the present study whereas honey samples had the lowest The imidacloprid group and the fipronil group were detected in sufficient amounts in all matrices to allow statistical comparisons Some seasonal variation was shown when residues were identified in pollen loads Given the results (highest frequency of presence) and practical aspects (easy to collect matrix with no turnover unlike with bees that are naturally renewed) pollen loads were the best matrix for assessing the presence of pesticide residues in the environment in our given conditions Environ Toxicol Chem 2011 30 103-111 (C) 2010 SETAC,2011,10.1002/etc.361,30,,0,,0.0,,,,0.0,,0.0,,,,0.0,
Alterations in honey bee gut microorganisms caused by Nosema spp. and pest control methods,784,JOUR,"['Diaz, T.', 'del-Val, E.', 'Ayala, R.', 'Larsen, J.']",Pest Management Science,"BACKGROUND: Honey bees are associated with gut microorganisms essential for their nutrition and health. The composition of the microbial community can be used as a biological health indicator and is characterized using biomarker fatty acids. Commonly, gut microorganisms are exposed to pathogens and to an array of chemical and biological pest control methods. RESULTS: We found a strong negative effect on microbial gut community composition when exposed to the bee pest control chemicals oxytetracycline, oxalic acid and imidacloprid, and when inoculated with the bee pest Nosema spp. and the potential bee pest biocontrol agent Lactobacillus plantarum. Results from the in vitro test with bee pest chemicals showed a differential response of Lactobacillus spp. At the community level, some taxonomic groups were more affected depending on treatment, but sharp changes in the microbial structure were caused by compounds generally considered as bee safe. CONCLUSION: Our results show that pests such as Nosema spp. and pest control methods alter the composition of bee gut microorganisms, which may have severe consequences for pathogen defense, physiology and general honey bee health. In addition, L. plantarum has potential as a biocontrol agent against Nosema spp. © 2018 Society of Chemical Industry. © 2018 Society of Chemical Industry",2019,10.1002/ps.5188,75,,0,0.0,,0.0,,0.0,,0.0,,,,0.0,,
An ecological risk assessment for spinosad use on cotton,163,JOUR,"['Cleveland, C.B.', 'Mayes, M.A.', 'Cryer, S.A.']",Pest Management Science,"Spinosad is a reduced-risk insecticide with a novel mode of action that provides an alternative to older classes of insecticides such as organophosphates, carbamates and pyrethroids. A comprehensive ecological risk assessment for spinosad use in US cotton crops is presented within a framework of tiered levels of refinement following the guidelines of the US EPA for ecological risk assessments. Toxicity information for a variety of species is documented and utilized, environmental concentrations estimated, and risk characterizations in the form of risk quotients are quantified. Results indicate that spinosad use in cotton does not exceed the most conservative Tier I levels of concern (LOC) values for groundwater, mammals and birds or acute risk to aquatic organisms. Use of very conservative Tier I screening methods resulted in exceeding LOC values for chronic exposure for some aquatic organisms, thus prompting further refinement. When the exposure prediction was refined using less conservative, Tier II mechanistic environmental fate transport models to predict offsite transport and environmental concentrations, chronic risk was not predicted for these species. Spinosad is acutely toxic to bees under laboratory conditions, but toxicity of residue studies and field studies indicate that under actual use conditions the impact on bees is minimal. © 2001 Society of Chemical Industry.",2002,10.1002/ps.424,58,,0,,0.0,,,0.0,0.0,,0.0,,,,0.0,
An insecticide application scheme in cotton fields with bi-directional selective effects on bees and pests,394,JOUR,"['Du, M.', 'Li, M.', 'Li, X.', 'Yang, H.', 'Li, Y.']",International Journal of Tropical Insect Science,"In this paper, molecular dynamics, full factorial experimental design and molecular docking were used to determine the toxic effects of pesticides on pests (Tetranychus telarius, Lygus lucorum and Helicoverpa armigera) and bees (North Chinese bee) in a cotton field, and an insecticide collocation scheme with the bi-directional selectivity was devised. Firstly, the main insecticides for three stages of cotton growth were identified under the lateral mixing condition. Insecticides for the first phase included abamectin (avermectin B1a and B1b), acetamiprid (N-(N-cyano-ethylimine)-N-methyl-2-chloropyridine-5-methylamine), dicofol (1,1-bis(p-Chlorophenyl)-2,2,2-trichloroethanol) and cypermethrin ((RS)-α-cyano-3-phenoxyebenzyl(SR)-3-(2,2-dichloroyl)-2,2-dimethyl cyclopropane carboxylic acid ester); the insecticides available in the second phase included cypermethrin ((RS)-α-cyano-3-phenoxyebenzyl(SR)-3-(2,2-dichloroyl)-2,2-dimethyl cyclopropane carboxylic acid ester), phoxim (O,O-diethyl-O-α-cyanophenylbenzylamine thiophosphate ester), deltamethrin ((R,cis)-2,2-dimethyl-3-(2,2-dibromovinylcyclopropane ester)-cyano-diphenyl ether) and abamectin (avermectin B1a and B1b). In third phase, cypermethrin ((RS)-α-cyano-3-phenoxyebenzyl(SR)-3-(2,2-dichloroyl)-2,2-dimethyl cyclopropane carboxylic acid ester), and deltamethrin ((R,cis)-2,2-dimethyl-3-(2,2-dibromovinylcyclopropane ester) -cyano-diphenyl ether) were included. Different insecticide application schemes were designed according to whether the application cycle and sequence were considered. The molecular dynamics simulation method was used to determine the effects of different insecticide application schemes on pests and bees. After the simulation, the simplified mixed-weighted model carried out each application scheme. In the case of lateral mixing, the combination of avermectin + acetamiprid + trichlorobacitol + cypermethrin + phoxim + deltamethrin was selected as the optimal application program, which reduced bee toxicity by 98.77% and increased insect toxicity by 55.84%. Whereas in the case of longitudinal residue, avermectin + cypermethrin + deltamethrin was selected. This combination reduced the harm to bees by 126.55% and increased the toxicity to target pests by 34.23%. Finally, by calculating the resultant force from different types of non-bonded forces, the mechanism of the effect of the optimal application scheme on bees and pests under two scenarios was analyzed. The optimally combined scheme prepared by screening could provide the bi-directional selectivity to bees and pests. This study provides an important reference for reducing the environmental problems caused by pesticide application in farmland. © 2022, African Association of Insect Scientists.",2022,10.1007/s42690-022-00875-7,42,,0,0.0,,0.0,,0.0,,,0.0,,,0.0,,
Analysis and evaluation of (neuro)peptides in honey bees exposed to pesticides in field conditions,852,JOUR,"['Gómez-Ramos, M.D.M.', 'Gómez Ramos, M.J.', 'Martínez Galera, M.', 'Gil García, M.D.', 'Fernández-Alba, A.R.']",Environmental Pollution,"During the last years, declines in honey bee colonies are being registered worldwide. Cholinergic pesticides and their extensive use have been correlated to the decline of pollinators and there is evidence that pesticides act as neuroendocrine disruptors affecting the metabolism of neuropeptides. However, there is a big absence of studies with quantitative results correlating the effect of pesticide exposure with changes on neuropeptides insects, and most of them are conducted under laboratory conditions, typically with individual active ingredients. In this study, we present an analytical workflow to evaluate pesticide effects on honey bees through the analysis of (neuro)peptides. The workflow consists of a rapid extraction method and liquid chromatography with triple quadrupole for preselected neuropeptides. For non-target analysis, high resolution mass spectrometry, multivariate analysis and automatic identification of discriminated peptides using a specific software and protein sequence databases. The analytical method was applied to the analysis of target and non-target (neuro)peptides in honey bees with low and high content of a wide range of pesticides to which have been exposed in field conditions. Our findings show that the identification frequency of target neuropeptides decreases significantly in honey bees with high concentration of pesticides (pesticide concentrations ≥ 500 μg kg−1) in comparison with the honey bees with low content of pesticides (pesticide concentrations ≤ 20 μg kg−1). Moreover, the principal component analysis in non-target search shows a clear distinction between peptide concentration in honey bees with high level of pesticides and honey bees with low level. The use of high resolution mass spectrometry has allowed the identification of 25 non-redundant peptides responsible for discrimination between the two groups, derived from 18 precursor proteins. It has been shown a correlation between pesticide exposure and a decrease of some neuropeptides and other head peptides in honey bees. © 2018 Elsevier Ltd",2018,10.1016/j.envpol.2017.12.091,235,,0,0.0,,0.0,,,,,0.0,0.0,,0.0,,
Application of predefined doses of neonicotinoid containing dusts in field trials and acute effects on honey bees,931,JOUR,"['Pistorius, J.', 'Wehner, A.', 'Kriszan, M.', 'Bargen, H.', 'Knäbe, S.', 'Klein, O.', 'Frommberger, M.', 'Stähler, M.', 'Heimbach, U.']",Bulletin of Insectology,"This study explored the effects of insecticidal dusts on honey bee colonies (Apis mellifera L.) after exposure to a priori defined dose under field conditions. For this purpose two different rates of abraded seed dust, containing active substance Clothianidin, were applied on flowering Phacelia tanacetifolia Bentham during bee-flight with a purpose-built dust applicator. We observed dose-related high acute effects on bee mortality at both application rates, 0.25 and 1.0 g a.s. Clothianidin in dust per ha, resulting in up to 4.3 and 17 fold higher mortality compared to pre-application level and an overall increase of mortality during the 7 days exposure period of 2.0 and 9.8 fold. In dead bees, residues detected between both rates appliedwere up to 2.6 fold higher in the 1.0 g a.s. Clothianidin dust exposure scenario. On day 7, residues up to 28 μg Clothianidin/kg were detected in bee bread of stored Phacelia pollen. The findings of high effects at chosen rates highlight the need to include specific dust drift field trials for seed treatment products with highly toxic insecticides in risk assessment used in crops with potential dust abrasion and emission from seeds. Further work is required to determine appropriate application rates in further semi-field and field testing that reflect field realistic drift exposure levels. © 2015, Universita degli Studi di Bologna, Department of Agroenvironmental Sciences and Technologies. All Rights Reserved.",2015,,68,,0,,0.0,,,0.0,,,,,,,,
Are honeybees suitable surrogates for use in pesticide risk assessment for non-Apis bees?,1034,JOUR,"['Thompson, HM', 'Pamminger, T']",PEST MANAGEMENT SCIENCE,"Historically, bee regulatory risk assessment for pesticides has centred on the European honeybee (Apis mellifera), primarily due to its availability and adaptability to laboratory conditions. Recently, there have been efforts to develop a battery of laboratory toxicity tests for a range of non-Apis bee species to directly assess the risk to them. However, it is not clear whether the substantial investment associated with the development and implementation of such routine screening will actually improve the level of protection of non-Apis bees. We argue, using published acute toxicity data from a range of bee species and standard regulatory exposure scenarios, that current first-tier honeybee acute risk assessment schemes utilised by regulatory authorities are protective of other bee species and further tests should be conducted only in cases of concern. We propose similar analysis of alternative exposure scenarios (chronic and developmental) once reliable data for non-Apis bees are available to expand our approach to these scenarios. In addition, we propose that in silico (simulation) approaches can then be used to address population-level effects in more field-realistic scenarios. Such an approach could lead to a protective, but also workable, risk assessment for non-Apis species while contributing to pollination security in agricultural landscapes around the globe. (c) 2019 Society of Chemical Industry",2019,10.1002/ps.5494,75,,0,0.0,,0.0,,0.0,,,,,,0.0,,
